year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,Unnamed:_24
2019,B25070,Detailed Table,DT,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17019000200,17,019,000200,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",428,88,0,11,0,11,39,34,28,28,32,28,7,12,62,49,25,33,141,61,94,55,
2019,B25070,Detailed Table,DT,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",17019000301,17,019,000301,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",2055,191,15,24,24,38,93,90,36,41,5,8,17,27,53,51,64,53,1157,232,591,197,
2019,B25070,Detailed Table,DT,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",17019000302,17,019,000302,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",1530,206,7,12,43,40,96,57,122,99,44,42,93,69,50,49,47,46,603,161,425,144,
2019,B25070,Detailed Table,DT,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",17019000401,17,019,000401,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",480,70,7,10,0,16,12,13,0,16,5,8,0,16,24,39,7,10,230,55,195,57,
2019,B25070,Detailed Table,DT,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",17019000402,17,019,000402,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",1329,135,20,22,24,33,12,18,11,16,21,23,51,44,20,25,49,40,695,126,426,121,
2019,B25070,Detailed Table,DT,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",17019000500,17,019,000500,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",1264,169,13,23,144,96,128,86,94,58,116,85,105,91,35,41,110,83,462,194,57,71,
2019,B25070,Detailed Table,DT,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",17019000700,17,019,000700,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",604,133,2,5,91,69,64,49,51,51,98,61,97,79,25,24,39,33,130,75,7,11,
2019,B25070,Detailed Table,DT,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",17019000800,17,019,000800,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",1982,181,55,51,330,154,190,89,544,162,262,124,125,78,39,44,183,132,254,122,0,16,
2019,B25070,Detailed Table,DT,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",17019000901,17,019,000901,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",1306,200,37,49,79,73,79,71,242,112,219,138,109,54,34,33,183,97,202,93,122,92,
2019,B25070,Detailed Table,DT,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",17019000902,17,019,000902,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",1275,210,15,24,130,85,86,66,207,119,237,158,194,138,144,152,37,44,169,117,56,64,
2019,B25070,Detailed Table,DT,1400000US17019001000,"Census Tract 10, Champaign County, Illinois",17019001000,17,019,001000,1400000US17019001000,"Census Tract 10, Champaign County, Illinois",854,219,15,27,110,102,178,118,145,119,40,48,144,127,66,57,38,59,101,65,17,27,
2019,B25070,Detailed Table,DT,1400000US17019001100,"Census Tract 11, Champaign County, Illinois",17019001100,17,019,001100,1400000US17019001100,"Census Tract 11, Champaign County, Illinois",440,107,0,11,72,54,64,66,84,61,44,45,70,68,10,14,22,24,74,43,0,11,
2019,B25070,Detailed Table,DT,1400000US17019001201,"Census Tract 12.01, Champaign County, Illinois",17019001201,17,019,001201,1400000US17019001201,"Census Tract 12.01, Champaign County, Illinois",1561,234,80,62,119,93,166,104,166,89,232,120,89,69,68,54,139,109,299,129,203,136,
2019,B25070,Detailed Table,DT,1400000US17019001203,"Census Tract 12.03, Champaign County, Illinois",17019001203,17,019,001203,1400000US17019001203,"Census Tract 12.03, Champaign County, Illinois",490,115,43,67,54,48,144,75,74,47,30,49,17,19,0,11,64,78,46,45,18,23,
2019,B25070,Detailed Table,DT,1400000US17019001204,"Census Tract 12.04, Champaign County, Illinois",17019001204,17,019,001204,1400000US17019001204,"Census Tract 12.04, Champaign County, Illinois",282,97,21,22,64,48,39,37,28,31,11,18,19,29,11,19,57,83,10,14,22,23,
2019,B25070,Detailed Table,DT,1400000US17019001205,"Census Tract 12.05, Champaign County, Illinois",17019001205,17,019,001205,1400000US17019001205,"Census Tract 12.05, Champaign County, Illinois",1013,227,116,122,161,105,102,71,162,131,75,59,62,63,35,43,88,75,200,113,12,20,
2019,B25070,Detailed Table,DT,1400000US17019001206,"Census Tract 12.06, Champaign County, Illinois",17019001206,17,019,001206,1400000US17019001206,"Census Tract 12.06, Champaign County, Illinois",107,33,6,10,10,12,15,16,10,9,0,11,6,9,14,15,6,9,35,34,5,7,
2019,B25070,Detailed Table,DT,1400000US17019001301,"Census Tract 13.01, Champaign County, Illinois",17019001301,17,019,001301,1400000US17019001301,"Census Tract 13.01, Champaign County, Illinois",998,172,0,16,47,48,161,83,293,161,125,102,26,29,64,51,100,74,107,82,75,67,
2019,B25070,Detailed Table,DT,1400000US17019001302,"Census Tract 13.02, Champaign County, Illinois",17019001302,17,019,001302,1400000US17019001302,"Census Tract 13.02, Champaign County, Illinois",571,107,21,23,86,64,21,21,41,32,26,20,98,68,61,51,63,55,136,57,18,16,
2019,B25070,Detailed Table,DT,1400000US17019001400,"Census Tract 14, Champaign County, Illinois",17019001400,17,019,001400,1400000US17019001400,"Census Tract 14, Champaign County, Illinois",937,129,41,33,66,47,105,69,43,36,92,43,139,77,77,45,141,79,186,75,47,44,
