year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,S1601_C01_001E,S1601_C01_001M,S1601_C01_002E,S1601_C01_002M,S1601_C01_003E,S1601_C01_003M,S1601_C01_004E,S1601_C01_004M,S1601_C01_005E,S1601_C01_005M,S1601_C01_006E,S1601_C01_006M,S1601_C01_007E,S1601_C01_007M,S1601_C01_008E,S1601_C01_008M,S1601_C01_009E,S1601_C01_009M,S1601_C01_010E,S1601_C01_010M,S1601_C01_011E,S1601_C01_011M,S1601_C01_012E,S1601_C01_012M,S1601_C01_013E,S1601_C01_013M,S1601_C01_014E,S1601_C01_014M,S1601_C01_015E,S1601_C01_015M,S1601_C01_016E,S1601_C01_016M,S1601_C01_017E,S1601_C01_017M,S1601_C01_018E,S1601_C01_018M,S1601_C01_019E,S1601_C01_019M,S1601_C01_020E,S1601_C01_020M,S1601_C01_021E,S1601_C01_021M,S1601_C01_022E,S1601_C01_022M,S1601_C01_023E,S1601_C01_023M,S1601_C01_024E,S1601_C01_024M,S1601_C02_001E,S1601_C02_001M,S1601_C02_002E,S1601_C02_002M,S1601_C02_003E,S1601_C02_003M,S1601_C02_004E,S1601_C02_004M,S1601_C02_005E,S1601_C02_005M,S1601_C02_006E,S1601_C02_006M,S1601_C02_007E,S1601_C02_007M,S1601_C02_008E,S1601_C02_008M,S1601_C02_009E,S1601_C02_009M,S1601_C02_010E,S1601_C02_010M,S1601_C02_011E,S1601_C02_011M,S1601_C02_012E,S1601_C02_012M,S1601_C02_013E,S1601_C02_013M,S1601_C02_014E,S1601_C02_014M,S1601_C02_015E,S1601_C02_015M,S1601_C02_016E,S1601_C02_016M,S1601_C02_017E,S1601_C02_017M,S1601_C02_018E,S1601_C02_018M,S1601_C02_019E,S1601_C02_019M,S1601_C02_020E,S1601_C02_020M,S1601_C02_021E,S1601_C02_021M,S1601_C02_022E,S1601_C02_022M,S1601_C02_023E,S1601_C02_023M,S1601_C02_024E,S1601_C02_024M,S1601_C03_001E,S1601_C03_001M,S1601_C03_002E,S1601_C03_002M,S1601_C03_003E,S1601_C03_003M,S1601_C03_004E,S1601_C03_004M,S1601_C03_005E,S1601_C03_005M,S1601_C03_006E,S1601_C03_006M,S1601_C03_007E,S1601_C03_007M,S1601_C03_008E,S1601_C03_008M,S1601_C03_009E,S1601_C03_009M,S1601_C03_010E,S1601_C03_010M,S1601_C03_011E,S1601_C03_011M,S1601_C03_012E,S1601_C03_012M,S1601_C03_013E,S1601_C03_013M,S1601_C03_014E,S1601_C03_014M,S1601_C03_015E,S1601_C03_015M,S1601_C03_016E,S1601_C03_016M,S1601_C03_017E,S1601_C03_017M,S1601_C03_018E,S1601_C03_018M,S1601_C03_019E,S1601_C03_019M,S1601_C03_020E,S1601_C03_020M,S1601_C03_021E,S1601_C03_021M,S1601_C03_022E,S1601_C03_022M,S1601_C03_023E,S1601_C03_023M,S1601_C03_024E,S1601_C03_024M,S1601_C04_001E,S1601_C04_001M,S1601_C04_002E,S1601_C04_002M,S1601_C04_003E,S1601_C04_003M,S1601_C04_004E,S1601_C04_004M,S1601_C04_005E,S1601_C04_005M,S1601_C04_006E,S1601_C04_006M,S1601_C04_007E,S1601_C04_007M,S1601_C04_008E,S1601_C04_008M,S1601_C04_009E,S1601_C04_009M,S1601_C04_010E,S1601_C04_010M,S1601_C04_011E,S1601_C04_011M,S1601_C04_012E,S1601_C04_012M,S1601_C04_013E,S1601_C04_013M,S1601_C04_014E,S1601_C04_014M,S1601_C04_015E,S1601_C04_015M,S1601_C04_016E,S1601_C04_016M,S1601_C04_017E,S1601_C04_017M,S1601_C04_018E,S1601_C04_018M,S1601_C04_019E,S1601_C04_019M,S1601_C04_020E,S1601_C04_020M,S1601_C04_021E,S1601_C04_021M,S1601_C04_022E,S1601_C04_022M,S1601_C04_023E,S1601_C04_023M,S1601_C04_024E,S1601_C04_024M,S1601_C05_001E,S1601_C05_001M,S1601_C05_002E,S1601_C05_002M,S1601_C05_003E,S1601_C05_003M,S1601_C05_004E,S1601_C05_004M,S1601_C05_005E,S1601_C05_005M,S1601_C05_006E,S1601_C05_006M,S1601_C05_007E,S1601_C05_007M,S1601_C05_008E,S1601_C05_008M,S1601_C05_009E,S1601_C05_009M,S1601_C05_010E,S1601_C05_010M,S1601_C05_011E,S1601_C05_011M,S1601_C05_012E,S1601_C05_012M,S1601_C05_013E,S1601_C05_013M,S1601_C05_014E,S1601_C05_014M,S1601_C05_015E,S1601_C05_015M,S1601_C05_016E,S1601_C05_016M,S1601_C05_017E,S1601_C05_017M,S1601_C05_018E,S1601_C05_018M,S1601_C05_019E,S1601_C05_019M,S1601_C05_020E,S1601_C05_020M,S1601_C05_021E,S1601_C05_021M,S1601_C05_022E,S1601_C05_022M,S1601_C05_023E,S1601_C05_023M,S1601_C05_024E,S1601_C05_024M,S1601_C06_001E,S1601_C06_001M,S1601_C06_002E,S1601_C06_002M,S1601_C06_003E,S1601_C06_003M,S1601_C06_004E,S1601_C06_004M,S1601_C06_005E,S1601_C06_005M,S1601_C06_006E,S1601_C06_006M,S1601_C06_007E,S1601_C06_007M,S1601_C06_008E,S1601_C06_008M,S1601_C06_009E,S1601_C06_009M,S1601_C06_010E,S1601_C06_010M,S1601_C06_011E,S1601_C06_011M,S1601_C06_012E,S1601_C06_012M,S1601_C06_013E,S1601_C06_013M,S1601_C06_014E,S1601_C06_014M,S1601_C06_015E,S1601_C06_015M,S1601_C06_016E,S1601_C06_016M,S1601_C06_017E,S1601_C06_017M,S1601_C06_018E,S1601_C06_018M,S1601_C06_019E,S1601_C06_019M,S1601_C06_020E,S1601_C06_020M,S1601_C06_021E,S1601_C06_021M,S1601_C06_022E,S1601_C06_022M,S1601_C06_023E,S1601_C06_023M,S1601_C06_024E,S1601_C06_024M,Unnamed:_290
2019,S1601,Subject Table,ST,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17019000200,17,019,000200,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",1699,294,1390,273,309,114,74,57,10,16,64,45,0,11,121,88,37,34,84,61,0,11,88,62,0,11,88,62,0,11,26,40,13,19,13,21,0,11,1123,217,1042,212,81,53,48,38,33,34,(X),(X),81.8,6.3,18.2,6.3,4.4,3.3,0.6,0.9,3.8,2.7,0.0,1.7,7.1,5.1,2.2,1.9,4.9,3.6,0.0,1.7,5.2,3.5,0.0,1.7,5.2,3.5,0.0,1.7,1.5,2.3,0.8,1.1,0.8,1.2,0.0,1.7,(X),(X),92.8,4.6,7.2,4.6,4.3,3.4,2.9,3.0,1533,286,(X),(X),143,66,52,45,10,16,42,33,0,11,22,26,6,10,16,24,0,11,50,38,0,11,50,38,0,11,19,29,13,19,6,11,0,11,1110,215,(X),(X),68,45,42,33,26,28,90.2,4.8,(X),(X),46.3,15.6,70.3,29.7,100.0,90.1,65.6,32.4,-,**,18.2,20.7,16.2,22.8,19.0,27.1,-,**,56.8,17.0,-,**,56.8,17.0,-,**,73.1,9.9,100.0,79.0,46.2,14.1,-,**,98.8,1.2,(X),(X),84.0,12.7,87.5,14.5,78.8,26.0,166,84,(X),(X),166,84,22,28,0,11,22,28,0,11,99,79,31,29,68,55,0,11,38,30,0,11,38,30,0,11,7,11,0,11,7,11,0,11,13,14,(X),(X),13,14,6,9,7,11,9.8,4.8,(X),(X),53.7,15.6,29.7,29.7,0.0,90.1,34.4,32.4,-,**,81.8,20.7,83.8,22.8,81.0,27.1,-,**,43.2,17.0,-,**,43.2,17.0,-,**,26.9,9.9,0.0,79.0,53.8,14.1,-,**,1.2,1.2,(X),(X),16.0,12.7,12.5,14.5,21.2,26.0,
2019,S1601,Subject Table,ST,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",17019000301,17,019,000301,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",5260,617,3407,590,1853,397,302,182,0,16,302,182,0,16,539,225,0,16,539,225,0,16,964,317,3,5,961,318,0,16,48,55,0,16,48,55,0,16,4346,640,3364,592,982,304,302,182,680,289,(X),(X),64.8,7.0,35.2,7.0,5.7,3.4,0.0,0.6,5.7,3.4,0.0,0.6,10.2,4.2,0.0,0.6,10.2,4.2,0.0,0.6,18.3,5.9,0.1,0.1,18.3,5.9,0.0,0.6,0.9,1.0,0.0,0.6,0.9,1.0,0.0,0.6,(X),(X),77.4,6.4,22.6,6.4,6.9,4.1,15.6,6.4,4704,654,(X),(X),1297,361,274,166,0,16,274,166,0,16,474,220,0,16,474,220,0,16,501,204,3,5,498,204,0,16,48,55,0,16,48,55,0,16,4250,646,(X),(X),886,302,274,166,612,280,89.4,5.2,(X),(X),70.0,13.1,90.7,13.5,-,**,90.7,13.5,-,**,87.9,12.5,-,**,87.9,12.5,-,**,52.0,19.2,100.0,100.0,51.8,19.3,-,**,100.0,41.1,-,**,100.0,41.1,-,**,97.8,2.2,(X),(X),90.2,9.8,90.7,13.5,90.0,12.4,556,271,(X),(X),556,271,28,43,0,16,28,43,0,16,65,67,0,16,65,67,0,16,463,268,0,16,463,268,0,16,0,16,0,16,0,16,0,16,96,96,(X),(X),96,96,28,43,68,86,10.6,5.2,(X),(X),30.0,13.1,9.3,13.5,-,**,9.3,13.5,-,**,12.1,12.5,-,**,12.1,12.5,-,**,48.0,19.2,0.0,100.0,48.2,19.3,-,**,0.0,41.1,-,**,0.0,41.1,-,**,2.2,2.2,(X),(X),9.8,9.8,9.3,13.5,10.0,12.4,
2019,S1601,Subject Table,ST,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",17019000302,17,019,000302,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",2699,444,1352,391,1347,310,14,23,0,11,14,23,0,11,332,173,0,11,332,173,0,11,1001,304,0,11,1001,304,0,11,0,11,0,11,0,11,0,11,1771,401,1252,378,519,225,14,23,505,227,(X),(X),50.1,10.2,49.9,10.2,0.5,0.8,0.0,1.1,0.5,0.8,0.0,1.1,12.3,6.5,0.0,1.1,12.3,6.5,0.0,1.1,37.1,10.4,0.0,1.1,37.1,10.4,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.1,(X),(X),70.7,12.0,29.3,12.0,0.8,1.3,28.5,12.1,2279,434,(X),(X),927,249,14,23,0,11,14,23,0,11,308,166,0,11,308,166,0,11,605,219,0,11,605,219,0,11,0,11,0,11,0,11,0,11,1663,395,(X),(X),411,182,14,23,397,184,84.4,9.5,(X),(X),68.8,16.4,100.0,76.1,-,**,100.0,76.1,-,**,92.8,11.4,-,**,92.8,11.4,-,**,60.4,20.0,-,**,60.4,20.0,-,**,-,**,-,**,-,**,-,**,93.9,7.7,(X),(X),79.2,23.1,100.0,76.1,78.6,23.7,420,271,(X),(X),420,271,0,11,0,11,0,11,0,11,24,37,0,11,24,37,0,11,396,270,0,11,396,270,0,11,0,11,0,11,0,11,0,11,108,139,(X),(X),108,139,0,11,108,139,15.6,9.5,(X),(X),31.2,16.4,0.0,76.1,-,**,0.0,76.1,-,**,7.2,11.4,-,**,7.2,11.4,-,**,39.6,20.0,-,**,39.6,20.0,-,**,-,**,-,**,-,**,-,**,6.1,7.7,(X),(X),20.8,23.1,0.0,76.1,21.4,23.7,
2019,S1601,Subject Table,ST,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",17019000401,17,019,000401,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",5138,397,3771,357,1367,307,146,77,0,16,146,77,0,16,205,80,9,18,196,76,0,16,1013,268,27,31,986,258,0,16,3,7,0,16,3,7,0,16,4324,390,3721,357,603,178,136,77,467,141,(X),(X),73.4,5.2,26.6,5.2,2.8,1.4,0.0,0.6,2.8,1.4,0.0,0.6,4.0,1.5,0.2,0.3,3.8,1.4,0.0,0.6,19.7,4.8,0.5,0.6,19.2,4.6,0.0,0.6,0.1,0.1,0.0,0.6,0.1,0.1,0.0,0.6,(X),(X),86.1,3.8,13.9,3.8,3.1,1.7,10.8,3.1,4700,390,(X),(X),929,247,134,74,0,16,134,74,0,16,195,78,9,18,186,74,0,16,597,192,9,18,588,190,0,16,3,7,0,16,3,7,0,16,4250,394,(X),(X),529,171,127,74,402,137,91.5,2.6,(X),(X),68.0,8.0,91.8,12.7,-,**,91.8,12.7,-,**,95.1,7.2,100.0,95.0,94.9,7.6,-,**,58.9,9.1,33.3,62.6,59.6,9.5,-,**,100.0,100.0,-,**,100.0,100.0,-,**,98.3,1.0,(X),(X),87.7,7.4,93.4,12.9,86.1,9.2,438,138,(X),(X),438,138,12,19,0,16,12,19,0,16,10,15,0,16,10,15,0,16,416,136,18,25,398,131,0,16,0,16,0,16,0,16,0,16,74,44,(X),(X),74,44,9,18,65,42,8.5,2.6,(X),(X),32.0,8.0,8.2,12.7,-,**,8.2,12.7,-,**,4.9,7.2,0.0,95.0,5.1,7.6,-,**,41.1,9.1,66.7,62.6,40.4,9.5,-,**,0.0,100.0,-,**,0.0,100.0,-,**,1.7,1.0,(X),(X),12.3,7.4,6.6,12.9,13.9,9.2,
2019,S1601,Subject Table,ST,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",17019000402,17,019,000402,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",4237,540,3161,514,1076,263,293,144,0,11,293,144,0,11,314,160,0,11,314,160,0,11,324,115,11,16,313,113,0,11,145,120,0,11,145,120,0,11,3824,545,3142,513,682,186,293,144,389,146,(X),(X),74.6,6.0,25.4,6.0,6.9,3.3,0.0,0.7,6.9,3.3,0.0,0.7,7.4,3.7,0.0,0.7,7.4,3.7,0.0,0.7,7.6,2.8,0.3,0.4,7.4,2.8,0.0,0.7,3.4,2.8,0.0,0.7,3.4,2.8,0.0,0.7,(X),(X),82.2,4.7,17.8,4.7,7.7,3.5,10.2,4.0,4030,539,(X),(X),869,206,288,143,0,11,288,143,0,11,246,104,0,11,246,104,0,11,190,82,5,11,185,82,0,11,145,120,0,11,145,120,0,11,3799,543,(X),(X),657,187,288,143,369,149,95.1,2.6,(X),(X),80.8,7.8,98.3,3.0,-,**,98.3,3.0,-,**,78.3,19.6,-,**,78.3,19.6,-,**,58.6,17.9,45.5,54.5,59.1,18.4,-,**,100.0,18.6,-,**,100.0,18.6,-,**,99.3,0.6,(X),(X),96.3,3.4,98.3,3.0,94.9,5.6,207,109,(X),(X),207,109,5,9,0,11,5,9,0,11,68,82,0,11,68,82,0,11,134,78,6,11,128,77,0,11,0,11,0,11,0,11,0,11,25,22,(X),(X),25,22,5,9,20,21,4.9,2.6,(X),(X),19.2,7.8,1.7,3.0,-,**,1.7,3.0,-,**,21.7,19.6,-,**,21.7,19.6,-,**,41.4,17.9,54.5,54.5,40.9,18.4,-,**,0.0,18.6,-,**,0.0,18.6,-,**,0.7,0.6,(X),(X),3.7,3.4,1.7,3.0,5.1,5.6,
2019,S1601,Subject Table,ST,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",17019000500,17,019,000500,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",3537,497,3115,483,422,154,116,87,0,11,116,87,0,11,182,121,0,11,114,97,68,70,76,90,11,21,65,75,0,11,48,75,0,11,48,75,0,11,3184,461,2911,455,273,130,103,87,170,104,(X),(X),88.1,4.3,11.9,4.3,3.3,2.5,0.0,0.8,3.3,2.5,0.0,0.8,5.1,3.4,0.0,0.8,3.2,2.7,1.9,2.0,2.1,2.6,0.3,0.6,1.8,2.1,0.0,0.8,1.4,2.2,0.0,0.8,1.4,2.2,0.0,0.8,(X),(X),91.4,4.0,8.6,4.0,3.2,2.8,5.3,3.2,3449,501,(X),(X),334,158,116,87,0,11,116,87,0,11,182,121,0,11,114,97,68,70,36,68,11,21,25,47,0,11,0,11,0,11,0,11,0,11,3184,461,(X),(X),273,130,103,87,170,104,97.5,2.5,(X),(X),79.1,20.6,100.0,22.5,-,**,100.0,22.5,-,**,100.0,15.2,-,**,100.0,22.9,100.0,33.9,47.4,52.6,100.0,85.9,38.5,58.1,-,**,0.0,41.1,-,**,0.0,41.1,-,**,100.0,0.9,(X),(X),100.0,10.4,100.0,24.9,100.0,16.1,88,87,(X),(X),88,87,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,40,56,0,11,40,56,0,11,48,75,0,11,48,75,0,11,0,11,(X),(X),0,11,0,11,0,11,2.5,2.5,(X),(X),20.9,20.6,0.0,22.5,-,**,0.0,22.5,-,**,0.0,15.2,-,**,0.0,22.9,0.0,33.9,52.6,52.6,0.0,85.9,61.5,58.1,-,**,100.0,41.1,-,**,100.0,41.1,-,**,0.0,0.9,(X),(X),0.0,10.4,0.0,24.9,0.0,16.1,
2019,S1601,Subject Table,ST,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",17019000700,17,019,000700,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",2985,343,2483,339,502,210,266,158,54,61,212,111,0,11,0,11,0,11,0,11,0,11,116,70,0,11,116,70,0,11,120,116,83,97,37,42,0,11,2321,290,2115,296,206,111,155,96,51,58,(X),(X),83.2,6.6,16.8,6.6,8.9,5.3,1.8,2.0,7.1,3.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.9,2.3,0.0,1.0,3.9,2.3,0.0,1.0,4.0,3.7,2.8,3.1,1.2,1.4,0.0,1.0,(X),(X),91.1,4.7,8.9,4.7,6.7,4.2,2.2,2.4,2739,353,(X),(X),256,163,147,94,0,11,147,94,0,11,0,11,0,11,0,11,0,11,14,20,0,11,14,20,0,11,95,100,83,97,12,18,0,11,2229,287,(X),(X),114,84,114,84,0,11,91.8,4.0,(X),(X),51.0,19.5,55.3,26.8,0.0,38.8,69.3,27.1,-,**,-,**,-,**,-,**,-,**,12.1,16.7,-,**,12.1,16.7,-,**,79.2,28.0,100.0,29.5,32.4,54.2,-,**,96.0,2.8,(X),(X),55.3,25.5,73.5,26.0,0.0,39.9,246,118,(X),(X),246,118,119,113,54,61,65,66,0,11,0,11,0,11,0,11,0,11,102,67,0,11,102,67,0,11,25,39,0,11,25,39,0,11,92,66,(X),(X),92,66,41,43,51,58,8.2,4.0,(X),(X),49.0,19.5,44.7,26.8,100.0,38.8,30.7,27.1,-,**,-,**,-,**,-,**,-,**,87.9,16.7,-,**,87.9,16.7,-,**,20.8,28.0,0.0,29.5,67.6,54.2,-,**,4.0,2.8,(X),(X),44.7,25.5,26.5,26.0,100.0,39.9,
2019,S1601,Subject Table,ST,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",17019000800,17,019,000800,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",5754,674,4167,522,1587,518,153,149,29,46,124,109,0,16,846,468,225,235,556,292,65,95,473,232,16,26,445,224,12,38,115,106,27,42,78,77,10,16,4035,477,3480,443,555,266,113,107,442,244,(X),(X),72.4,7.3,27.6,7.3,2.7,2.6,0.5,0.8,2.2,1.9,0.0,0.5,14.7,7.2,3.9,3.9,9.7,4.6,1.1,1.6,8.2,4.1,0.3,0.5,7.7,3.9,0.2,0.7,2.0,1.8,0.5,0.7,1.4,1.3,0.2,0.3,(X),(X),86.2,6.2,13.8,6.2,2.8,2.6,11.0,5.8,4881,539,(X),(X),714,234,81,71,0,16,81,71,0,16,369,233,12,57,357,238,0,16,222,130,16,26,206,126,0,16,42,64,27,42,15,23,0,16,3815,465,(X),(X),335,191,70,67,265,183,84.8,6.4,(X),(X),45.0,13.3,52.9,32.7,0.0,52.9,65.3,28.9,-,**,43.6,25.1,5.3,45.7,64.2,27.6,0.0,34.9,46.9,21.5,100.0,71.2,46.3,22.6,0.0,82.3,36.5,37.1,100.0,54.8,19.2,24.0,0.0,90.1,94.5,3.5,(X),(X),60.4,18.7,61.9,30.6,60.0,22.8,873,422,(X),(X),873,422,72,97,29,46,43,54,0,16,477,391,213,210,199,187,65,95,251,179,0,16,239,175,12,38,73,68,0,16,63,66,10,16,220,146,(X),(X),220,146,43,54,177,134,15.2,6.4,(X),(X),55.0,13.3,47.1,32.7,100.0,52.9,34.7,28.9,-,**,56.4,25.1,94.7,45.7,35.8,27.6,100.0,34.9,53.1,21.5,0.0,71.2,53.7,22.6,100.0,82.2,63.5,37.1,0.0,54.8,80.8,24.0,100.0,90.1,5.5,3.5,(X),(X),39.6,18.7,38.1,30.6,40.0,22.8,
2019,S1601,Subject Table,ST,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",17019000901,17,019,000901,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",4503,497,3687,562,816,299,459,222,32,40,417,212,10,17,323,226,37,45,279,210,7,11,6,12,0,16,6,12,0,16,28,47,0,16,28,47,0,16,3034,402,2825,416,209,110,88,67,121,88,(X),(X),81.9,6.8,18.1,6.8,10.2,5.2,0.7,0.9,9.3,5.0,0.2,0.4,7.2,4.9,0.8,1.0,6.2,4.6,0.2,0.2,0.1,0.3,0.0,0.7,0.1,0.3,0.0,0.7,0.6,1.0,0.0,0.7,0.6,1.0,0.0,0.7,(X),(X),93.1,3.7,6.9,3.7,2.9,2.3,4.0,2.9,4104,527,(X),(X),417,178,283,159,32,40,241,143,10,17,100,78,13,21,80,75,7,11,6,12,0,16,6,12,0,16,28,47,0,16,28,47,0,16,3020,401,(X),(X),195,108,88,67,107,85,91.1,5.3,(X),(X),51.1,19.2,61.7,22.4,100.0,50.4,57.8,23.5,100.0,90.1,31.0,27.8,35.1,55.3,28.7,31.4,100.0,100.0,100.0,100.0,-,**,100.0,100.0,-,**,100.0,53.8,-,**,100.0,53.8,-,**,99.5,0.7,(X),(X),93.3,10.7,100.0,28.2,88.4,18.4,399,242,(X),(X),399,242,176,135,0,16,176,135,0,16,223,210,24,38,199,200,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,14,21,(X),(X),14,21,0,16,14,21,8.9,5.3,(X),(X),48.9,19.2,38.3,22.4,0.0,50.4,42.2,23.5,0.0,90.1,69.0,27.8,64.9,55.3,71.3,31.4,0.0,100.0,0.0,100.0,-,**,0.0,100.0,-,**,0.0,53.8,-,**,0.0,53.8,-,**,0.5,0.7,(X),(X),6.7,10.7,0.0,28.2,11.6,18.4,
2019,S1601,Subject Table,ST,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",17019000902,17,019,000902,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",6315,440,5093,517,1222,335,275,182,52,63,223,142,0,16,276,204,57,94,219,151,0,16,578,223,144,62,434,206,0,16,93,151,0,16,46,75,47,76,4916,403,4397,451,519,202,161,111,358,180,(X),(X),80.6,5.3,19.4,5.3,4.4,2.9,0.8,1.0,3.5,2.3,0.0,0.5,4.4,3.2,0.9,1.5,3.5,2.4,0.0,0.5,9.2,3.5,2.3,1.0,6.9,3.2,0.0,0.5,1.5,2.4,0.0,0.5,0.7,1.2,0.7,1.2,(X),(X),89.4,4.2,10.6,4.2,3.3,2.3,7.3,3.7,5746,455,(X),(X),653,219,213,158,52,63,161,117,0,16,179,154,57,94,122,126,0,16,214,91,69,60,145,104,0,16,47,76,0,16,0,16,47,76,4744,416,(X),(X),347,182,149,109,198,155,91.0,3.7,(X),(X),53.4,13.2,77.5,18.0,100.0,39.5,72.2,21.5,-,**,64.9,25.8,100.0,37.7,55.7,36.8,-,**,37.0,21.3,47.9,30.2,33.4,27.7,-,**,50.5,3.1,-,**,0.0,42.0,100.0,41.6,96.5,2.2,(X),(X),66.9,18.9,92.5,14.8,55.3,27.7,569,242,(X),(X),569,242,62,62,0,16,62,62,0,16,97,93,0,16,97,93,0,16,364,231,75,46,289,207,0,16,46,75,0,16,46,75,0,16,172,106,(X),(X),172,106,12,22,160,105,9.0,3.7,(X),(X),46.6,13.2,22.5,18.0,0.0,39.5,27.8,21.5,-,**,35.1,25.8,0.0,37.7,44.3,36.8,-,**,63.0,21.3,52.1,30.2,66.6,27.7,-,**,49.5,3.1,-,**,100.0,42.0,0.0,41.6,3.5,2.2,(X),(X),33.1,18.9,7.5,14.8,44.7,27.7,
