year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,Unnamed:_44
2021,B03002,Detailed Table,DT,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17019000200,17,019,000200,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",2333,397,2179,357,276,141,1548,331,0,12,319,151,0,12,0,12,36,37,0,12,36,37,154,145,14,15,0,12,0,12,2,3,0,12,28,31,110,137,76,90,34,53,
2021,B03002,Detailed Table,DT,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",17019000301,17,019,000301,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",5815,925,5576,879,3124,799,347,220,0,17,1893,478,0,17,32,51,180,111,0,17,180,111,239,155,19,28,13,20,0,17,41,64,0,17,100,122,66,75,66,75,0,17,
2021,B03002,Detailed Table,DT,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",17019000302,17,019,000302,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",2545,431,2424,418,740,256,111,78,11,17,1521,379,0,12,0,12,41,39,0,12,41,39,121,69,101,62,0,12,0,12,0,12,0,12,20,32,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",17019000401,17,019,000401,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",4987,454,4630,431,3370,405,160,66,3,6,1033,277,0,12,0,12,64,46,0,12,64,46,357,108,243,98,0,12,3,8,0,12,9,19,11,19,91,61,72,55,19,28,
2021,B03002,Detailed Table,DT,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",17019000402,17,019,000402,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",3556,540,3205,506,1948,414,240,128,0,12,911,279,0,12,19,30,87,58,0,12,87,58,351,140,160,81,0,12,0,12,12,19,0,12,54,51,125,93,116,92,9,15,
2021,B03002,Detailed Table,DT,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",17019000500,17,019,000500,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",3441,593,3333,589,2557,594,494,299,0,12,201,140,0,12,24,38,57,85,1,2,56,84,108,114,72,87,0,12,0,12,0,12,0,12,36,64,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",17019000700,17,019,000700,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",3845,623,3171,499,1425,359,1436,370,0,12,78,67,15,35,0,12,217,148,0,12,217,148,674,422,250,208,0,12,0,12,0,12,0,12,424,374,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",17019000800,17,019,000800,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",6584,875,6082,759,3193,694,1422,693,0,17,1310,410,0,17,0,17,157,109,0,17,157,109,502,382,441,378,0,17,0,17,0,17,0,17,18,30,43,59,43,59,0,17,
2021,B03002,Detailed Table,DT,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",17019000901,17,019,000901,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",4679,743,4014,719,1348,404,2476,617,0,12,43,74,0,12,41,63,106,70,0,12,106,70,665,387,493,323,58,73,0,12,0,12,0,12,114,159,0,12,0,12,0,12,
2021,B03002,Detailed Table,DT,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",17019000902,17,019,000902,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",7345,973,7189,966,4300,644,1708,799,0,17,1061,534,0,17,0,17,120,98,0,17,120,98,156,112,156,112,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,
