year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,S2301_C01_001E,S2301_C01_001M,S2301_C01_002E,S2301_C01_002M,S2301_C01_003E,S2301_C01_003M,S2301_C01_004E,S2301_C01_004M,S2301_C01_005E,S2301_C01_005M,S2301_C01_006E,S2301_C01_006M,S2301_C01_007E,S2301_C01_007M,S2301_C01_008E,S2301_C01_008M,S2301_C01_009E,S2301_C01_009M,S2301_C01_010E,S2301_C01_010M,S2301_C01_011E,S2301_C01_011M,S2301_C01_012E,S2301_C01_012M,S2301_C01_013E,S2301_C01_013M,S2301_C01_014E,S2301_C01_014M,S2301_C01_015E,S2301_C01_015M,S2301_C01_016E,S2301_C01_016M,S2301_C01_017E,S2301_C01_017M,S2301_C01_018E,S2301_C01_018M,S2301_C01_019E,S2301_C01_019M,S2301_C01_020E,S2301_C01_020M,S2301_C01_021E,S2301_C01_021M,S2301_C01_022E,S2301_C01_022M,S2301_C01_023E,S2301_C01_023M,S2301_C01_024E,S2301_C01_024M,S2301_C01_025E,S2301_C01_025M,S2301_C01_026E,S2301_C01_026M,S2301_C01_027E,S2301_C01_027M,S2301_C01_028E,S2301_C01_028M,S2301_C01_029E,S2301_C01_029M,S2301_C01_030E,S2301_C01_030M,S2301_C01_031E,S2301_C01_031M,S2301_C01_032E,S2301_C01_032M,S2301_C01_033E,S2301_C01_033M,S2301_C01_034E,S2301_C01_034M,S2301_C01_035E,S2301_C01_035M,S2301_C02_001E,S2301_C02_001M,S2301_C02_002E,S2301_C02_002M,S2301_C02_003E,S2301_C02_003M,S2301_C02_004E,S2301_C02_004M,S2301_C02_005E,S2301_C02_005M,S2301_C02_006E,S2301_C02_006M,S2301_C02_007E,S2301_C02_007M,S2301_C02_008E,S2301_C02_008M,S2301_C02_009E,S2301_C02_009M,S2301_C02_010E,S2301_C02_010M,S2301_C02_011E,S2301_C02_011M,S2301_C02_012E,S2301_C02_012M,S2301_C02_013E,S2301_C02_013M,S2301_C02_014E,S2301_C02_014M,S2301_C02_015E,S2301_C02_015M,S2301_C02_016E,S2301_C02_016M,S2301_C02_017E,S2301_C02_017M,S2301_C02_018E,S2301_C02_018M,S2301_C02_019E,S2301_C02_019M,S2301_C02_020E,S2301_C02_020M,S2301_C02_021E,S2301_C02_021M,S2301_C02_022E,S2301_C02_022M,S2301_C02_023E,S2301_C02_023M,S2301_C02_024E,S2301_C02_024M,S2301_C02_025E,S2301_C02_025M,S2301_C02_026E,S2301_C02_026M,S2301_C02_027E,S2301_C02_027M,S2301_C02_028E,S2301_C02_028M,S2301_C02_029E,S2301_C02_029M,S2301_C02_030E,S2301_C02_030M,S2301_C02_031E,S2301_C02_031M,S2301_C02_032E,S2301_C02_032M,S2301_C02_033E,S2301_C02_033M,S2301_C02_034E,S2301_C02_034M,S2301_C02_035E,S2301_C02_035M,S2301_C03_001E,S2301_C03_001M,S2301_C03_002E,S2301_C03_002M,S2301_C03_003E,S2301_C03_003M,S2301_C03_004E,S2301_C03_004M,S2301_C03_005E,S2301_C03_005M,S2301_C03_006E,S2301_C03_006M,S2301_C03_007E,S2301_C03_007M,S2301_C03_008E,S2301_C03_008M,S2301_C03_009E,S2301_C03_009M,S2301_C03_010E,S2301_C03_010M,S2301_C03_011E,S2301_C03_011M,S2301_C03_012E,S2301_C03_012M,S2301_C03_013E,S2301_C03_013M,S2301_C03_014E,S2301_C03_014M,S2301_C03_015E,S2301_C03_015M,S2301_C03_016E,S2301_C03_016M,S2301_C03_017E,S2301_C03_017M,S2301_C03_018E,S2301_C03_018M,S2301_C03_019E,S2301_C03_019M,S2301_C03_020E,S2301_C03_020M,S2301_C03_021E,S2301_C03_021M,S2301_C03_022E,S2301_C03_022M,S2301_C03_023E,S2301_C03_023M,S2301_C03_024E,S2301_C03_024M,S2301_C03_025E,S2301_C03_025M,S2301_C03_026E,S2301_C03_026M,S2301_C03_027E,S2301_C03_027M,S2301_C03_028E,S2301_C03_028M,S2301_C03_029E,S2301_C03_029M,S2301_C03_030E,S2301_C03_030M,S2301_C03_031E,S2301_C03_031M,S2301_C03_032E,S2301_C03_032M,S2301_C03_033E,S2301_C03_033M,S2301_C03_034E,S2301_C03_034M,S2301_C03_035E,S2301_C03_035M,S2301_C04_001E,S2301_C04_001M,S2301_C04_002E,S2301_C04_002M,S2301_C04_003E,S2301_C04_003M,S2301_C04_004E,S2301_C04_004M,S2301_C04_005E,S2301_C04_005M,S2301_C04_006E,S2301_C04_006M,S2301_C04_007E,S2301_C04_007M,S2301_C04_008E,S2301_C04_008M,S2301_C04_009E,S2301_C04_009M,S2301_C04_010E,S2301_C04_010M,S2301_C04_011E,S2301_C04_011M,S2301_C04_012E,S2301_C04_012M,S2301_C04_013E,S2301_C04_013M,S2301_C04_014E,S2301_C04_014M,S2301_C04_015E,S2301_C04_015M,S2301_C04_016E,S2301_C04_016M,S2301_C04_017E,S2301_C04_017M,S2301_C04_018E,S2301_C04_018M,S2301_C04_019E,S2301_C04_019M,S2301_C04_020E,S2301_C04_020M,S2301_C04_021E,S2301_C04_021M,S2301_C04_022E,S2301_C04_022M,S2301_C04_023E,S2301_C04_023M,S2301_C04_024E,S2301_C04_024M,S2301_C04_025E,S2301_C04_025M,S2301_C04_026E,S2301_C04_026M,S2301_C04_027E,S2301_C04_027M,S2301_C04_028E,S2301_C04_028M,S2301_C04_029E,S2301_C04_029M,S2301_C04_030E,S2301_C04_030M,S2301_C04_031E,S2301_C04_031M,S2301_C04_032E,S2301_C04_032M,S2301_C04_033E,S2301_C04_033M,S2301_C04_034E,S2301_C04_034M,S2301_C04_035E,S2301_C04_035M,Unnamed:_282
2021,S2301,Subject Table,ST,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17019000200,17,019,000200,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",1750,284,50,44,430,179,243,133,147,81,226,105,244,120,137,90,76,32,41,36,156,65,269,127,1051,238,0,12,321,151,0,12,28,31,81,63,89,62,255,129,1503,266,731,189,772,149,268,92,85,75,138,61,45,45,615,184,888,258,171,72,1073,235,117,91,364,114,377,135,215,81,52.7,7.1,16.0,27.1,39.1,15.9,84.0,16.2,81.0,17.2,68.1,16.4,84.4,15.2,24.8,21.2,22.4,25.0,31.7,43.3,0.0,18.7,67.7,14.5,59.5,8.4,-,**,22.7,9.6,-,**,0.0,56.0,53.1,37.7,64.0,31.9,65.9,15.3,60.0,7.7,72.2,9.4,48.4,10.3,76.9,18.2,65.9,47.1,100.0,20.8,26.7,37.1,44.4,11.0,70.8,10.2,17.0,21.4,68.4,8.2,70.9,27.4,54.9,17.0,86.2,9.6,58.6,17.5,47.8,7.1,16.0,27.1,39.1,15.9,77.0,19.4,78.9,17.5,63.7,15.9,61.5,22.2,24.8,21.2,22.4,25.0,31.7,43.3,0.0,18.7,66.5,14.4,54.0,8.0,-,**,22.7,9.6,-,**,0.0,56.0,21.0,32.7,34.8,33.4,64.7,15.3,54.3,7.8,65.0,10.3,44.2,10.0,76.9,18.2,65.9,47.1,100.0,20.8,26.7,37.1,34.1,8.5,68.2,11.2,17.0,21.4,60.4,9.1,62.4,33.0,41.2,16.1,79.3,13.8,58.6,17.5,9.3,5.7,0.0,100.0,0.0,17.5,8.3,14.7,2.5,4.9,6.5,9.6,27.2,21.0,0.0,50.9,0.0,71.9,0.0,82.3,-,**,1.6,3.3,9.1,5.9,-,**,0.0,34.1,-,**,-,**,60.5,57.8,45.6,48.3,1.8,3.7,9.5,5.9,10.0,9.2,8.8,7.1,0.0,14.6,0.0,39.6,0.0,20.8,0.0,85.6,23.1,16.0,3.7,3.6,0.0,55.1,11.7,7.2,12.0,23.4,25.0,17.8,8.0,11.5,0.0,22.5,
2021,S2301,Subject Table,ST,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",17019000301,17,019,000301,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",5815,925,574,356,4594,862,395,304,57,58,61,57,72,52,7,16,7,16,16,18,32,36,3143,797,360,219,0,17,1934,474,0,17,132,137,246,136,239,155,3124,799,5193,859,3513,815,1680,483,18,31,0,17,0,17,18,31,4074,861,1045,353,155,126,599,316,40,41,98,99,50,47,411,232,38.7,8.9,15.9,10.9,38.4,10.2,84.6,18.6,64.9,50.2,39.3,50.4,0.0,34.4,0.0,100.0,0.0,100.0,0.0,74.1,0.0,52.4,30.6,11.8,51.4,31.6,-,**,46.4,15.2,-,**,75.8,39.2,43.5,31.5,71.1,28.2,30.3,11.9,41.6,10.0,39.6,13.4,45.8,13.3,0.0,69.9,-,**,-,**,0.0,69.9,34.4,10.4,71.3,15.2,75.5,33.1,65.9,21.1,0.0,46.9,57.1,52.9,0.0,41.9,82.5,16.6,36.0,8.8,8.0,7.4,36.1,10.1,82.5,20.5,64.9,50.2,39.3,50.4,0.0,34.4,0.0,100.0,0.0,100.0,0.0,74.1,0.0,52.4,28.7,11.8,33.9,31.6,-,**,45.2,15.6,-,**,75.8,39.2,37.8,32.4,71.1,28.2,28.3,11.8,39.4,9.9,36.3,13.0,45.8,13.3,0.0,69.9,-,**,-,**,0.0,69.9,31.6,10.1,71.3,15.2,75.5,33.1,64.6,21.4,0.0,46.9,57.1,52.9,0.0,41.9,80.5,17.8,7.1,5.4,49.5,36.8,6.1,6.4,2.4,4.5,0.0,48.8,0.0,60.5,-,**,-,**,-,**,-,**,-,**,6.3,7.3,34.1,47.7,-,**,2.6,2.9,-,**,0.0,27.2,13.1,25.1,0.0,17.3,6.4,7.5,5.4,5.2,8.3,7.9,0.0,4.1,-,**,-,**,-,**,-,**,8.3,8.0,0.0,4.3,0.0,23.9,2.0,3.6,-,**,0.0,39.6,-,**,2.4,4.0,
2021,S2301,Subject Table,ST,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",17019000302,17,019,000302,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",2545,431,249,205,1493,376,390,191,177,110,34,39,142,108,38,38,0,12,22,36,0,12,841,268,111,78,11,17,1521,379,0,12,20,32,41,39,121,69,740,256,2274,400,1510,297,764,287,0,12,0,12,0,12,0,12,1358,364,916,233,105,78,781,243,34,40,71,56,149,160,527,192,48.7,9.2,23.7,11.5,44.1,10.9,58.2,26.6,92.7,12.7,100.0,50.9,62.0,28.2,26.3,41.6,-,**,0.0,63.2,-,**,54.2,18.1,49.5,37.0,0.0,89.4,46.0,12.2,-,**,100.0,66.3,22.0,41.9,77.7,23.1,51.6,19.8,51.9,9.9,54.8,10.2,46.2,19.8,-,**,-,**,-,**,-,**,26.4,10.8,89.8,8.4,57.1,36.7,67.0,15.8,0.0,50.9,84.5,26.0,19.5,30.7,82.4,13.2,46.8,9.0,20.1,12.2,41.3,10.5,58.2,26.6,92.7,12.7,100.0,50.9,62.0,28.2,26.3,41.6,-,**,0.0,63.2,-,**,49.3,16.9,49.5,37.0,0.0,89.4,46.0,12.2,-,**,100.0,66.3,0.0,46.3,67.8,24.5,47.7,18.3,50.1,9.7,52.1,10.1,46.2,19.8,-,**,-,**,-,**,-,**,24.2,10.9,88.5,8.1,45.7,33.5,67.0,15.8,0.0,50.9,84.5,26.0,19.5,30.7,82.4,13.2,4.0,4.0,15.3,32.7,6.2,7.2,0.0,13.3,0.0,17.9,0.0,50.9,0.0,29.9,0.0,93.8,-,**,-,**,-,**,9.0,10.0,0.0,40.0,-,**,0.0,4.5,-,**,0.0,66.3,100.0,98.9,12.8,20.1,7.6,11.1,3.5,4.1,5.0,5.7,0.0,8.8,-,**,-,**,-,**,-,**,8.1,13.4,1.5,2.3,20.0,28.9,0.0,6.0,-,**,0.0,38.3,0.0,55.1,0.0,7.2,
2021,S2301,Subject Table,ST,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",17019000401,17,019,000401,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",4987,454,2802,358,2063,360,60,41,20,22,32,29,1,3,0,12,4,7,0,12,5,11,3613,442,160,66,6,11,1033,277,9,19,11,19,155,83,357,108,3370,405,2180,367,1000,240,1180,269,0,12,0,12,0,12,0,12,1102,287,109,44,3,6,117,55,0,12,3,5,40,37,74,40,30.2,5.2,19.6,5.5,41.9,8.2,75.0,34.5,70.0,49.7,90.6,22.2,100.0,100.0,-,**,25.0,71.4,-,**,0.0,100.0,29.2,6.2,28.8,24.0,0.0,100.0,34.4,12.8,0.0,98.9,100.0,89.4,24.5,19.2,16.5,13.7,29.9,6.4,43.8,7.9,42.5,9.4,44.9,13.1,-,**,-,**,-,**,-,**,43.3,14.4,55.0,22.1,0.0,100.0,76.9,19.1,-,**,33.3,66.7,55.0,49.2,90.5,10.6,28.2,5.1,17.4,5.2,40.9,8.2,75.0,34.5,0.0,66.3,90.6,22.2,100.0,100.0,-,**,25.0,71.4,-,**,0.0,100.0,27.2,6.2,28.8,24.0,0.0,100.0,33.3,12.6,0.0,98.9,100.0,89.4,15.5,16.7,16.5,13.7,27.7,6.2,42.2,7.8,38.9,9.4,44.9,13.1,-,**,-,**,-,**,-,**,40.0,14.2,55.0,22.1,0.0,100.0,65.0,21.1,-,**,33.3,66.7,20.0,42.1,90.5,10.6,6.5,4.9,11.3,11.1,2.5,3.8,0.0,44.2,100.0,79.3,0.0,55.1,0.0,100.0,-,**,0.0,100.0,-,**,-,**,6.9,5.6,0.0,43.7,-,**,3.1,6.5,-,**,0.0,89.4,36.8,44.5,0.0,38.6,7.2,5.8,3.8,3.9,8.5,8.3,0.0,5.9,-,**,-,**,-,**,-,**,7.5,8.1,0.0,38.3,-,**,15.6,20.7,-,**,0.0,100.0,63.6,63.6,0.0,36.0,
2021,S2301,Subject Table,ST,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",17019000402,17,019,000402,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",3556,540,785,135,2322,497,379,186,23,28,7,11,11,21,21,33,0,12,0,12,8,13,2108,419,240,128,0,12,923,284,0,12,73,58,212,112,351,140,1948,414,2763,518,1537,450,1226,317,0,12,0,12,0,12,0,12,2187,513,268,111,117,100,441,190,0,12,0,12,28,25,413,197,35.6,7.9,21.8,9.0,39.4,9.8,33.2,30.2,100.0,61.8,0.0,100.0,100.0,89.4,100.0,64.7,-,**,-,**,0.0,100.0,29.1,8.9,55.4,30.5,-,**,37.4,14.8,-,**,52.1,42.2,64.2,21.8,46.4,16.9,29.2,9.1,39.6,9.9,30.5,11.7,51.1,17.2,-,**,-,**,-,**,-,**,34.2,10.3,74.6,16.3,58.1,25.3,41.0,28.0,-,**,-,**,100.0,56.0,37.0,29.1,33.6,7.6,19.7,8.7,37.7,9.7,33.2,30.2,30.4,57.5,0.0,100.0,100.0,89.4,100.0,64.7,-,**,-,**,0.0,100.0,27.1,8.9,47.5,30.7,-,**,36.4,14.5,-,**,52.1,42.2,64.2,21.8,46.4,16.9,27.0,9.1,37.6,9.6,30.5,11.7,46.6,16.7,-,**,-,**,-,**,-,**,31.7,9.9,74.6,16.3,58.1,25.3,37.4,26.6,-,**,-,**,100.0,56.0,33.2,27.6,5.6,4.3,9.4,12.1,4.3,5.0,0.0,22.5,69.6,57.5,-,**,0.0,89.4,0.0,64.7,-,**,-,**,-,**,7.0,6.8,14.3,21.9,-,**,2.6,5.2,-,**,0.0,48.1,0.0,21.1,0.0,18.0,7.6,7.2,5.0,4.7,0.0,6.7,8.8,8.1,-,**,-,**,-,**,-,**,7.3,6.8,0.0,15.0,0.0,35.7,8.8,14.8,-,**,-,**,0.0,56.0,10.5,19.0,
2021,S2301,Subject Table,ST,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",17019000500,17,019,000500,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",2997,577,86,110,422,245,422,189,263,147,537,226,455,378,187,97,227,112,287,153,111,90,2335,575,364,184,0,12,201,140,0,12,40,49,57,85,88,95,2263,570,2513,529,1165,324,1348,305,461,239,185,136,63,75,213,208,467,194,2046,456,123,71,2091,441,16,25,138,114,435,178,1502,425,75.0,5.7,0.0,30.5,66.6,21.8,91.5,9.4,93.5,11.6,86.4,9.9,99.8,0.7,59.4,26.1,72.7,17.2,48.4,17.4,1.8,4.1,72.9,6.5,77.2,24.9,-,**,91.5,13.5,-,**,60.0,60.0,98.2,6.1,23.9,22.4,74.3,6.2,83.8,6.2,91.1,6.1,77.6,10.6,98.0,3.9,95.1,9.9,100.0,37.3,100.0,14.1,45.0,22.0,92.7,4.7,55.3,36.2,87.3,5.0,0.0,74.1,74.6,32.5,85.1,12.5,90.1,5.3,73.2,6.7,0.0,30.5,63.5,21.7,82.0,17.7,93.5,11.6,86.4,9.9,99.8,0.7,59.4,26.1,72.7,17.2,48.4,17.4,1.8,4.1,70.7,7.1,77.2,24.9,-,**,91.5,13.5,-,**,60.0,60.0,98.2,6.1,23.9,22.4,72.0,7.0,81.7,7.3,86.5,8.9,77.6,10.6,98.0,3.9,95.1,9.9,100.0,37.3,100.0,14.1,42.2,22.1,90.8,5.9,55.3,36.2,85.4,6.6,0.0,74.1,74.6,32.5,85.1,12.5,87.4,7.3,2.4,3.4,-,**,4.6,8.8,10.4,17.5,0.0,12.4,0.0,6.8,0.0,6.9,0.0,25.0,0.0,17.8,0.0,20.7,0.0,100.0,3.1,4.3,0.0,10.9,-,**,0.0,16.1,-,**,0.0,60.5,0.0,39.6,0.0,64.7,3.2,4.4,2.5,3.6,5.0,6.9,0.0,3.1,0.0,6.9,0.0,16.8,0.0,37.3,0.0,14.1,6.2,11.8,2.1,3.7,0.0,35.7,2.2,3.9,-,**,0.0,26.5,0.0,8.4,3.0,5.2,
2021,S2301,Subject Table,ST,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",17019000700,17,019,000700,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",2822,480,161,112,474,257,488,175,137,74,493,226,330,135,302,129,86,42,269,104,82,44,1389,323,943,243,0,12,67,62,15,35,274,256,134,120,422,281,1241,317,2310,427,1458,388,852,159,290,94,92,65,125,65,73,65,541,273,1769,379,264,96,1836,329,499,259,655,185,469,141,213,89,71.2,7.6,66.5,21.6,66.9,31.4,90.8,7.7,73.0,23.8,90.9,9.3,70.6,16.8,67.5,17.0,68.6,20.6,36.4,22.9,0.0,31.5,73.0,12.2,66.3,12.6,-,**,79.1,26.2,100.0,76.6,71.5,13.8,79.1,35.4,78.0,10.5,71.0,13.4,78.1,9.1,79.7,13.2,75.4,10.1,87.2,11.4,100.0,29.0,70.4,25.0,100.0,34.1,46.4,18.2,87.8,5.3,42.4,18.8,81.0,5.7,73.9,11.5,77.1,12.4,88.7,7.6,92.5,11.1,61.8,7.7,38.5,21.8,66.9,31.4,73.6,19.7,52.6,26.8,78.3,14.7,58.2,19.4,67.5,17.0,61.6,21.2,36.4,22.9,0.0,31.5,64.7,11.9,51.0,12.4,-,**,79.1,26.2,100.0,76.6,71.5,13.8,74.6,35.2,72.5,10.4,63.5,13.4,68.5,9.3,66.5,13.9,72.1,9.7,81.7,13.1,100.0,29.0,57.6,29.0,100.0,34.1,39.2,17.1,77.5,7.8,42.4,18.8,69.0,7.4,54.3,17.5,63.8,15.0,81.0,10.0,92.5,11.1,13.2,6.6,42.1,37.6,0.0,9.7,19.0,19.9,28.0,27.3,13.8,14.6,17.6,15.5,0.0,14.7,10.2,14.9,0.0,27.6,-,**,11.4,8.1,23.0,11.6,-,**,0.0,40.7,0.0,76.6,0.0,15.2,5.7,8.9,7.0,12.0,10.6,8.5,12.3,7.0,16.6,10.6,4.4,4.5,6.3,8.0,0.0,29.0,18.2,25.3,0.0,34.1,15.5,14.8,11.7,8.3,0.0,24.8,14.9,8.4,26.6,24.4,17.2,11.9,8.7,8.8,0.0,15.2,
2021,S2301,Subject Table,ST,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",17019000800,17,019,000800,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",5439,681,370,271,889,437,857,294,938,220,1002,298,602,195,77,66,142,79,330,113,232,115,3255,689,1088,535,0,17,991,283,0,17,18,30,87,62,290,201,2989,656,4507,628,2390,421,2117,363,641,182,200,99,199,118,242,129,589,318,3896,512,260,149,3618,506,218,141,563,196,763,234,2074,350,83.8,3.9,64.6,32.5,98.4,3.1,98.2,2.4,85.4,8.6,97.6,3.5,97.0,4.8,57.1,48.2,53.5,25.3,35.8,23.2,0.0,13.0,83.3,5.0,84.4,10.3,-,**,82.8,10.1,-,**,100.0,69.9,100.0,30.2,94.8,10.8,82.4,5.4,93.2,2.5,94.3,3.7,92.0,3.9,89.1,8.9,76.0,22.8,88.9,17.1,100.0,12.5,91.2,10.1,94.0,2.6,76.9,22.9,91.9,3.1,100.0,13.8,86.7,11.3,96.6,3.7,90.7,4.6,80.1,4.4,43.0,20.1,92.4,9.1,98.2,2.4,83.0,9.0,96.3,3.8,91.5,10.1,57.1,48.2,53.5,25.3,35.8,23.2,0.0,13.0,83.3,5.0,73.3,10.2,-,**,74.6,10.4,-,**,100.0,69.9,100.0,30.2,94.8,10.8,82.4,5.4,90.5,3.5,92.2,4.2,88.5,5.0,89.1,8.9,76.0,22.8,88.9,17.1,100.0,12.5,87.4,15.8,91.5,3.6,76.9,22.9,90.0,4.0,100.0,13.8,86.7,11.3,96.6,3.7,87.5,6.4,4.4,3.3,33.5,27.2,6.2,8.7,0.0,3.8,2.7,4.6,1.3,2.3,5.7,8.8,0.0,44.7,0.0,33.2,0.0,23.7,-,**,0.0,1.2,13.1,10.5,-,**,10.0,8.5,-,**,0.0,69.9,0.0,30.2,0.0,11.1,0.0,1.3,2.9,2.4,2.2,2.3,3.7,4.1,0.0,5.5,0.0,19.1,0.0,16.7,0.0,12.5,4.1,7.8,2.7,2.5,0.0,15.0,2.0,2.1,0.0,13.8,0.0,6.4,0.0,4.3,3.6,3.8,
2021,S2301,Subject Table,ST,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",17019000901,17,019,000901,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",3370,500,227,136,601,259,273,118,446,188,484,139,442,161,409,157,171,98,137,64,180,94,1514,409,1639,363,0,12,27,49,0,12,104,109,86,59,279,183,1330,406,2826,500,1382,347,1444,295,384,141,66,55,108,96,210,108,638,247,2188,461,422,160,2225,372,265,117,692,225,985,217,283,145,71.1,6.5,34.4,25.5,78.7,18.9,73.3,19.3,86.3,13.4,91.3,11.2,86.0,10.6,68.0,21.0,62.0,26.0,39.4,23.0,0.0,16.5,71.5,9.7,71.5,8.6,-,**,51.9,12.2,-,**,79.8,23.7,52.3,40.2,77.1,15.8,70.8,11.1,80.1,6.5,82.5,9.4,77.8,9.1,91.4,8.3,80.3,29.9,98.1,3.3,91.4,11.9,56.3,17.0,87.1,6.1,36.5,14.5,80.5,6.2,70.9,20.5,73.8,14.3,89.1,6.7,75.6,17.5,63.8,7.0,34.4,25.5,75.5,19.4,49.1,19.5,75.6,16.4,76.4,14.9,79.4,10.8,68.0,21.0,62.0,26.0,31.4,20.7,0.0,16.5,65.6,9.4,62.5,9.8,-,**,51.9,12.2,-,**,79.8,23.7,41.9,31.8,71.7,15.4,65.2,10.7,71.8,7.4,69.3,11.1,74.2,9.4,85.2,10.6,80.3,29.9,98.1,3.3,80.0,18.1,28.5,14.1,84.5,6.5,27.0,14.5,70.8,7.0,58.1,23.0,61.4,14.7,79.5,12.0,75.6,17.5,10.2,4.9,0.0,32.7,4.0,5.1,33.0,23.7,12.5,17.3,16.3,15.0,7.6,10.1,0.0,11.0,0.0,25.9,20.4,27.7,-,**,8.2,6.1,12.5,8.1,-,**,0.0,79.3,-,**,0.0,31.3,20.0,25.3,7.0,10.3,7.9,6.6,10.3,5.1,16.0,8.4,4.6,3.5,6.8,7.4,0.0,40.7,0.0,25.9,12.5,14.1,49.3,20.7,3.0,2.5,26.0,20.2,12.0,6.3,18.1,21.2,16.8,13.8,10.8,9.9,0.0,14.1,
2021,S2301,Subject Table,ST,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",17019000902,17,019,000902,1400000US17019000902,"Census Tract 9.02, Champaign County, Illinois",5593,629,351,186,739,286,510,219,417,185,1177,265,847,351,312,137,455,160,503,159,282,108,3571,506,1213,417,0,17,734,357,0,17,0,17,75,84,139,99,3432,494,4457,591,1973,382,2484,333,847,212,111,62,306,140,430,179,377,185,4080,555,707,248,3718,540,291,152,516,193,1383,363,1528,368,66.2,6.1,14.0,14.4,69.1,14.4,71.2,15.9,76.5,22.5,91.1,6.9,85.8,12.9,92.0,11.4,56.9,16.6,23.3,18.0,0.0,10.9,70.0,6.5,60.4,14.9,-,**,57.1,14.7,-,**,-,**,72.0,47.8,61.9,36.2,70.3,6.5,79.4,5.9,84.5,6.4,75.3,9.2,73.3,12.7,73.9,30.7,62.1,23.3,81.2,18.7,44.6,23.2,82.6,5.3,48.5,19.8,81.4,5.6,69.8,23.8,54.3,17.9,86.6,7.9,88.1,7.2,61.8,6.8,10.5,12.6,54.9,14.9,63.1,18.5,76.5,22.5,84.6,13.7,84.4,13.3,92.0,11.4,56.9,16.6,23.3,18.0,0.0,10.9,67.5,6.6,52.2,16.5,-,**,49.2,21.9,-,**,-,**,72.0,47.8,61.9,36.2,67.7,6.5,74.1,6.7,77.7,9.1,71.3,9.2,71.2,12.4,73.9,30.7,62.1,23.3,77.0,18.3,40.6,24.5,77.2,6.5,32.1,18.6,77.9,6.7,67.0,24.0,50.8,16.7,79.2,11.3,88.1,7.2,6.6,3.9,24.5,45.1,20.5,12.5,11.3,18.1,0.0,9.7,7.1,8.7,1.7,3.3,0.0,10.7,0.0,11.8,0.0,23.9,-,**,3.5,3.5,13.6,10.8,-,**,13.8,18.5,-,**,-,**,0.0,40.4,0.0,30.5,3.6,3.6,6.6,4.0,8.0,7.5,5.3,3.6,2.9,4.7,0.0,31.5,0.0,15.7,5.2,8.4,8.9,18.6,6.5,4.0,33.8,21.7,4.3,3.8,3.9,8.2,6.4,9.3,8.6,8.9,0.0,2.4,
