year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,Unnamed:_44
2022,B03002,Detailed Table,DT,1400000US17019000200,Census Tract 2; Champaign County; Illinois,17019000200,17,019,000200,1400000US17019000200,Census Tract 2; Champaign County; Illinois,2210,454,2016,400,256,140,1341,367,21,36,351,160,0,12,0,12,47,39,0,12,47,39,194,150,54,64,5,9,0,12,2,3,0,12,28,27,105,134,75,93,30,45,
2022,B03002,Detailed Table,DT,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,17019000301,17,019,000301,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,6003,1106,5795,1081,3135,949,155,130,0,17,2341,595,0,17,0,17,164,106,0,17,164,106,208,152,14,21,0,17,0,17,0,17,0,17,77,112,117,101,117,101,0,17,
2022,B03002,Detailed Table,DT,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,17019000302,17,019,000302,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,2539,480,2335,474,760,280,134,108,21,27,1379,358,0,12,0,12,41,40,0,12,41,40,204,148,66,44,0,12,0,12,0,12,0,12,16,27,122,138,122,138,0,12,
2022,B03002,Detailed Table,DT,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,17019000401,17,019,000401,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,4554,375,4263,361,3011,296,121,72,3,5,1069,255,0,12,0,12,59,42,0,12,59,42,291,92,199,89,0,12,3,6,0,12,6,13,14,25,69,52,55,45,14,24,
2022,B03002,Detailed Table,DT,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,17019000402,17,019,000402,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,3377,509,3070,517,1906,420,194,125,24,35,868,293,0,12,0,12,78,45,0,12,78,45,307,135,120,76,0,12,0,12,0,12,0,12,50,44,137,102,127,101,10,16,
2022,B03002,Detailed Table,DT,1400000US17019000500,Census Tract 5; Champaign County; Illinois,17019000500,17,019,000500,1400000US17019000500,Census Tract 5; Champaign County; Illinois,3682,659,3547,650,2717,643,469,297,0,12,225,159,0,12,24,40,112,93,7,13,105,94,135,115,66,83,0,12,0,12,0,12,0,12,46,61,23,29,15,27,8,13,
2022,B03002,Detailed Table,DT,1400000US17019000700,Census Tract 7; Champaign County; Illinois,17019000700,17,019,000700,1400000US17019000700,Census Tract 7; Champaign County; Illinois,3732,691,2986,556,1388,327,1357,409,0,12,77,69,19,37,0,12,145,86,35,49,110,78,746,475,193,215,0,12,48,78,0,12,0,12,505,458,0,12,0,12,0,12,
2022,B03002,Detailed Table,DT,1400000US17019000800,Census Tract 8; Champaign County; Illinois,17019000800,17,019,000800,1400000US17019000800,Census Tract 8; Champaign County; Illinois,6735,806,6457,833,3213,718,1445,745,0,17,1664,401,0,17,0,17,135,106,0,17,135,106,278,197,201,164,0,17,0,17,0,17,0,17,35,44,42,55,42,55,0,17,
2022,B03002,Detailed Table,DT,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,17019000901,17,019,000901,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,4781,727,4025,700,1070,297,2620,668,0,12,66,103,0,12,129,166,140,115,0,12,140,115,756,463,362,282,126,192,0,12,5,9,0,12,263,351,0,12,0,12,0,12,
2022,B03002,Detailed Table,DT,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,17019000902,17,019,000902,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,7473,990,7265,1030,4379,718,1576,828,0,17,1141,623,0,17,48,68,121,95,23,36,98,92,208,133,208,133,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,
2022,B03002,Detailed Table,DT,1400000US17019001000,Census Tract 10; Champaign County; Illinois,17019001000,17,019,001000,1400000US17019001000,Census Tract 10; Champaign County; Illinois,4423,658,4333,622,3173,491,823,319,0,12,24,36,0,12,0,12,313,269,0,12,313,269,90,106,0,12,0,12,0,12,0,12,0,12,90,106,0,12,0,12,0,12,
2022,B03002,Detailed Table,DT,1400000US17019001100,Census Tract 11; Champaign County; Illinois,17019001100,17,019,001100,1400000US17019001100,Census Tract 11; Champaign County; Illinois,3741,576,3535,575,2925,528,321,244,0,12,124,124,0,12,12,20,153,141,47,41,106,134,206,94,69,57,0,12,0,12,0,12,0,12,55,47,82,52,63,45,19,28,
2022,B03002,Detailed Table,DT,1400000US17019001201,Census Tract 12.01; Champaign County; Illinois,17019001201,17,019,001201,1400000US17019001201,Census Tract 12.01; Champaign County; Illinois,7305,890,6820,943,2926,563,2538,638,0,17,861,417,0,17,0,17,495,456,65,82,430,415,485,423,326,401,0,17,0,17,0,17,0,17,38,50,121,117,121,117,0,17,
2022,B03002,Detailed Table,DT,1400000US17019001203,Census Tract 12.03; Champaign County; Illinois,17019001203,17,019,001203,1400000US17019001203,Census Tract 12.03; Champaign County; Illinois,4252,417,4114,450,3333,390,430,182,8,14,198,121,0,12,62,66,83,62,30,35,53,49,138,107,100,101,0,12,0,12,0,12,0,12,29,41,9,14,9,14,0,12,
2022,B03002,Detailed Table,DT,1400000US17019001204,Census Tract 12.04; Champaign County; Illinois,17019001204,17,019,001204,1400000US17019001204,Census Tract 12.04; Champaign County; Illinois,3704,445,3627,449,2169,301,191,134,0,12,950,268,0,12,45,65,272,165,0,12,272,165,77,76,77,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
2022,B03002,Detailed Table,DT,1400000US17019001205,Census Tract 12.05; Champaign County; Illinois,17019001205,17,019,001205,1400000US17019001205,Census Tract 12.05; Champaign County; Illinois,8362,853,7786,836,4355,650,802,401,0,17,2063,615,0,17,104,141,462,291,44,57,418,290,576,403,371,388,0,17,50,83,0,17,0,17,64,107,91,124,89,122,2,6,
2022,B03002,Detailed Table,DT,1400000US17019001206,Census Tract 12.06; Champaign County; Illinois,17019001206,17,019,001206,1400000US17019001206,Census Tract 12.06; Champaign County; Illinois,1837,277,1691,276,1511,267,50,61,0,12,40,37,0,12,0,12,90,61,6,8,84,62,146,120,105,109,0,12,0,12,0,12,0,12,12,14,29,28,23,28,6,9,
