year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B25003_001E,B25003_001M,B25003_002E,B25003_002M,B25003_003E,B25003_003M,Unnamed:_8
2022,B25003,Detailed Table,DT,1400000US17019000200,Census Tract 2; Champaign County; Illinois,17019000200,17,019,000200,1400000US17019000200,Census Tract 2; Champaign County; Illinois,893,179,361,106,532,142,
2022,B25003,Detailed Table,DT,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,17019000301,17,019,000301,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,2172,356,0,17,2172,356,
2022,B25003,Detailed Table,DT,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,17019000302,17,019,000302,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,1697,245,0,12,1697,245,
2022,B25003,Detailed Table,DT,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,17019000401,17,019,000401,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,549,142,0,12,549,142,
2022,B25003,Detailed Table,DT,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,17019000402,17,019,000402,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,1038,239,0,12,1038,239,
2022,B25003,Detailed Table,DT,1400000US17019000500,Census Tract 5; Champaign County; Illinois,17019000500,17,019,000500,1400000US17019000500,Census Tract 5; Champaign County; Illinois,1831,261,690,191,1141,202,
2022,B25003,Detailed Table,DT,1400000US17019000700,Census Tract 7; Champaign County; Illinois,17019000700,17,019,000700,1400000US17019000700,Census Tract 7; Champaign County; Illinois,1413,181,727,153,686,199,
2022,B25003,Detailed Table,DT,1400000US17019000800,Census Tract 8; Champaign County; Illinois,17019000800,17,019,000800,1400000US17019000800,Census Tract 8; Champaign County; Illinois,3016,290,834,121,2182,310,
2022,B25003,Detailed Table,DT,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,17019000901,17,019,000901,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,1923,204,828,179,1095,198,
2022,B25003,Detailed Table,DT,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,17019000902,17,019,000902,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,2926,265,2012,285,914,237,
2022,B25003,Detailed Table,DT,1400000US17019001000,Census Tract 10; Champaign County; Illinois,17019001000,17,019,001000,1400000US17019001000,Census Tract 10; Champaign County; Illinois,2043,352,1126,236,917,261,
2022,B25003,Detailed Table,DT,1400000US17019001100,Census Tract 11; Champaign County; Illinois,17019001100,17,019,001100,1400000US17019001100,Census Tract 11; Champaign County; Illinois,1609,156,1172,180,437,108,
2022,B25003,Detailed Table,DT,1400000US17019001201,Census Tract 12.01; Champaign County; Illinois,17019001201,17,019,001201,1400000US17019001201,Census Tract 12.01; Champaign County; Illinois,3004,348,1453,364,1551,282,
2022,B25003,Detailed Table,DT,1400000US17019001203,Census Tract 12.03; Champaign County; Illinois,17019001203,17,019,001203,1400000US17019001203,Census Tract 12.03; Champaign County; Illinois,1870,189,1486,154,384,140,
2022,B25003,Detailed Table,DT,1400000US17019001204,Census Tract 12.04; Champaign County; Illinois,17019001204,17,019,001204,1400000US17019001204,Census Tract 12.04; Champaign County; Illinois,1441,188,1136,165,305,123,
