year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M,Unnamed:_130
2022,S1901,Subject Table,ST,1400000US17019000200,Census Tract 2; Champaign County; Illinois,17019000200,17,019,000200,1400000US17019000200,Census Tract 2; Champaign County; Illinois,893,179,31.2,10.3,2.0,2.5,7.3,6.4,23.1,9.5,17.2,7.8,11.0,9.2,5.0,3.8,2.5,2.2,0.0,3.8,0.7,1.2,32054,4762,33257,5368,55.3,(X),(X),(X),(X),(X),440,143,28.0,15.4,0.0,7.6,1.1,2.4,27.0,14.7,20.9,13.6,15.9,15.7,3.4,3.5,2.3,2.9,0.0,7.6,1.4,2.5,33594,7472,37975,8300,(X),(X),48.6,(X),(X),(X),232,111,32.3,25.5,0.0,14.0,0.0,14.0,34.1,25.2,0.0,14.0,24.6,26.3,6.5,7.3,0.0,14.0,0.0,14.0,2.6,4.9,32500,20429,N,N,(X),(X),(X),(X),(X),(X),453,99,35.3,13.6,4.0,5.1,13.2,12.4,19.2,11.7,13.7,8.9,6.2,6.3,6.6,6.9,1.8,2.9,0.0,7.4,0.0,7.4,24347,10495,27629,7545,(X),(X),(X),(X),61.8,(X),
2022,S1901,Subject Table,ST,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,17019000301,17,019,000301,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,2172,356,69.2,8.9,5.2,4.2,5.4,4.9,9.6,4.9,4.7,2.8,4.1,4.5,0.7,1.1,0.0,1.6,1.2,1.7,0.0,1.6,5413,2337,13417,3759,41.6,(X),(X),(X),(X),(X),72,60,22.2,36.7,45.8,46.4,0.0,36.1,31.9,44.3,0.0,36.1,0.0,36.1,0.0,36.1,0.0,36.1,0.0,36.1,0.0,36.1,-,**,15297,10116,(X),(X),0.0,(X),(X),(X),25,40,0.0,61.6,100.0,61.6,0.0,61.6,0.0,61.6,0.0,61.6,0.0,61.6,0.0,61.6,0.0,61.6,0.0,61.6,0.0,61.6,-,**,N,N,(X),(X),(X),(X),(X),(X),2100,354,70.9,9.2,3.8,3.8,5.6,5.0,8.8,5.1,4.9,2.9,4.2,4.6,0.8,1.2,0.0,1.7,1.2,1.8,0.0,1.7,5284,2711,13353,3885,(X),(X),(X),(X),43.0,(X),
2022,S1901,Subject Table,ST,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,17019000302,17,019,000302,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,1697,245,45.2,9.7,7.3,5.3,12.3,6.5,12.6,5.8,8.0,4.4,6.6,4.5,6.4,5.6,1.6,1.8,0.0,2.0,0.0,2.0,11922,9474,23297,5474,23.1,(X),(X),(X),(X),(X),28,34,50.0,50.0,0.0,58.2,0.0,58.2,0.0,58.2,0.0,58.2,50.0,50.0,0.0,58.2,0.0,58.2,0.0,58.2,0.0,58.2,-,**,N,N,(X),(X),50.0,(X),(X),(X),14,23,0.0,82.3,0.0,82.3,0.0,82.3,0.0,82.3,0.0,82.3,100.0,82.2,0.0,82.3,0.0,82.3,0.0,82.3,0.0,82.3,-,**,N,N,(X),(X),(X),(X),(X),(X),1669,242,45.1,9.8,7.4,5.4,12.5,6.6,12.8,5.9,8.1,4.5,5.9,4.3,6.5,5.7,1.6,1.8,0.0,2.1,0.0,2.1,11922,9449,23222,5525,(X),(X),(X),(X),22.6,(X),
2022,S1901,Subject Table,ST,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,17019000401,17,019,000401,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,549,142,69.2,10.1,7.3,4.7,4.0,4.2,15.3,8.9,1.8,2.6,2.4,3.7,0.0,6.2,0.0,6.2,0.0,6.2,0.0,6.2,3388,3318,9788,3097,24.6,(X),(X),(X),(X),(X),11,16,100.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,-,**,N,N,(X),(X),0.0,(X),(X),(X),11,16,100.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,0.0,92.8,-,**,N,N,(X),(X),(X),(X),(X),(X),538,144,68.6,10.2,7.4,4.8,4.1,4.3,15.6,9.0,1.9,2.7,2.4,3.8,0.0,6.3,0.0,6.3,0.0,6.3,0.0,6.3,-,**,9843,3148,(X),(X),(X),(X),25.1,(X),
2022,S1901,Subject Table,ST,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,17019000402,17,019,000402,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,1038,239,52.3,11.7,11.6,7.1,17.1,6.9,9.7,5.8,3.3,2.8,2.3,2.7,1.5,2.4,0.5,0.8,1.0,1.7,0.8,1.3,8333,6020,17282,6085,38.3,(X),(X),(X),(X),(X),40,32,22.5,33.4,27.5,38.0,50.0,44.1,0.0,48.7,0.0,48.7,0.0,48.7,0.0,48.7,0.0,48.7,0.0,48.7,0.0,48.7,15000,3891,13083,5327,(X),(X),50.0,(X),(X),(X),0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,N,N,(X),(X),(X),(X),(X),(X),998,233,53.5,12.0,10.9,7.3,15.7,6.9,10.1,6.1,3.4,2.9,2.4,2.8,1.6,2.5,0.5,0.8,1.0,1.7,0.8,1.3,7569,6176,17450,6356,(X),(X),(X),(X),37.9,(X),
2022,S1901,Subject Table,ST,1400000US17019000500,Census Tract 5; Champaign County; Illinois,17019000500,17,019,000500,1400000US17019000500,Census Tract 5; Champaign County; Illinois,1831,261,6.6,3.8,3.9,3.4,18.0,9.2,3.3,2.7,11.5,6.4,20.6,7.7,6.2,3.4,11.1,6.1,6.7,3.5,12.1,8.6,60794,11694,94803,24058,29.3,(X),(X),(X),(X),(X),787,220,0.0,4.3,1.9,3.1,14.4,13.9,0.8,1.4,0.0,4.3,14.0,10.6,8.6,6.2,27.4,14.3,8.8,6.0,24.1,18.4,125469,38282,155310,45613,(X),(X),40.9,(X),(X),(X),511,196,0.0,6.6,2.9,4.5,0.0,6.6,1.2,2.3,0.0,6.6,7.2,9.0,13.3,10.0,24.7,14.7,13.5,9.4,37.2,24.5,152865,72472,N,N,(X),(X),(X),(X),(X),(X),1044,164,11.5,6.5,5.4,5.4,20.7,12.0,5.3,4.4,20.2,10.2,27.2,12.2,2.9,2.9,2.7,2.9,1.2,2.0,3.0,3.5,38846,9806,47386,9157,(X),(X),(X),(X),19.0,(X),
2022,S1901,Subject Table,ST,1400000US17019000700,Census Tract 7; Champaign County; Illinois,17019000700,17,019,000700,1400000US17019000700,Census Tract 7; Champaign County; Illinois,1413,181,13.0,7.5,1.8,2.9,8.5,4.9,9.1,6.3,26.5,8.3,11.5,5.4,24.6,8.4,2.8,2.6,1.0,1.2,1.4,2.2,46185,3762,54313,10139,50.6,(X),(X),(X),(X),(X),744,156,3.0,3.2,0.0,4.6,11.7,9.1,7.9,6.3,26.2,10.9,13.7,7.9,33.6,13.8,3.9,4.5,0.0,4.6,0.0,4.6,60088,28984,56490,7802,(X),(X),54.4,(X),(X),(X),260,106,0.0,12.6,0.0,12.6,4.2,7.2,11.5,12.1,7.7,9.6,29.2,16.1,36.2,23.4,11.2,12.4,0.0,12.6,0.0,12.6,68750,15369,N,N,(X),(X),(X),(X),(X),(X),669,169,24.1,14.6,3.9,6.1,4.9,3.7,13.3,11.9,25.6,12.1,9.0,7.5,12.7,8.3,1.5,2.2,2.1,2.5,3.0,4.8,40791,11418,50695,18280,(X),(X),(X),(X),46.3,(X),
2022,S1901,Subject Table,ST,1400000US17019000800,Census Tract 8; Champaign County; Illinois,17019000800,17,019,000800,1400000US17019000800,Census Tract 8; Champaign County; Illinois,3016,290,4.9,3.2,2.6,3.1,4.3,3.5,4.2,4.0,13.2,6.3,28.7,7.4,17.7,6.9,18.8,5.8,4.0,2.7,1.6,1.6,64760,3960,76656,10080,30.1,(X),(X),(X),(X),(X),1370,253,1.4,2.2,1.2,2.1,9.7,8.3,0.0,2.5,6.9,7.7,26.6,9.9,20.9,10.3,26.6,9.7,5.6,4.6,1.1,2.0,78750,13516,90926,17262,(X),(X),34.7,(X),(X),(X),957,176,0.0,3.6,1.8,2.9,0.0,3.6,0.0,3.6,0.0,3.6,28.8,10.9,23.0,11.7,37.0,13.0,7.8,5.7,1.6,2.8,92477,18120,N,N,(X),(X),(X),(X),(X),(X),1646,315,9.1,5.8,3.7,5.5,3.4,3.0,7.7,7.4,16.6,9.5,28.4,10.4,14.4,8.5,12.0,7.8,2.7,2.9,2.0,2.4,59474,10422,63084,9194,(X),(X),(X),(X),26.3,(X),
2022,S1901,Subject Table,ST,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,17019000901,17,019,000901,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,1923,204,15.2,6.4,0.0,1.8,9.6,4.3,12.7,6.4,17.8,7.2,24.3,7.7,12.9,6.7,5.7,4.1,1.8,2.5,0.0,1.8,42380,10793,49619,6078,43.4,(X),(X),(X),(X),(X),1099,190,9.6,7.0,0.0,3.1,4.7,3.4,16.2,11.6,18.5,8.7,22.0,8.7,17.7,10.9,8.2,7.1,3.1,4.3,0.0,3.1,50669,18708,58686,9515,(X),(X),48.8,(X),(X),(X),600,150,0.0,5.7,0.0,5.7,2.2,3.2,11.8,15.1,15.3,11.4,27.0,14.0,23.0,15.9,15.0,13.2,5.7,7.8,0.0,5.7,72791,17421,N,N,(X),(X),(X),(X),(X),(X),824,162,22.7,10.7,0.0,4.2,16.1,9.5,13.0,6.9,17.6,9.4,22.9,10.9,6.4,6.4,1.2,1.9,0.0,4.2,0.0,4.2,34202,9307,35185,6371,(X),(X),(X),(X),36.2,(X),
2022,S1901,Subject Table,ST,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,17019000902,17,019,000902,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,2926,265,4.6,3.2,0.5,0.8,3.7,3.1,5.4,4.1,7.4,4.7,33.0,8.8,12.4,4.7,21.8,5.6,5.1,3.3,6.1,3.8,69533,9709,95815,14289,38.3,(X),(X),(X),(X),(X),1689,235,0.8,1.4,0.0,2.0,4.1,4.9,1.2,2.0,1.8,2.1,26.6,10.4,17.9,7.8,30.4,8.5,8.8,5.5,8.5,6.2,98489,18321,115863,19164,(X),(X),41.9,(X),(X),(X),1381,242,1.0,1.7,0.0,2.5,3.6,5.4,0.0,2.5,2.2,2.6,20.9,10.9,18.9,8.8,32.9,9.8,10.1,6.7,10.4,7.5,109102,20806,N,N,(X),(X),(X),(X),(X),(X),1237,179,9.9,7.6,1.1,2.0,3.1,3.1,11.1,9.0,15.0,10.5,41.9,13.5,4.9,4.4,11.6,7.4,0.0,2.8,1.5,2.0,58440,10020,63718,15129,(X),(X),(X),(X),31.9,(X),
2022,S1901,Subject Table,ST,1400000US17019001000,Census Tract 10; Champaign County; Illinois,17019001000,17,019,001000,1400000US17019001000,Census Tract 10; Champaign County; Illinois,2043,352,4.7,4.6,4.8,4.0,5.5,4.6,17.9,11.3,11.3,7.5,11.7,6.5,10.9,5.6,18.6,7.7,3.5,3.3,11.1,9.4,62306,24567,91656,22160,34.4,(X),(X),(X),(X),(X),985,224,1.5,2.7,7.4,6.3,5.5,7.5,10.3,12.1,8.8,6.6,13.6,9.4,16.6,10.7,24.8,12.6,1.8,3.1,9.6,7.7,84583,22068,97221,22227,(X),(X),43.1,(X),(X),(X),620,183,0.0,5.5,0.0,5.5,0.0,5.5,3.1,5.5,11.6,10.0,6.3,6.6,22.1,16.1,38.7,15.7,2.9,4.9,15.3,12.4,108276,19758,N,N,(X),(X),(X),(X),(X),(X),1058,376,7.8,8.1,2.5,4.5,5.6,4.6,26.3,17.1,12.3,13.9,11.5,9.7,3.9,4.2,12.8,8.6,5.0,5.7,12.5,16.5,37414,30495,85818,40894,(X),(X),(X),(X),26.2,(X),
