year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,S1101_C01_001E,S1101_C01_001M,S1101_C01_002E,S1101_C01_002M,S1101_C01_003E,S1101_C01_003M,S1101_C01_004E,S1101_C01_004M,S1101_C01_005E,S1101_C01_005M,S1101_C01_006E,S1101_C01_006M,S1101_C01_007E,S1101_C01_007M,S1101_C01_008E,S1101_C01_008M,S1101_C01_009E,S1101_C01_009M,S1101_C01_010E,S1101_C01_010M,S1101_C01_011E,S1101_C01_011M,S1101_C01_012E,S1101_C01_012M,S1101_C01_013E,S1101_C01_013M,S1101_C01_014E,S1101_C01_014M,S1101_C01_015E,S1101_C01_015M,S1101_C01_016E,S1101_C01_016M,S1101_C01_017E,S1101_C01_017M,S1101_C01_018E,S1101_C01_018M,S1101_C01_019E,S1101_C01_019M,S1101_C02_001E,S1101_C02_001M,S1101_C02_002E,S1101_C02_002M,S1101_C02_003E,S1101_C02_003M,S1101_C02_004E,S1101_C02_004M,S1101_C02_005E,S1101_C02_005M,S1101_C02_006E,S1101_C02_006M,S1101_C02_007E,S1101_C02_007M,S1101_C02_008E,S1101_C02_008M,S1101_C02_009E,S1101_C02_009M,S1101_C02_010E,S1101_C02_010M,S1101_C02_011E,S1101_C02_011M,S1101_C02_012E,S1101_C02_012M,S1101_C02_013E,S1101_C02_013M,S1101_C02_014E,S1101_C02_014M,S1101_C02_015E,S1101_C02_015M,S1101_C02_016E,S1101_C02_016M,S1101_C02_017E,S1101_C02_017M,S1101_C02_018E,S1101_C02_018M,S1101_C02_019E,S1101_C02_019M,S1101_C03_001E,S1101_C03_001M,S1101_C03_002E,S1101_C03_002M,S1101_C03_003E,S1101_C03_003M,S1101_C03_004E,S1101_C03_004M,S1101_C03_005E,S1101_C03_005M,S1101_C03_006E,S1101_C03_006M,S1101_C03_007E,S1101_C03_007M,S1101_C03_008E,S1101_C03_008M,S1101_C03_009E,S1101_C03_009M,S1101_C03_010E,S1101_C03_010M,S1101_C03_011E,S1101_C03_011M,S1101_C03_012E,S1101_C03_012M,S1101_C03_013E,S1101_C03_013M,S1101_C03_014E,S1101_C03_014M,S1101_C03_015E,S1101_C03_015M,S1101_C03_016E,S1101_C03_016M,S1101_C03_017E,S1101_C03_017M,S1101_C03_018E,S1101_C03_018M,S1101_C03_019E,S1101_C03_019M,S1101_C04_001E,S1101_C04_001M,S1101_C04_002E,S1101_C04_002M,S1101_C04_003E,S1101_C04_003M,S1101_C04_004E,S1101_C04_004M,S1101_C04_005E,S1101_C04_005M,S1101_C04_006E,S1101_C04_006M,S1101_C04_007E,S1101_C04_007M,S1101_C04_008E,S1101_C04_008M,S1101_C04_009E,S1101_C04_009M,S1101_C04_010E,S1101_C04_010M,S1101_C04_011E,S1101_C04_011M,S1101_C04_012E,S1101_C04_012M,S1101_C04_013E,S1101_C04_013M,S1101_C04_014E,S1101_C04_014M,S1101_C04_015E,S1101_C04_015M,S1101_C04_016E,S1101_C04_016M,S1101_C04_017E,S1101_C04_017M,S1101_C04_018E,S1101_C04_018M,S1101_C04_019E,S1101_C04_019M,S1101_C05_001E,S1101_C05_001M,S1101_C05_002E,S1101_C05_002M,S1101_C05_003E,S1101_C05_003M,S1101_C05_004E,S1101_C05_004M,S1101_C05_005E,S1101_C05_005M,S1101_C05_006E,S1101_C05_006M,S1101_C05_007E,S1101_C05_007M,S1101_C05_008E,S1101_C05_008M,S1101_C05_009E,S1101_C05_009M,S1101_C05_010E,S1101_C05_010M,S1101_C05_011E,S1101_C05_011M,S1101_C05_012E,S1101_C05_012M,S1101_C05_013E,S1101_C05_013M,S1101_C05_014E,S1101_C05_014M,S1101_C05_015E,S1101_C05_015M,S1101_C05_016E,S1101_C05_016M,S1101_C05_017E,S1101_C05_017M,S1101_C05_018E,S1101_C05_018M,S1101_C05_019E,S1101_C05_019M,Unnamed:_192
2023,S1101,Subject Table,ST,1400000US17019000200,Census Tract 2; Champaign County; Illinois,17019000200,17,019,000200,1400000US17019000200,Census Tract 2; Champaign County; Illinois,894,148,2.39,0.31,442,123,3.08,0.49,164,87,40.9,29.2,25.6,17.1,33.5,26.9,894,148,19.4,8.5,20.9,6.1,17.7,5.2,32.8,8.9,5.6,3.7,55.8,9.5,44.2,9.5,0.0,3.8,37.7,9.2,62.3,9.2,240,109,2.99,0.90,240,109,2.99,0.90,90,78,36.7,46.4,23.3,29.8,40.0,42.4,240,109,41.3,24.6,18.3,14.0,(X),(X),(X),(X),(X),(X),70.8,23.9,29.2,23.9,0.0,13.5,48.3,26.7,51.7,26.7,65,46,2.97,0.87,65,46,2.58,0.61,3,7,0.0,100.0,100.0,100.0,0.0,100.0,65,46,4.6,12.6,63.1,38.7,(X),(X),(X),(X),(X),(X),100.0,38.2,0.0,38.2,0.0,38.2,67.7,34.8,32.3,34.8,137,55,3.69,0.53,137,55,3.47,0.52,71,45,47.9,30.5,25.4,25.2,26.8,27.0,137,55,51.8,26.1,25.5,14.9,(X),(X),(X),(X),(X),(X),92.0,12.7,8.0,12.7,0.0,22.3,59.1,23.3,40.9,23.3,452,105,1.60,0.30,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),452,105,0.0,7.4,14.8,8.0,11.1,6.8,64.8,13.6,11.1,6.8,30.5,10.9,69.5,10.9,0.0,7.4,21.2,9.0,78.8,9.0,
2023,S1101,Subject Table,ST,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,17019000301,17,019,000301,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,2473,401,2.10,0.35,107,109,4.19,1.31,0,17,-,**,-,**,-,**,2473,401,0.0,1.4,0.0,1.4,0.0,1.4,56.5,12.5,0.0,1.4,0.0,1.4,100.0,1.4,0.0,1.4,0.0,1.4,100.0,1.4,0,17,-,**,0,17,-,**,0,17,-,**,-,**,-,**,0,17,-,**,-,**,(X),(X),(X),(X),(X),(X),-,**,-,**,-,**,-,**,-,**,25,30,3.92,3.32,25,30,3.92,3.32,0,17,-,**,-,**,-,**,25,30,0.0,61.6,0.0,61.6,(X),(X),(X),(X),(X),(X),0.0,61.6,100.0,61.6,0.0,61.6,0.0,61.6,100.0,61.6,82,105,4.27,1.62,82,105,4.27,1.62,0,17,-,**,-,**,-,**,82,105,0.0,33.2,0.0,33.2,(X),(X),(X),(X),(X),(X),0.0,33.2,100.0,33.2,0.0,33.2,0.0,33.2,100.0,33.2,2366,389,2.00,0.36,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),2366,389,0.0,1.5,0.0,1.5,0.0,1.5,59.0,12.4,0.0,1.5,0.0,1.5,100.0,1.5,0.0,1.5,0.0,1.5,100.0,1.5,
2023,S1101,Subject Table,ST,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,17019000302,17,019,000302,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,1837,267,1.39,0.15,20,32,2.00,0.20,0,12,-,**,-,**,-,**,1837,267,0.0,1.9,3.4,2.6,2.2,2.5,78.7,7.9,1.1,1.8,2.7,2.7,96.4,3.1,0.9,1.4,1.1,1.7,98.9,1.7,20,32,2.00,0.20,20,32,2.00,0.20,0,12,-,**,-,**,-,**,20,32,0.0,68.8,100.0,68.8,(X),(X),(X),(X),(X),(X),100.0,68.8,0.0,68.8,0.0,68.8,100.0,68.8,0.0,68.8,0,12,-,**,0,12,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,(X),(X),(X),(X),(X),(X),-,**,-,**,-,**,-,**,-,**,0,12,-,**,0,12,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,(X),(X),(X),(X),(X),(X),-,**,-,**,-,**,-,**,-,**,1817,271,1.38,0.15,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1817,271,0.0,1.9,2.4,1.9,1.1,1.8,79.5,7.8,1.1,1.8,1.7,2.0,97.5,2.5,0.9,1.4,0.0,1.9,100.0,1.9,
2023,S1101,Subject Table,ST,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,17019000401,17,019,000401,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,660,145,1.82,0.29,0,12,-,**,0,12,-,**,-,**,-,**,660,145,0.0,5.2,0.5,0.9,0.0,5.2,66.2,11.0,0.0,5.2,0.0,5.2,97.7,2.4,2.3,2.4,0.0,5.2,100.0,5.2,0,12,-,**,0,12,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,(X),(X),(X),(X),(X),(X),-,**,-,**,-,**,-,**,-,**,0,12,-,**,0,12,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,(X),(X),(X),(X),(X),(X),-,**,-,**,-,**,-,**,-,**,0,12,-,**,0,12,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,(X),(X),(X),(X),(X),(X),-,**,-,**,-,**,-,**,-,**,660,145,1.82,0.29,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),660,145,0.0,5.2,0.5,0.9,0.0,5.2,66.2,11.0,0.0,5.2,0.0,5.2,97.7,2.4,2.3,2.4,0.0,5.2,100.0,5.2,
2023,S1101,Subject Table,ST,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,17019000402,17,019,000402,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,1172,186,2.53,0.45,37,29,3.59,2.60,0,12,-,**,-,**,-,**,1172,186,0.0,2.9,0.9,1.5,0.9,1.5,41.6,12.9,0.9,1.5,4.8,4.6,94.2,4.8,1.0,1.5,0.0,2.9,100.0,2.9,0,12,-,**,0,12,-,**,0,12,-,**,-,**,-,**,0,12,-,**,-,**,(X),(X),(X),(X),(X),(X),-,**,-,**,-,**,-,**,-,**,18,20,3.89,1.46,18,20,2.56,0.54,0,12,-,**,-,**,-,**,18,20,0.0,72.5,0.0,72.5,(X),(X),(X),(X),(X),(X),0.0,72.5,100.0,72.5,0.0,72.5,0.0,72.5,100.0,72.5,19,20,4.58,5.93,19,20,4.58,5.93,0,12,-,**,-,**,-,**,19,20,0.0,70.6,0.0,70.6,(X),(X),(X),(X),(X),(X),36.8,59.2,0.0,70.6,63.2,59.2,0.0,70.6,100.0,70.6,1135,189,2.48,0.46,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1135,189,0.0,3.0,1.0,1.6,1.0,1.6,43.0,13.2,1.0,1.6,4.3,4.7,95.7,4.7,0.0,3.0,0.0,3.0,100.0,3.0,
2023,S1101,Subject Table,ST,1400000US17019000500,Census Tract 5; Champaign County; Illinois,17019000500,17,019,000500,1400000US17019000500,Census Tract 5; Champaign County; Illinois,1753,259,2.01,0.18,747,217,2.83,0.25,442,201,41.6,24.9,16.3,16.7,42.1,27.5,1753,259,25.2,9.1,24.4,5.4,21.0,5.0,44.6,8.2,9.1,3.9,54.2,8.1,45.8,8.1,0.0,2.0,39.6,8.5,60.4,8.5,552,182,3.04,0.30,552,182,3.04,0.30,285,170,24.2,24.1,10.5,13.4,65.3,30.4,552,182,51.6,16.8,35.0,12.3,(X),(X),(X),(X),(X),(X),95.1,6.8,4.9,6.8,0.0,6.1,87.5,9.9,12.5,9.9,18,26,2.28,0.28,18,26,2.28,0.28,0,12,-,**,-,**,-,**,18,26,0.0,72.5,0.0,72.5,(X),(X),(X),(X),(X),(X),100.0,72.5,0.0,72.5,0.0,72.5,100.0,72.5,0.0,72.5,177,121,2.83,0.86,177,121,2.21,0.37,157,117,73.2,39.0,26.8,39.0,0.0,19.8,177,121,88.7,18.5,11.3,18.5,(X),(X),(X),(X),(X),(X),57.1,36.2,42.9,36.2,0.0,17.8,11.3,18.5,88.7,18.5,1006,189,1.30,0.15,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1006,189,0.0,3.4,21.4,7.9,18.6,6.6,77.7,9.0,15.8,6.2,30.5,10.3,69.5,10.3,0.0,3.4,17.3,8.6,82.7,8.6,
2023,S1101,Subject Table,ST,1400000US17019000700,Census Tract 7; Champaign County; Illinois,17019000700,17,019,000700,1400000US17019000700,Census Tract 7; Champaign County; Illinois,1459,155,2.50,0.32,780,156,3.51,0.43,310,102,23.2,17.5,39.4,20.1,37.4,23.8,1459,155,26.4,7.8,24.7,8.6,22.4,8.1,40.8,10.0,9.5,6.6,72.4,7.7,20.3,7.9,7.3,4.3,41.9,9.6,58.1,9.6,279,105,3.19,0.76,279,105,3.19,0.76,83,55,49.4,30.5,36.1,29.0,14.5,20.4,279,105,29.7,15.0,15.4,14.3,(X),(X),(X),(X),(X),(X),89.6,11.4,6.1,9.8,4.3,6.6,68.5,19.2,31.5,19.2,154,86,4.44,1.33,154,86,4.27,1.36,54,63,57.4,57.4,0.0,41.9,42.6,57.4,154,86,35.1,31.8,39.6,30.1,(X),(X),(X),(X),(X),(X),61.7,31.2,14.9,22.5,23.4,29.8,48.7,35.6,51.3,35.6,347,129,3.53,0.68,347,129,3.44,0.66,173,83,0.0,18.2,53.2,34.8,46.8,34.8,347,129,71.5,16.7,29.1,16.1,(X),(X),(X),(X),(X),(X),93.9,7.3,2.0,4.3,4.0,6.3,36.0,17.9,64.0,17.9,679,173,1.26,0.25,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),679,173,0.0,5.0,23.0,13.3,23.0,13.3,87.8,8.7,20.5,13.4,56.7,14.5,36.7,15.3,6.6,5.4,32.4,13.7,67.6,13.7,
2023,S1101,Subject Table,ST,1400000US17019000800,Census Tract 8; Champaign County; Illinois,17019000800,17,019,000800,1400000US17019000800,Census Tract 8; Champaign County; Illinois,2978,244,2.18,0.20,1277,229,3.07,0.42,551,181,51.4,18.3,23.6,13.8,25.0,15.7,2978,244,20.0,6.0,18.1,3.7,14.0,2.7,40.1,7.9,5.9,2.9,26.4,4.6,72.4,4.8,1.2,1.3,25.2,4.5,74.8,4.5,918,158,3.24,0.54,918,158,3.23,0.54,317,121,40.4,18.5,41.0,21.0,18.6,15.4,918,158,34.5,11.3,33.0,10.5,(X),(X),(X),(X),(X),(X),55.4,11.3,44.6,11.3,0.0,3.7,55.1,11.2,44.9,11.2,45,62,2.09,1.31,45,62,2.09,1.31,0,17,-,**,-,**,-,**,45,62,17.8,48.6,17.8,48.6,(X),(X),(X),(X),(X),(X),0.0,45.9,100.0,45.9,0.0,45.9,0.0,45.9,100.0,45.9,314,148,3.36,0.78,314,148,2.74,0.60,234,126,66.2,32.0,0.0,13.9,33.8,32.0,314,148,82.8,25.0,8.3,10.5,(X),(X),(X),(X),(X),(X),16.9,18.1,77.7,20.8,5.4,8.7,13.7,13.0,86.3,13.0,1701,337,1.40,0.23,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1701,337,0.6,1.1,11.8,5.5,10.4,4.8,70.3,12.5,10.4,4.8,13.2,5.4,85.8,5.3,1.1,1.6,11.8,4.9,88.2,4.9,
2023,S1101,Subject Table,ST,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,17019000901,17,019,000901,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,1932,209,2.48,0.26,1140,222,3.28,0.39,627,164,27.4,18.9,17.4,18.7,55.2,24.2,1932,209,33.5,7.6,33.4,6.9,19.0,5.8,38.0,8.4,9.8,3.8,53.9,6.9,45.5,6.9,0.6,1.0,42.2,8.2,57.8,8.2,533,176,3.62,0.60,533,176,3.62,0.60,258,138,7.0,12.9,28.3,43.8,64.7,46.1,533,176,48.4,17.6,43.5,17.7,(X),(X),(X),(X),(X),(X),93.4,6.5,6.6,6.5,0.0,6.4,85.6,10.6,14.4,10.6,303,176,3.70,1.16,303,176,3.10,0.95,227,150,48.0,39.2,0.0,14.3,52.0,39.2,303,176,79.9,18.6,8.6,10.2,(X),(X),(X),(X),(X),(X),67.0,27.5,33.0,27.5,0.0,10.9,13.2,12.8,86.8,12.8,304,140,2.90,0.58,304,140,2.88,0.57,142,118,31.7,41.7,25.4,39.7,43.0,42.5,304,140,46.7,25.2,35.9,24.2,(X),(X),(X),(X),(X),(X),28.3,18.3,68.1,19.1,3.6,6.4,25.0,17.3,75.0,17.3,792,187,1.08,0.05,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),792,187,0.8,1.3,35.2,10.0,24.0,9.8,92.8,4.2,24.0,9.8,32.2,11.7,67.8,11.7,0.0,4.3,30.8,11.4,69.2,11.4,
2023,S1101,Subject Table,ST,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,17019000902,17,019,000902,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,2998,292,2.54,0.21,1725,239,3.32,0.28,857,234,10.7,8.5,43.4,17.3,45.9,15.9,2998,292,30.4,6.9,33.3,6.8,21.5,6.3,29.1,7.5,10.1,4.9,75.6,8.1,24.2,8.0,0.3,0.4,67.8,8.5,32.2,8.5,1366,207,3.31,0.33,1366,207,3.25,0.32,638,180,14.4,11.3,46.9,18.6,38.7,16.8,1366,207,46.7,10.4,30.6,9.4,(X),(X),(X),(X),(X),(X),90.0,9.4,10.0,9.4,0.0,2.5,81.6,10.9,18.4,10.9,55,69,2.96,2.36,55,69,2.96,2.36,38,64,0.0,49.9,0.0,49.9,100.0,49.9,55,69,100.0,41.5,30.9,52.1,(X),(X),(X),(X),(X),(X),100.0,41.5,0.0,41.5,0.0,41.5,100.0,41.5,0.0,41.5,304,140,3.70,0.66,304,140,3.70,0.66,181,146,0.0,17.5,40.3,40.1,59.7,40.1,304,140,59.5,27.2,42.1,27.5,(X),(X),(X),(X),(X),(X),81.3,25.5,18.8,25.5,0.0,10.9,56.9,31.0,43.1,31.0,1273,259,1.41,0.19,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1273,259,3.0,4.5,34.2,12.9,25.4,11.2,68.6,14.3,23.9,10.8,57.6,15.9,41.8,15.6,0.6,0.9,54.4,15.7,45.6,15.7,
2023,S1101,Subject Table,ST,1400000US17019001000,Census Tract 10; Champaign County; Illinois,17019001000,17,019,001000,1400000US17019001000,Census Tract 10; Champaign County; Illinois,2022,338,2.07,0.24,931,154,2.85,0.33,347,117,23.9,19.1,30.0,24.6,46.1,24.9,2022,338,17.9,6.2,26.0,6.8,17.9,4.6,39.1,10.9,5.5,3.0,79.3,9.2,20.7,9.2,0.0,1.7,63.7,10.2,36.3,10.2,579,161,3.04,0.49,579,161,3.04,0.49,219,97,35.2,27.4,14.2,21.5,50.7,28.9,579,161,37.8,13.1,41.3,11.5,(X),(X),(X),(X),(X),(X),100.0,5.9,0.0,5.9,0.0,5.9,98.3,3.8,1.7,3.8,26,43,2.77,0.47,26,43,2.77,0.47,0,12,-,**,-,**,-,**,26,43,0.0,60.4,0.0,60.4,(X),(X),(X),(X),(X),(X),0.0,60.4,100.0,60.4,0.0,60.4,0.0,60.4,100.0,60.4,326,140,2.63,0.45,326,140,2.51,0.42,128,99,4.7,12.9,57.0,42.7,38.3,42.3,326,140,39.3,23.8,7.4,12.6,(X),(X),(X),(X),(X),(X),66.0,25.2,34.0,25.2,0.0,10.2,48.8,27.1,51.2,27.1,1091,341,1.37,0.19,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1091,341,1.4,2.4,24.1,12.2,13.0,7.3,72.5,16.7,10.2,5.7,74.2,15.3,25.8,15.3,0.0,3.2,51.3,15.7,48.7,15.7,
