year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,S1601_C01_001E,S1601_C01_001M,S1601_C01_002E,S1601_C01_002M,S1601_C01_003E,S1601_C01_003M,S1601_C01_004E,S1601_C01_004M,S1601_C01_005E,S1601_C01_005M,S1601_C01_006E,S1601_C01_006M,S1601_C01_007E,S1601_C01_007M,S1601_C01_008E,S1601_C01_008M,S1601_C01_009E,S1601_C01_009M,S1601_C01_010E,S1601_C01_010M,S1601_C01_011E,S1601_C01_011M,S1601_C01_012E,S1601_C01_012M,S1601_C01_013E,S1601_C01_013M,S1601_C01_014E,S1601_C01_014M,S1601_C01_015E,S1601_C01_015M,S1601_C01_016E,S1601_C01_016M,S1601_C01_017E,S1601_C01_017M,S1601_C01_018E,S1601_C01_018M,S1601_C01_019E,S1601_C01_019M,S1601_C01_020E,S1601_C01_020M,S1601_C01_021E,S1601_C01_021M,S1601_C01_022E,S1601_C01_022M,S1601_C01_023E,S1601_C01_023M,S1601_C01_024E,S1601_C01_024M,S1601_C02_001E,S1601_C02_001M,S1601_C02_002E,S1601_C02_002M,S1601_C02_003E,S1601_C02_003M,S1601_C02_004E,S1601_C02_004M,S1601_C02_005E,S1601_C02_005M,S1601_C02_006E,S1601_C02_006M,S1601_C02_007E,S1601_C02_007M,S1601_C02_008E,S1601_C02_008M,S1601_C02_009E,S1601_C02_009M,S1601_C02_010E,S1601_C02_010M,S1601_C02_011E,S1601_C02_011M,S1601_C02_012E,S1601_C02_012M,S1601_C02_013E,S1601_C02_013M,S1601_C02_014E,S1601_C02_014M,S1601_C02_015E,S1601_C02_015M,S1601_C02_016E,S1601_C02_016M,S1601_C02_017E,S1601_C02_017M,S1601_C02_018E,S1601_C02_018M,S1601_C02_019E,S1601_C02_019M,S1601_C02_020E,S1601_C02_020M,S1601_C02_021E,S1601_C02_021M,S1601_C02_022E,S1601_C02_022M,S1601_C02_023E,S1601_C02_023M,S1601_C02_024E,S1601_C02_024M,S1601_C03_001E,S1601_C03_001M,S1601_C03_002E,S1601_C03_002M,S1601_C03_003E,S1601_C03_003M,S1601_C03_004E,S1601_C03_004M,S1601_C03_005E,S1601_C03_005M,S1601_C03_006E,S1601_C03_006M,S1601_C03_007E,S1601_C03_007M,S1601_C03_008E,S1601_C03_008M,S1601_C03_009E,S1601_C03_009M,S1601_C03_010E,S1601_C03_010M,S1601_C03_011E,S1601_C03_011M,S1601_C03_012E,S1601_C03_012M,S1601_C03_013E,S1601_C03_013M,S1601_C03_014E,S1601_C03_014M,S1601_C03_015E,S1601_C03_015M,S1601_C03_016E,S1601_C03_016M,S1601_C03_017E,S1601_C03_017M,S1601_C03_018E,S1601_C03_018M,S1601_C03_019E,S1601_C03_019M,S1601_C03_020E,S1601_C03_020M,S1601_C03_021E,S1601_C03_021M,S1601_C03_022E,S1601_C03_022M,S1601_C03_023E,S1601_C03_023M,S1601_C03_024E,S1601_C03_024M,S1601_C04_001E,S1601_C04_001M,S1601_C04_002E,S1601_C04_002M,S1601_C04_003E,S1601_C04_003M,S1601_C04_004E,S1601_C04_004M,S1601_C04_005E,S1601_C04_005M,S1601_C04_006E,S1601_C04_006M,S1601_C04_007E,S1601_C04_007M,S1601_C04_008E,S1601_C04_008M,S1601_C04_009E,S1601_C04_009M,S1601_C04_010E,S1601_C04_010M,S1601_C04_011E,S1601_C04_011M,S1601_C04_012E,S1601_C04_012M,S1601_C04_013E,S1601_C04_013M,S1601_C04_014E,S1601_C04_014M,S1601_C04_015E,S1601_C04_015M,S1601_C04_016E,S1601_C04_016M,S1601_C04_017E,S1601_C04_017M,S1601_C04_018E,S1601_C04_018M,S1601_C04_019E,S1601_C04_019M,S1601_C04_020E,S1601_C04_020M,S1601_C04_021E,S1601_C04_021M,S1601_C04_022E,S1601_C04_022M,S1601_C04_023E,S1601_C04_023M,S1601_C04_024E,S1601_C04_024M,S1601_C05_001E,S1601_C05_001M,S1601_C05_002E,S1601_C05_002M,S1601_C05_003E,S1601_C05_003M,S1601_C05_004E,S1601_C05_004M,S1601_C05_005E,S1601_C05_005M,S1601_C05_006E,S1601_C05_006M,S1601_C05_007E,S1601_C05_007M,S1601_C05_008E,S1601_C05_008M,S1601_C05_009E,S1601_C05_009M,S1601_C05_010E,S1601_C05_010M,S1601_C05_011E,S1601_C05_011M,S1601_C05_012E,S1601_C05_012M,S1601_C05_013E,S1601_C05_013M,S1601_C05_014E,S1601_C05_014M,S1601_C05_015E,S1601_C05_015M,S1601_C05_016E,S1601_C05_016M,S1601_C05_017E,S1601_C05_017M,S1601_C05_018E,S1601_C05_018M,S1601_C05_019E,S1601_C05_019M,S1601_C05_020E,S1601_C05_020M,S1601_C05_021E,S1601_C05_021M,S1601_C05_022E,S1601_C05_022M,S1601_C05_023E,S1601_C05_023M,S1601_C05_024E,S1601_C05_024M,S1601_C06_001E,S1601_C06_001M,S1601_C06_002E,S1601_C06_002M,S1601_C06_003E,S1601_C06_003M,S1601_C06_004E,S1601_C06_004M,S1601_C06_005E,S1601_C06_005M,S1601_C06_006E,S1601_C06_006M,S1601_C06_007E,S1601_C06_007M,S1601_C06_008E,S1601_C06_008M,S1601_C06_009E,S1601_C06_009M,S1601_C06_010E,S1601_C06_010M,S1601_C06_011E,S1601_C06_011M,S1601_C06_012E,S1601_C06_012M,S1601_C06_013E,S1601_C06_013M,S1601_C06_014E,S1601_C06_014M,S1601_C06_015E,S1601_C06_015M,S1601_C06_016E,S1601_C06_016M,S1601_C06_017E,S1601_C06_017M,S1601_C06_018E,S1601_C06_018M,S1601_C06_019E,S1601_C06_019M,S1601_C06_020E,S1601_C06_020M,S1601_C06_021E,S1601_C06_021M,S1601_C06_022E,S1601_C06_022M,S1601_C06_023E,S1601_C06_023M,S1601_C06_024E,S1601_C06_024M,Unnamed:_290
2023,S1601,Subject Table,ST,1400000US17019000200,Census Tract 2; Champaign County; Illinois,17019000200,17,019,000200,1400000US17019000200,Census Tract 2; Champaign County; Illinois,2004,403,1359,293,645,284,203,189,84,134,119,83,0,12,104,105,40,47,64,59,0,12,338,149,0,12,338,149,0,12,0,12,0,12,0,12,0,12,1295,288,1169,280,126,78,40,40,86,66,(X),(X),67.8,10.6,32.2,10.6,10.1,8.3,4.2,6.2,5.9,3.7,0.0,1.7,5.2,5.0,2.0,2.3,3.2,2.8,0.0,1.7,16.9,6.5,0.0,1.7,16.9,6.5,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,(X),(X),90.3,5.8,9.7,5.8,3.1,3.0,6.6,5.0,1674,345,(X),(X),315,186,122,145,84,134,38,50,0,12,60,66,40,47,20,22,0,12,133,68,0,12,133,68,0,12,0,12,0,12,0,12,0,12,1221,285,(X),(X),52,38,10,18,42,33,83.5,6.5,(X),(X),48.8,14.7,60.1,24.8,100.0,32.7,31.9,33.8,-,**,57.7,15.4,100.0,48.7,31.3,17.1,-,**,39.3,17.2,-,**,39.3,17.2,-,**,-,**,-,**,-,**,-,**,94.3,4.2,(X),(X),41.3,20.2,25.0,44.6,48.8,22.5,330,156,(X),(X),330,156,81,66,0,12,81,66,0,12,44,42,0,12,44,42,0,12,205,124,0,12,205,124,0,12,0,12,0,12,0,12,0,12,74,55,(X),(X),74,55,30,35,44,42,16.5,6.5,(X),(X),51.2,14.7,39.9,24.8,0.0,32.7,68.1,33.8,-,**,42.3,15.4,0.0,48.7,68.8,17.1,-,**,60.7,17.2,-,**,60.7,17.2,-,**,-,**,-,**,-,**,-,**,5.7,4.2,(X),(X),58.7,20.2,75.0,44.6,51.2,22.5,
2023,S1601,Subject Table,ST,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,17019000301,17,019,000301,1400000US17019000301,Census Tract 3.01; Champaign County; Illinois,5326,1116,2630,904,2696,734,466,472,0,17,466,472,0,17,1020,401,0,17,1020,401,0,17,1210,462,0,17,1210,462,0,17,0,17,0,17,0,17,0,17,3487,982,2569,908,918,365,257,208,661,295,(X),(X),49.4,11.7,50.6,11.7,8.7,8.6,0.0,0.7,8.7,8.6,0.0,0.7,19.2,7.8,0.0,0.7,19.2,7.8,0.0,0.7,22.7,8.3,0.0,0.7,22.7,8.3,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.7,(X),(X),73.7,10.9,26.3,10.9,7.4,6.4,19.0,8.2,3791,910,(X),(X),1161,405,256,209,0,17,256,209,0,17,463,309,0,17,463,309,0,17,442,205,0,17,442,205,0,17,0,17,0,17,0,17,0,17,3188,931,(X),(X),619,298,256,209,363,190,71.2,9.3,(X),(X),43.1,12.9,54.9,33.5,-,**,54.9,33.5,-,**,45.4,23.9,-,**,45.4,23.9,-,**,36.5,14.9,-,**,36.5,14.9,-,**,-,**,-,**,-,**,-,**,91.4,7.9,(X),(X),67.4,26.7,99.6,3.4,54.9,32.6,1535,594,(X),(X),1535,594,210,306,0,17,210,306,0,17,557,321,0,17,557,321,0,17,768,377,0,17,768,377,0,17,0,17,0,17,0,17,0,17,299,290,(X),(X),299,290,1,7,298,289,28.8,9.3,(X),(X),56.9,12.9,45.1,33.5,-,**,45.1,33.5,-,**,54.6,23.9,-,**,54.6,23.9,-,**,63.5,14.9,-,**,63.5,14.9,-,**,-,**,-,**,-,**,-,**,8.6,7.9,(X),(X),32.6,26.7,0.4,3.4,45.1,32.6,
2023,S1601,Subject Table,ST,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,17019000302,17,019,000302,1400000US17019000302,Census Tract 3.02; Champaign County; Illinois,2553,461,1265,355,1288,327,218,152,0,12,218,152,0,12,281,159,0,12,281,159,0,12,725,287,0,12,725,287,0,12,64,58,0,12,44,49,20,33,1632,409,1147,344,485,201,218,152,267,137,(X),(X),49.5,9.8,50.5,9.8,8.5,5.8,0.0,1.4,8.5,5.8,0.0,1.4,11.0,6.4,0.0,1.4,11.0,6.4,0.0,1.4,28.4,9.5,0.0,1.4,28.4,9.5,0.0,1.4,2.5,2.3,0.0,1.4,1.7,1.9,0.8,1.3,(X),(X),70.3,10.3,29.7,10.3,13.4,8.3,16.4,8.0,2220,438,(X),(X),955,259,218,152,0,12,218,152,0,12,235,137,0,12,235,137,0,12,438,221,0,12,438,221,0,12,64,58,0,12,44,49,20,33,1619,408,(X),(X),472,199,218,152,254,135,87.0,6.7,(X),(X),74.1,11.3,100.0,14.8,-,**,100.0,14.8,-,**,83.6,16.5,-,**,83.6,16.5,-,**,60.4,17.9,-,**,60.4,17.9,-,**,100.0,38.5,-,**,100.0,46.4,100.0,68.8,99.2,1.3,(X),(X),97.3,4.5,100.0,14.8,95.1,8.6,333,182,(X),(X),333,182,0,12,0,12,0,12,0,12,46,55,0,12,46,55,0,12,287,170,0,12,287,170,0,12,0,12,0,12,0,12,0,12,13,22,(X),(X),13,22,0,12,13,22,13.0,6.7,(X),(X),25.9,11.3,0.0,14.8,-,**,0.0,14.8,-,**,16.4,16.5,-,**,16.4,16.5,-,**,39.6,17.9,-,**,39.6,17.9,-,**,0.0,38.5,-,**,0.0,46.4,0.0,68.8,0.8,1.3,(X),(X),2.7,4.5,0.0,14.8,4.9,8.6,
2023,S1601,Subject Table,ST,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,17019000401,17,019,000401,1400000US17019000401,Census Tract 4.01; Champaign County; Illinois,4604,316,3655,305,949,250,131,106,0,12,131,106,0,12,140,68,0,12,140,68,0,12,666,215,0,12,666,215,0,12,12,17,0,12,12,17,0,12,4080,319,3618,309,462,149,107,97,355,159,(X),(X),79.4,4.9,20.6,4.9,2.8,2.3,0.0,0.8,2.8,2.3,0.0,0.8,3.0,1.5,0.0,0.8,3.0,1.5,0.0,0.8,14.5,4.3,0.0,0.8,14.5,4.3,0.0,0.8,0.3,0.4,0.0,0.8,0.3,0.4,0.0,0.8,(X),(X),88.7,3.5,11.3,3.5,2.6,2.4,8.7,3.6,4298,308,(X),(X),643,220,120,106,0,12,120,106,0,12,81,51,0,12,81,51,0,12,430,202,0,12,430,202,0,12,12,17,0,12,12,17,0,12,3983,312,(X),(X),365,132,96,97,269,144,93.4,2.5,(X),(X),67.8,11.2,91.6,16.4,-,**,91.6,16.4,-,**,57.9,27.8,-,**,57.9,27.8,-,**,64.6,15.8,-,**,64.6,15.8,-,**,100.0,88.8,-,**,100.0,88.8,-,**,97.6,1.5,(X),(X),79.0,12.3,89.7,21.0,75.8,16.9,306,120,(X),(X),306,120,11,18,0,12,11,18,0,12,59,49,0,12,59,49,0,12,236,106,0,12,236,106,0,12,0,12,0,12,0,12,0,12,97,63,(X),(X),97,63,11,18,86,61,6.6,2.5,(X),(X),32.2,11.2,8.4,16.4,-,**,8.4,16.4,-,**,42.1,27.8,-,**,42.1,27.8,-,**,35.4,15.8,-,**,35.4,15.8,-,**,0.0,88.8,-,**,0.0,88.8,-,**,2.4,1.5,(X),(X),21.0,12.3,10.3,21.0,24.2,16.9,
2023,S1601,Subject Table,ST,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,17019000402,17,019,000402,1400000US17019000402,Census Tract 4.02; Champaign County; Illinois,3941,566,2746,474,1195,308,314,147,0,12,314,147,0,12,425,196,0,12,425,196,0,12,449,207,0,12,449,207,0,12,7,11,0,12,7,11,0,12,3486,546,2742,473,744,249,297,147,447,183,(X),(X),69.7,6.6,30.3,6.6,8.0,3.5,0.0,0.9,8.0,3.5,0.0,0.9,10.8,4.8,0.0,0.9,10.8,4.8,0.0,0.9,11.4,5.0,0.0,0.9,11.4,5.0,0.0,0.9,0.2,0.3,0.0,0.9,0.2,0.3,0.0,0.9,(X),(X),78.7,6.2,21.3,6.2,8.5,4.0,12.8,4.7,3632,548,(X),(X),886,295,285,147,0,12,285,147,0,12,366,192,0,12,366,192,0,12,231,140,0,12,231,140,0,12,4,8,0,12,4,8,0,12,3429,545,(X),(X),687,250,268,147,419,180,92.2,4.0,(X),(X),74.1,13.5,90.8,11.6,-,**,90.8,11.6,-,**,86.1,13.2,-,**,86.1,13.2,-,**,51.4,24.1,-,**,51.4,24.1,-,**,57.1,57.1,-,**,57.1,57.1,-,**,98.4,1.2,(X),(X),92.3,6.4,90.2,12.5,93.7,6.1,309,162,(X),(X),309,162,29,33,0,12,29,33,0,12,59,50,0,12,59,50,0,12,218,152,0,12,218,152,0,12,3,7,0,12,3,7,0,12,57,43,(X),(X),57,43,29,33,28,25,7.8,4.0,(X),(X),25.9,13.5,9.2,11.6,-,**,9.2,11.6,-,**,13.9,13.2,-,**,13.9,13.2,-,**,48.6,24.1,-,**,48.6,24.1,-,**,42.9,57.1,-,**,42.9,57.1,-,**,1.6,1.2,(X),(X),7.7,6.4,9.8,12.5,6.3,6.1,
2023,S1601,Subject Table,ST,1400000US17019000500,Census Tract 5; Champaign County; Illinois,17019000500,17,019,000500,1400000US17019000500,Census Tract 5; Champaign County; Illinois,3294,558,2898,581,396,172,53,61,0,12,53,61,0,12,155,116,0,12,108,108,47,51,188,113,0,12,188,113,0,12,0,12,0,12,0,12,0,12,2771,484,2541,497,230,132,52,61,178,118,(X),(X),88.0,5.6,12.0,5.6,1.6,1.9,0.0,1.1,1.6,1.9,0.0,1.1,4.7,3.5,0.0,1.1,3.3,3.2,1.4,1.6,5.7,3.5,0.0,1.1,5.7,3.5,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.1,(X),(X),91.7,4.9,8.3,4.9,1.9,2.3,6.4,4.2,3249,561,(X),(X),351,159,52,61,0,12,52,61,0,12,145,114,0,12,108,108,37,48,154,94,0,12,154,94,0,12,0,12,0,12,0,12,0,12,2761,486,(X),(X),220,130,52,61,168,116,98.6,1.7,(X),(X),88.6,12.5,98.1,5.9,-,**,98.1,5.9,-,**,93.5,10.0,-,**,100.0,27.1,78.7,36.8,81.9,24.1,-,**,81.9,24.1,-,**,-,**,-,**,-,**,-,**,99.6,0.5,(X),(X),95.7,6.7,100.0,42.7,94.4,9.0,45,55,(X),(X),45,55,1,3,0,12,1,3,0,12,10,15,0,12,0,12,10,15,34,53,0,12,34,53,0,12,0,12,0,12,0,12,0,12,10,15,(X),(X),10,15,0,12,10,15,1.4,1.7,(X),(X),11.4,12.5,1.9,5.9,-,**,1.9,5.9,-,**,6.5,10.0,-,**,0.0,27.1,21.3,36.8,18.1,24.1,-,**,18.1,24.1,-,**,-,**,-,**,-,**,-,**,0.4,0.5,(X),(X),4.3,6.7,0.0,42.7,5.6,9.0,
2023,S1601,Subject Table,ST,1400000US17019000700,Census Tract 7; Champaign County; Illinois,17019000700,17,019,000700,1400000US17019000700,Census Tract 7; Champaign County; Illinois,3334,493,2839,411,495,320,414,310,35,59,379,294,0,12,10,17,0,12,10,17,0,12,24,33,0,12,24,33,0,12,47,75,24,38,23,38,0,12,2474,397,2099,277,375,300,322,296,53,53,(X),(X),85.2,8.7,14.8,8.7,12.4,8.6,1.0,1.8,11.4,8.1,0.0,1.0,0.3,0.5,0.0,1.0,0.3,0.5,0.0,1.0,0.7,1.0,0.0,1.0,0.7,1.0,0.0,1.0,1.4,2.2,0.7,1.1,0.7,1.1,0.0,1.0,(X),(X),84.8,10.8,15.2,10.8,13.0,10.9,2.1,2.2,2929,408,(X),(X),90,98,56,88,0,12,56,88,0,12,10,17,0,12,10,17,0,12,0,12,0,12,0,12,0,12,24,38,24,38,0,12,0,12,2165,274,(X),(X),66,88,56,88,10,17,87.9,8.0,(X),(X),18.2,20.2,13.5,22.0,0.0,52.0,14.8,27.1,-,**,100.0,97.3,-,**,100.0,97.3,-,**,0.0,62.8,-,**,0.0,62.8,-,**,51.1,6.1,100.0,62.8,0.0,64.2,-,**,87.5,10.8,(X),(X),17.6,29.5,17.4,35.3,18.9,39.4,405,294,(X),(X),405,294,358,292,35,59,323,291,0,12,0,12,0,12,0,12,0,12,24,33,0,12,24,33,0,12,23,38,0,12,23,38,0,12,309,294,(X),(X),309,294,266,293,43,50,12.1,8.0,(X),(X),81.8,20.2,86.5,22.0,100.0,52.0,85.2,27.1,-,**,0.0,97.3,-,**,0.0,97.3,-,**,100.0,62.8,-,**,100.0,62.8,-,**,48.9,6.1,0.0,62.8,100.0,64.2,-,**,12.5,10.8,(X),(X),82.4,29.5,82.6,35.3,81.1,39.4,
2023,S1601,Subject Table,ST,1400000US17019000800,Census Tract 8; Champaign County; Illinois,17019000800,17,019,000800,1400000US17019000800,Census Tract 8; Champaign County; Illinois,5961,708,4315,782,1646,381,211,143,0,17,195,134,16,30,428,245,50,54,352,205,26,30,956,287,167,75,732,231,57,97,51,62,0,17,35,56,16,28,4376,648,3837,670,539,210,174,131,365,178,(X),(X),72.4,7.1,27.6,7.1,3.5,2.4,0.0,0.6,3.3,2.3,0.3,0.5,7.2,4.2,0.8,0.9,5.9,3.5,0.4,0.5,16.0,5.2,2.8,1.3,12.3,4.2,1.0,1.6,0.9,1.1,0.0,0.6,0.6,1.0,0.3,0.5,(X),(X),87.7,5.1,12.3,5.1,4.0,3.0,8.3,4.2,5079,753,(X),(X),764,290,162,124,0,17,162,124,0,17,314,188,50,54,258,161,6,11,237,147,60,61,177,114,0,17,51,62,0,17,35,56,16,28,4180,654,(X),(X),343,177,149,123,194,120,85.2,5.0,(X),(X),46.4,12.9,76.8,24.7,-,**,83.1,18.9,0.0,76.9,73.4,16.7,100.0,43.5,73.3,21.5,23.1,50.9,24.8,15.1,35.9,27.6,24.2,16.3,0.0,40.8,100.0,43.1,-,**,100.0,52.0,100.0,76.9,95.5,2.9,(X),(X),63.6,19.8,85.6,21.7,53.2,22.0,882,283,(X),(X),882,283,49,58,0,17,33,37,16,30,114,100,0,17,94,96,20,29,719,274,107,56,555,237,57,97,0,17,0,17,0,17,0,17,196,125,(X),(X),196,125,25,37,171,120,14.8,5.0,(X),(X),53.6,12.9,23.2,24.7,-,**,16.9,18.9,100.0,76.9,26.6,16.7,0.0,43.5,26.7,21.5,76.9,50.9,75.2,15.1,64.1,27.6,75.8,16.3,100.0,40.8,0.0,43.1,-,**,0.0,52.0,0.0,76.9,4.5,2.9,(X),(X),36.4,19.8,14.4,21.7,46.8,22.0,
2023,S1601,Subject Table,ST,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,17019000901,17,019,000901,1400000US17019000901,Census Tract 9.01; Champaign County; Illinois,4489,604,3056,566,1433,492,339,365,118,146,221,241,0,12,931,609,373,284,558,347,0,12,139,116,15,23,95,96,29,52,24,39,0,12,24,39,0,12,2798,452,2407,435,391,238,3,5,388,237,(X),(X),68.1,9.7,31.9,9.7,7.6,7.9,2.6,3.1,4.9,5.2,0.0,0.8,20.7,13.5,8.3,6.3,12.4,7.7,0.0,0.8,3.1,2.6,0.3,0.5,2.1,2.1,0.6,1.2,0.5,0.9,0.0,0.8,0.5,0.9,0.0,0.8,(X),(X),86.0,8.0,14.0,8.0,0.1,0.2,13.9,8.0,3847,633,(X),(X),791,321,260,352,108,143,152,225,0,12,458,307,373,284,85,97,0,12,73,69,15,23,58,58,0,12,0,12,0,12,0,12,0,12,2537,431,(X),(X),130,99,3,5,127,99,85.7,6.8,(X),(X),55.2,14.2,76.7,35.8,91.5,21.2,68.8,45.1,-,**,49.2,6.1,100.0,9.0,15.2,16.9,-,**,52.5,26.5,100.0,79.5,61.1,17.2,0.0,57.1,0.0,62.8,-,**,0.0,62.8,-,**,90.7,6.6,(X),(X),33.2,22.7,100.0,100.0,32.7,22.8,642,307,(X),(X),642,307,79,96,10,19,69,93,0,12,473,312,0,12,473,312,0,12,66,67,0,12,37,43,29,52,24,39,0,12,24,39,0,12,261,191,(X),(X),261,191,0,12,261,191,14.3,6.8,(X),(X),44.8,14.2,23.3,35.8,8.5,21.2,31.2,45.1,-,**,50.8,6.1,0.0,9.0,84.8,16.9,-,**,47.5,26.5,0.0,79.5,38.9,17.2,100.0,57.1,100.0,62.8,-,**,100.0,62.8,-,**,9.3,6.6,(X),(X),66.8,22.7,0.0,100.0,67.3,22.8,
2023,S1601,Subject Table,ST,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,17019000902,17,019,000902,1400000US17019000902,Census Tract 9.02; Champaign County; Illinois,7052,780,5624,609,1428,583,48,46,0,17,48,46,0,17,568,589,210,303,321,311,37,53,647,501,145,135,502,389,0,17,165,186,0,17,83,101,82,96,5281,616,4633,527,648,380,20,31,628,381,(X),(X),79.8,7.1,20.2,7.1,0.7,0.7,0.0,0.5,0.7,0.7,0.0,0.5,8.1,8.1,3.0,4.2,4.6,4.2,0.5,0.8,9.2,7.0,2.1,1.9,7.1,5.5,0.0,0.5,2.3,2.7,0.0,0.5,1.2,1.4,1.2,1.4,(X),(X),87.7,6.6,12.3,6.6,0.4,0.6,11.9,6.7,6353,737,(X),(X),729,484,35,40,0,17,35,40,0,17,113,103,0,17,76,89,37,53,476,457,131,126,345,351,0,17,105,97,0,17,23,38,82,96,5078,647,(X),(X),445,358,20,31,425,358,90.1,8.0,(X),(X),51.1,32.9,72.9,40.8,-,**,72.9,40.8,-,**,19.9,34.8,0.0,15.3,23.7,36.9,100.0,50.6,73.6,21.9,90.3,16.6,68.7,26.3,-,**,63.6,25.3,-,**,27.7,54.5,100.0,33.2,96.2,2.8,(X),(X),68.7,24.1,100.0,68.8,67.7,25.4,699,592,(X),(X),699,592,13,21,0,17,13,21,0,17,455,587,210,303,245,301,0,17,171,113,14,24,157,109,0,17,60,94,0,17,60,94,0,17,203,139,(X),(X),203,139,0,17,203,139,9.9,8.0,(X),(X),48.9,32.9,27.1,40.8,-,**,27.1,40.8,-,**,80.1,34.8,100.0,15.3,76.3,36.9,0.0,50.6,26.4,21.9,9.7,16.6,31.3,26.3,-,**,36.4,25.3,-,**,72.3,54.5,0.0,33.2,3.8,2.8,(X),(X),31.3,24.1,0.0,68.8,32.3,25.4,
2023,S1601,Subject Table,ST,1400000US17019001000,Census Tract 10; Champaign County; Illinois,17019001000,17,019,001000,1400000US17019001000,Census Tract 10; Champaign County; Illinois,4144,664,3683,583,461,316,371,326,125,181,246,177,0,12,55,50,0,12,55,50,0,12,0,12,0,12,0,12,0,12,35,62,0,12,35,62,0,12,3401,453,3086,408,315,192,246,177,69,79,(X),(X),88.9,7.1,11.1,7.1,9.0,7.5,3.0,4.3,5.9,3.9,0.0,0.8,1.3,1.2,0.0,0.8,1.3,1.2,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.8,1.4,0.0,0.8,0.8,1.4,0.0,0.8,(X),(X),90.7,5.3,9.3,5.3,7.2,5.0,2.0,2.2,4144,664,(X),(X),461,316,371,326,125,181,246,177,0,12,55,50,0,12,55,50,0,12,0,12,0,12,0,12,0,12,35,62,0,12,35,62,0,12,3401,453,(X),(X),315,192,246,177,69,79,100.0,0.8,(X),(X),100.0,7.3,100.0,9.0,100.0,24.1,100.0,13.2,-,**,100.0,41.5,-,**,100.0,41.5,-,**,-,**,-,**,-,**,-,**,100.0,52.0,-,**,100.0,52.0,-,**,100.0,1.0,(X),(X),100.0,10.5,100.0,13.2,100.0,37.0,0,12,(X),(X),0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,(X),(X),0,12,0,12,0,12,0.0,0.8,(X),(X),0.0,7.3,0.0,9.0,0.0,24.1,0.0,13.2,-,**,0.0,41.5,-,**,0.0,41.5,-,**,-,**,-,**,-,**,-,**,0.0,52.0,-,**,0.0,52.0,-,**,0.0,1.0,(X),(X),0.0,10.5,0.0,13.2,0.0,37.0,
