"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1600000US1700880","Allerton village, Illinois","101","23","6.9","8.0","4.0","5.3","11.9","11.2","8.9","6.8","9.9","7.6","26.7","12.4","14.9","9.3","12.9","7.8","3.0","3.3","1.0","2.2","60208","14524","62032","11269","34.7","(X)","(X)","(X)","(X)","(X)","76","20","6.6","9.7","0.0","33.2","13.2","12.0","5.3","5.5","9.2","6.8","31.6","15.4","15.8","11.0","13.2","9.2","3.9","4.5","1.3","2.9","63750","15873","66747","12670","(X)","(X)","35.5","(X)","(X)","(X)","60","18","0.0","38.3","0.0","38.3","6.7","11.4","5.0","6.1","10.0","7.5","40.0","16.6","16.7","13.8","15.0","11.2","5.0","5.7","1.7","3.7","71071","10084","N","N","(X)","(X)","(X)","(X)","(X)","(X)","25","13","8.0","9.7","16.0","19.8","12.0","19.1","20.0","18.1","8.0","15.0","12.0","16.8","12.0","17.6","12.0","20.4","0.0","59.3","0.0","59.3","32083","25262","46640","21734","(X)","(X)","(X)","(X)","32.0","(X)",
"1600000US1707211","Bondville village, Illinois","220","54","8.6","7.6","2.7","2.8","6.8","6.4","15.9","9.8","12.7","8.2","23.6","11.4","9.1","6.9","15.0","7.0","2.3","2.6","3.2","3.9","53750","19563","66400","15622","35.9","(X)","(X)","(X)","(X)","(X)","110","46","7.3","9.7","0.0","25.2","0.0","25.2","18.2","15.2","5.5","7.5","27.3","15.9","14.5","12.8","16.4","9.7","4.5","5.3","6.4","7.9","65000","15349","85455","27895","(X)","(X)","48.2","(X)","(X)","(X)","93","40","8.6","11.3","0.0","28.7","0.0","28.7","18.3","16.9","5.4","8.0","19.4","15.7","16.1","14.9","19.4","12.3","5.4","6.3","7.5","9.5","74250","21106","N","N","(X)","(X)","(X)","(X)","(X)","(X)","110","37","10.0","12.0","5.5","5.7","13.6","12.3","13.6","10.3","20.9","14.1","20.0","12.8","2.7","3.7","13.6","11.3","0.0","25.2","0.0","25.2","40577","10867","46987","11869","(X)","(X)","(X)","(X)","23.6","(X)",
"1600000US1708420","Broadlands village, Illinois","122","30","8.2","7.7","15.6","13.3","6.6","5.8","13.1","8.0","4.1","3.9","13.1","8.0","24.6","10.8","6.6","5.2","5.7","5.0","2.5","2.7","53500","23044","61911","13496","44.3","(X)","(X)","(X)","(X)","(X)","88","24","11.4","10.7","5.7","6.9","3.4","4.8","9.1","6.4","2.3","3.1","14.8","10.1","34.1","12.9","9.1","7.1","6.8","6.2","3.4","3.9","76875","11339","75078","14818","(X)","(X)","47.7","(X)","(X)","(X)","82","24","12.2","11.4","6.1","7.4","2.4","4.5","8.5","6.7","0.0","31.5","15.9","11.0","34.1","13.9","9.8","7.6","7.3","6.6","3.7","4.2","77500","11393","N","N","(X)","(X)","(X)","(X)","(X)","(X)","34","18","0.0","50.9","41.2","36.4","14.7","17.0","23.5","23.3","8.8","11.9","8.8","12.5","0.0","50.9","0.0","50.9","2.9","12.5","0.0","50.9","-","**","27832","20464","(X)","(X)","(X)","(X)","35.3","(X)",
"1600000US1712385","Champaign city, Illinois","34851","890","15.6","1.7","4.5","0.8","9.3","1.3","8.5","1.7","12.5","1.5","16.7","1.5","9.9","1.3","11.9","1.4","4.5","0.8","6.6","1.1","49467","2711","73085","3639","33.0","(X)","(X)","(X)","(X)","(X)","15624","647","4.4","1.2","2.6","1.0","6.9","1.6","4.9","1.3","12.4","2.4","16.9","2.4","14.3","2.2","17.4","2.2","8.2","1.9","12.0","2.1","78118","4234","104902","6104","(X)","(X)","34.2","(X)","(X)","(X)","11372","650","2.0","1.0","1.7","1.0","1.7","1.0","3.0","1.0","9.9","2.8","17.4","3.0","17.1","2.8","20.6","3.0","10.8","2.5","15.8","2.7","95188","7521","N","N","(X)","(X)","(X)","(X)","(X)","(X)","19227","958","25.0","2.8","6.1","1.3","11.7","2.3","11.6","2.6","12.9","1.9","15.7","2.0","6.0","1.4","7.3","1.8","1.6","0.7","2.1","1.1","30508","3660","46439","4160","(X)","(X)","(X)","(X)","31.6","(X)",
"1600000US1719746","Dewey CDP, Illinois","33","14","24.2","37.2","0.0","51.6","0.0","51.6","0.0","51.6","33.3","45.3","0.0","51.6","18.2","27.0","24.2","36.3","0.0","51.6","0.0","51.6","-","**","62488","26739","0.0","(X)","(X)","(X)","(X)","(X)","25","18","32.0","51.6","0.0","59.3","0.0","59.3","0.0","59.3","44.0","55.1","0.0","59.3","24.0","30.8","0.0","59.3","0.0","59.3","0.0","59.3","-","**","44048","30145","(X)","(X)","0.0","(X)","(X)","(X)","17","19","0.0","71.9","0.0","71.9","0.0","71.9","0.0","71.9","64.7","54.2","0.0","71.9","35.3","54.2","0.0","71.9","0.0","71.9","0.0","71.9","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8","11","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","100.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","(X)","(X)","(X)","(X)","0.0","(X)",
"1600000US1726194","Fisher village, Illinois","702","95","1.4","1.3","2.1","1.8","9.1","4.9","5.3","3.2","9.8","4.1","26.6","9.0","13.7","6.3","16.4","6.0","10.0","4.9","5.6","3.1","71136","10886","88125","9613","31.6","(X)","(X)","(X)","(X)","(X)","529","91","0.0","6.0","1.7","1.9","3.8","3.1","2.3","2.2","11.5","6.4","24.8","11.2","14.2","7.5","21.2","7.6","13.2","6.5","7.4","4.1","88177","16526","102419","11756","(X)","(X)","31.4","(X)","(X)","(X)","416","77","0.0","7.5","1.0","1.3","2.6","3.2","0.7","1.1","5.3","3.4","20.2","8.1","18.0","8.4","26.0","8.8","16.8","7.9","9.4","4.9","105938","19790","N","N","(X)","(X)","(X)","(X)","(X)","(X)","173","56","5.8","5.5","3.5","3.9","28.9","14.9","17.9","12.3","10.4","6.8","30.1","16.8","1.7","2.9","1.7","2.7","0.0","17.0","0.0","17.0","34063","7881","38279","6337","(X)","(X)","(X)","(X)","32.4","(X)",
"1600000US1726662","Foosland village, Illinois","24","10","8.3","13.4","0.0","60.5","25.0","30.4","12.5","16.1","0.0","60.5","25.0","33.0","12.5","20.0","12.5","13.9","4.2","11.3","0.0","60.5","50833","36771","56121","31468","37.5","(X)","(X)","(X)","(X)","(X)","10","11","0.0","93.8","0.0","93.8","0.0","93.8","10.0","24.1","0.0","93.8","20.0","26.6","30.0","30.7","30.0","30.9","10.0","20.9","0.0","93.8","86250","29895","91890","26332","(X)","(X)","40.0","(X)","(X)","(X)","9","10","0.0","98.9","0.0","98.9","0.0","98.9","0.0","98.9","0.0","98.9","22.2","30.4","33.3","32.3","33.3","32.7","11.1","24.7","0.0","98.9","86875","30306","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14","8","14.3","23.2","0.0","79.3","42.9","41.4","21.4","27.5","0.0","79.3","21.4","46.7","0.0","79.3","0.0","79.3","0.0","79.3","0.0","79.3","24375","13787","27857","19679","(X)","(X)","(X)","(X)","35.7","(X)",
"1600000US1729145","Gifford village, Illinois","365","50","5.5","3.4","1.4","1.3","8.5","4.8","7.1","4.4","17.5","8.7","21.9","6.8","10.4","4.7","19.5","7.0","5.2","3.9","3.0","1.9","63472","12569","75075","9072","45.8","(X)","(X)","(X)","(X)","(X)","220","38","3.2","3.9","0.0","13.7","1.8","2.2","2.3","2.8","12.7","6.2","28.2","9.2","13.2","6.2","25.0","8.0","8.6","6.4","5.0","3.2","80625","14009","95380","11691","(X)","(X)","40.0","(X)","(X)","(X)","180","34","0.0","16.5","0.0","16.5","0.0","16.5","1.1","1.9","8.9","6.4","27.8","9.4","15.0","7.5","30.6","9.3","10.6","7.7","6.1","4.0","91875","20148","N","N","(X)","(X)","(X)","(X)","(X)","(X)","145","43","9.0","6.1","3.4","3.4","18.6","11.2","14.5","10.1","27.6","18.3","11.7","6.7","4.1","4.2","11.0","10.4","0.0","19.9","0.0","19.9","40052","12129","43099","9012","(X)","(X)","(X)","(X)","53.1","(X)",
"1600000US1735814","Homer village, Illinois","519","98","9.6","7.4","2.9","1.9","8.5","4.0","5.0","3.4","9.1","3.9","18.9","6.5","23.1","10.9","9.6","5.2","4.6","3.1","8.7","6.0","65347","17616","110956","48996","39.3","(X)","(X)","(X)","(X)","(X)","347","86","9.5","10.9","1.4","1.5","4.0","3.2","5.5","3.7","8.6","4.2","13.0","7.4","33.7","15.5","12.7","8.0","4.3","3.0","7.2","5.7","81750","11058","86386","16548","(X)","(X)","37.5","(X)","(X)","(X)","220","69","0.0","13.7","1.4","1.8","3.2","3.3","3.6","3.7","5.9","3.6","14.1","10.8","34.5","17.7","19.1","11.0","6.8","4.7","11.4","8.6","88750","17646","N","N","(X)","(X)","(X)","(X)","(X)","(X)","172","49","9.9","6.2","5.8","4.7","17.4","9.3","6.4","7.4","13.4","8.7","25.0","12.3","3.5","5.2","1.7","2.5","5.2","7.1","11.6","14.3","48958","9203","158419","137895","(X)","(X)","(X)","(X)","43.0","(X)",
