Column Name,Label
GEO_ID,Geography
NAME,Geographic Area Name
S0101_C01_001E,Estimate_Total_Total population
S0101_C01_001M,Margin of Error_Total_Total population
S0101_C01_002E,Estimate_Total_Total population_AGE_Under 5 years
S0101_C01_002M,Margin of Error_Total_Total population_AGE_Under 5 years
S0101_C01_003E,Estimate_Total_Total population_AGE_5 to 9 years
S0101_C01_003M,Margin of Error_Total_Total population_AGE_5 to 9 years
S0101_C01_004E,Estimate_Total_Total population_AGE_10 to 14 years
S0101_C01_004M,Margin of Error_Total_Total population_AGE_10 to 14 years
S0101_C01_005E,Estimate_Total_Total population_AGE_15 to 19 years
S0101_C01_005M,Margin of Error_Total_Total population_AGE_15 to 19 years
S0101_C01_006E,Estimate_Total_Total population_AGE_20 to 24 years
S0101_C01_006M,Margin of Error_Total_Total population_AGE_20 to 24 years
S0101_C01_007E,Estimate_Total_Total population_AGE_25 to 29 years
S0101_C01_007M,Margin of Error_Total_Total population_AGE_25 to 29 years
S0101_C01_008E,Estimate_Total_Total population_AGE_30 to 34 years
S0101_C01_008M,Margin of Error_Total_Total population_AGE_30 to 34 years
S0101_C01_009E,Estimate_Total_Total population_AGE_35 to 39 years
S0101_C01_009M,Margin of Error_Total_Total population_AGE_35 to 39 years
S0101_C01_010E,Estimate_Total_Total population_AGE_40 to 44 years
S0101_C01_010M,Margin of Error_Total_Total population_AGE_40 to 44 years
S0101_C01_011E,Estimate_Total_Total population_AGE_45 to 49 years
S0101_C01_011M,Margin of Error_Total_Total population_AGE_45 to 49 years
S0101_C01_012E,Estimate_Total_Total population_AGE_50 to 54 years
S0101_C01_012M,Margin of Error_Total_Total population_AGE_50 to 54 years
S0101_C01_013E,Estimate_Total_Total population_AGE_55 to 59 years
S0101_C01_013M,Margin of Error_Total_Total population_AGE_55 to 59 years
S0101_C01_014E,Estimate_Total_Total population_AGE_60 to 64 years
S0101_C01_014M,Margin of Error_Total_Total population_AGE_60 to 64 years
S0101_C01_015E,Estimate_Total_Total population_AGE_65 to 69 years
S0101_C01_015M,Margin of Error_Total_Total population_AGE_65 to 69 years
S0101_C01_016E,Estimate_Total_Total population_AGE_70 to 74 years
S0101_C01_016M,Margin of Error_Total_Total population_AGE_70 to 74 years
S0101_C01_017E,Estimate_Total_Total population_AGE_75 to 79 years
S0101_C01_017M,Margin of Error_Total_Total population_AGE_75 to 79 years
S0101_C01_018E,Estimate_Total_Total population_AGE_80 to 84 years
S0101_C01_018M,Margin of Error_Total_Total population_AGE_80 to 84 years
S0101_C01_019E,Estimate_Total_Total population_AGE_85 years and over
S0101_C01_019M,Margin of Error_Total_Total population_AGE_85 years and over
S0101_C01_020E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C01_020M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C01_021E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C01_021M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C01_022E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C01_022M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C01_023E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C01_023M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C01_024E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C01_024M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C01_025E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C01_025M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C01_026E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C01_026M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C01_027E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C01_027M,Margin of Error_Total_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C01_028E,Estimate_Total_Total population_SELECTED AGE CATEGORIES_60 years and over
