Column Name,Label
GEO_ID,Geography
NAME,Geographic Area Name
DP03_0001E,Estimate_EMPLOYMENT STATUS_Population 16 years and over
DP03_0001M,Margin of Error_EMPLOYMENT STATUS_Population 16 years and over
DP03_0002E,Estimate_EMPLOYMENT STATUS_Population 16 years and over_In labor force
DP03_0002M,Margin of Error_EMPLOYMENT STATUS_Population 16 years and over_In labor force
DP03_0003E,Estimate_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Civilian labor force
DP03_0003M,Margin of Error_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Civilian labor force
DP03_0004E,Estimate_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Civilian labor force_Employed
DP03_0004M,Margin of Error_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Civilian labor force_Employed
DP03_0005E,Estimate_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Civilian labor force_Unemployed
DP03_0005M,Margin of Error_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Civilian labor force_Unemployed
DP03_0006E,Estimate_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Armed Forces
DP03_0006M,Margin of Error_EMPLOYMENT STATUS_Population 16 years and over_In labor force_Armed Forces
DP03_0007E,Estimate_EMPLOYMENT STATUS_Population 16 years and over_Not in labor force
DP03_0007M,Margin of Error_EMPLOYMENT STATUS_Population 16 years and over_Not in labor force
DP03_0008E,Estimate_EMPLOYMENT STATUS_Civilian labor force
DP03_0008M,Margin of Error_EMPLOYMENT STATUS_Civilian labor force
DP03_0009E,Estimate_EMPLOYMENT STATUS_Civilian labor force_Unemployment Rate
DP03_0009M,Margin of Error_EMPLOYMENT STATUS_Civilian labor force_Unemployment Rate
DP03_0010E,Estimate_EMPLOYMENT STATUS_Females 16 years and over
DP03_0010M,Margin of Error_EMPLOYMENT STATUS_Females 16 years and over
DP03_0011E,Estimate_EMPLOYMENT STATUS_Females 16 years and over_In labor force
DP03_0011M,Margin of Error_EMPLOYMENT STATUS_Females 16 years and over_In labor force
DP03_0012E,Estimate_EMPLOYMENT STATUS_Females 16 years and over_In labor force_Civilian labor force
DP03_0012M,Margin of Error_EMPLOYMENT STATUS_Females 16 years and over_In labor force_Civilian labor force
DP03_0013E,Estimate_EMPLOYMENT STATUS_Females 16 years and over_In labor force_Civilian labor force_Employed
DP03_0013M,Margin of Error_EMPLOYMENT STATUS_Females 16 years and over_In labor force_Civilian labor force_Employed
DP03_0014E,Estimate_EMPLOYMENT STATUS_Own children of the householder under 6 years
DP03_0014M,Margin of Error_EMPLOYMENT STATUS_Own children of the householder under 6 years
DP03_0015E,Estimate_EMPLOYMENT STATUS_Own children of the householder under 6 years_All parents in family in labor force
DP03_0015M,Margin of Error_EMPLOYMENT STATUS_Own children of the householder under 6 years_All parents in family in labor force
DP03_0016E,Estimate_EMPLOYMENT STATUS_Own children of the householder 6 to 17 years
DP03_0016M,Margin of Error_EMPLOYMENT STATUS_Own children of the householder 6 to 17 years
DP03_0017E,Estimate_EMPLOYMENT STATUS_Own children of the householder 6 to 17 years_All parents in family in labor force
DP03_0017M,Margin of Error_EMPLOYMENT STATUS_Own children of the householder 6 to 17 years_All parents in family in labor force
DP03_0018E,Estimate_COMMUTING TO WORK_Workers 16 years and over
DP03_0018M,Margin of Error_COMMUTING TO WORK_Workers 16 years and over
DP03_0019E,"Estimate_COMMUTING TO WORK_Workers 16 years and over_Car, truck, or van -- drove alone"
DP03_0019M,"Margin of Error_COMMUTING TO WORK_Workers 16 years and over_Car, truck, or van -- drove alone"
DP03_0020E,"Estimate_COMMUTING TO WORK_Workers 16 years and over_Car, truck, or van -- carpooled"
DP03_0020M,"Margin of Error_COMMUTING TO WORK_Workers 16 years and over_Car, truck, or van -- carpooled"
DP03_0021E,Estimate_COMMUTING TO WORK_Workers 16 years and over_Public transportation (excluding taxicab)
DP03_0021M,Margin of Error_COMMUTING TO WORK_Workers 16 years and over_Public transportation (excluding taxicab)
DP03_0022E,Estimate_COMMUTING TO WORK_Workers 16 years and over_Walked
DP03_0022M,Margin of Error_COMMUTING TO WORK_Workers 16 years and over_Walked
DP03_0023E,Estimate_COMMUTING TO WORK_Workers 16 years and over_Other means
