STATEFP,COUNTYFP,TRACTCE,PUMA5CE,CHAMPGF
17,019,010100,01902,1
17,019,010204,01902,1
17,019,010300,01902,1
17,019,010400,01902,1
17,019,010500,01902,1
17,019,010701,01902,1
17,019,010702,01902,1
17,019,010800,01902,1
17,053,961600,01902,0
17,053,961700,01902,0
17,053,961800,01902,0
17,053,961900,01902,0
17,053,962000,01902,0
17,075,950100,01902,0
17,075,950200,01902,0
17,075,950300,01902,0
17,075,950400,01902,0
17,075,950500,01902,0
17,075,950600,01902,0
17,075,950700,01902,0
17,075,950800,01902,0
17,075,950900,01902,0
17,183,000100,01902,0
17,183,000200,01902,0
17,183,000300,01902,0
17,183,000400,01902,0
17,183,000500,01902,0
17,183,000600,01902,0
17,183,000700,01902,0
17,183,000800,01902,0
17,183,000900,01902,0
17,183,001200,01902,0
17,183,001300,01902,0
17,183,010100,01902,0
17,183,010200,01902,0
17,183,010300,01902,0
17,183,010400,01902,0
17,183,010500,01902,0
17,183,010600,01902,0
17,183,010701,01902,0
17,183,010702,01902,0
17,183,010800,01902,0
17,183,010900,01902,0
17,183,011000,01902,0
17,183,011100,01902,0
17,183,011200,01902,0
