"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0100000US","United States","120756048","236892","6.0","0.1","4.3","0.1","8.9","0.1","8.9","0.1","12.3","0.1","17.2","0.1","12.7","0.1","15.1","0.1","6.8","0.1","7.7","0.1","62843","135","88607","188","35.3","(X)","(X)","(X)","(X)","(X)","79114031","224065","3.7","0.1","2.3","0.1","6.2","0.1","7.5","0.1","11.3","0.1","17.5","0.1","14.4","0.1","18.5","0.1","8.7","0.1","10.0","0.1","77263","226","103863","264","(X)","(X)","36.0","(X)","(X)","(X)","58198771","290247","1.4","0.1","1.1","0.1","3.7","0.1","5.5","0.1","9.7","0.1","17.2","0.1","15.8","0.1","22.0","0.1","10.8","0.1","12.8","0.1","92445","197","120704","220","(X)","(X)","(X)","(X)","(X)","(X)","41642017","39582","11.7","0.1","8.5","0.1","14.8","0.1","12.3","0.1","14.4","0.1","16.2","0.1","8.9","0.1","7.8","0.1","2.7","0.1","2.8","0.1","37561","53","55657","76","(X)","(X)","(X)","(X)","32.3","(X)",
"0500000US17019","Champaign County, Illinois","82369","818","12.7","0.8","4.5","0.6","9.3","0.8","9.1","0.7","12.1","0.9","16.3","0.8","11.1","0.7","13.5","0.7","5.9","0.5","5.6","0.5","52797","1094","74803","1660","31.6","(X)","(X)","(X)","(X)","(X)","42335","877","4.3","0.7","2.0","0.5","6.1","0.9","6.2","0.8","10.5","0.9","16.0","1.2","15.2","1.2","20.4","1.2","9.7","0.9","9.7","0.9","82423","2271","103318","2630","(X)","(X)","32.3","(X)","(X)","(X)","31462","878","1.6","0.6","1.1","0.4","2.1","0.5","3.7","0.7","8.7","1.0","15.1","1.2","17.4","1.4","25.1","1.4","12.6","1.1","12.4","1.1","100207","3001","122454","3482","(X)","(X)","(X)","(X)","(X)","(X)","40034","1021","22.0","1.5","7.2","1.1","13.4","1.4","12.3","1.1","13.9","1.3","16.4","1.4","6.2","0.8","5.8","0.7","1.6","0.4","1.2","0.4","30759","1243","43141","2068","(X)","(X)","(X)","(X)","30.2","(X)",
"1400000US17019000200","Census Tract 2, Champaign County, Illinois","701","92","27.0","8.1","7.0","5.4","21.8","11.0","21.0","9.3","9.0","6.0","9.7","5.0","3.4","3.0","0.0","4.2","1.1","2.2","0.0","4.2","21385","4938","26826","5043","62.1","(X)","(X)","(X)","(X)","(X)","355","90","20.6","11.1","2.5","4.0","13.0","10.0","32.1","15.6","12.1","9.3","12.7","8.0","4.8","4.7","0.0","8.1","2.3","4.5","0.0","8.1","26904","3545","33302","8404","(X)","(X)","54.4","(X)","(X)","(X)","94","40","5.3","8.0","0.0","26.8","5.3","10.8","35.1","25.6","0.0","26.8","39.4","21.5","6.4","9.7","0.0","26.8","8.5","15.1","0.0","26.8","50909","36295","N","N","(X)","(X)","(X)","(X)","(X)","(X)","346","94","33.5","14.6","11.6","10.0","32.7","16.6","7.8","6.2","7.5","7.1","4.9","4.7","2.0","3.1","0.0","8.3","0.0","8.3","0.0","8.3","17897","5992","19395","5157","(X)","(X)","(X)","(X)","67.6","(X)",
"1400000US17019000301","Census Tract 3.01, Champaign County, Illinois","2055","191","67.9","8.7","5.2","3.5","6.8","4.4","7.4","4.7","4.8","3.0","5.1","4.3","2.1","2.5","0.7","1.1","0.0","1.4","0.0","1.4","7099","1978","14164","3323","29.2","(X)","(X)","(X)","(X)","(X)","69","57","46.4","45.0","0.0","33.6","0.0","33.6","53.6","45.0","0.0","33.6","0.0","33.6","0.0","33.6","0.0","33.6","0.0","33.6","0.0","33.6","-","**","19568","9769","(X)","(X)","17.4","(X)","(X)","(X)","40","46","50.0","50.0","0.0","45.1","0.0","45.1","50.0","50.0","0.0","45.1","0.0","45.1","0.0","45.1","0.0","45.1","0.0","45.1","0.0","45.1","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1986","188","68.7","8.6","5.4","3.6","7.0","4.5","5.8","4.0","4.9","3.1","5.2","4.5","2.2","2.6","0.8","1.2","0.0","1.5","0.0","1.5","6798","2193","13976","3409","(X)","(X)","(X)","(X)","29.7","(X)",
"1400000US17019000302","Census Tract 3.02, Champaign County, Illinois","1530","206","49.1","8.9","9.7","6.2","11.1","5.6","9.9","5.5","4.6","3.8","12.5","6.3","2.2","2.4","0.8","1.1","0.0","1.9","0.0","1.9","10385","4237","19972","4576","19.5","(X)","(X)","(X)","(X)","(X)","91","77","12.1","27.4","18.7","33.5","0.0","27.5","0.0","27.5","25.3","38.0","44.0","49.9","0.0","27.5","0.0","27.5","0.0","27.5","0.0","27.5","-","**","43957","22401","(X)","(X)","74.7","(X)","(X)","(X)","80","78","0.0","30.3","21.3","36.1","0.0","30.3","0.0","30.3","28.8","45.1","50.0","50.0","0.0","30.3","0.0","30.3","0.0","30.3","0.0","30.3","57500","40642","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1439","204","51.4","9.3","9.1","6.3","11.8","6.0","10.6","5.9","3.3","3.0","10.6","6.3","2.3","2.6","0.9","1.2","0.0","2.1","0.0","2.1","9235","6371","18456","4467","(X)","(X)","(X)","(X)","16.1","(X)",
"1400000US17019000401","Census Tract 4.01, Champaign County, Illinois","480","70","61.7","11.5","4.8","4.2","22.3","9.9","4.2","3.5","3.1","4.8","2.5","2.6","1.5","2.1","0.0","6.1","0.0","6.1","0.0","6.1","3864","3095","10565","3023","22.5","(X)","(X)","(X)","(X)","(X)","7","10","100.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","(X)","(X)","0.0","(X)","(X)","(X)","7","10","100.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","473","70","61.1","11.6","4.9","4.3","22.6","10.0","4.2","3.5","3.2","4.8","2.5","2.7","1.5","2.1","0.0","6.1","0.0","6.1","0.0","6.1","3665","3194","10630","3059","(X)","(X)","(X)","(X)","22.8","(X)",
"1400000US17019000402","Census Tract 4.02, Champaign County, Illinois","1329","135","66.9","8.5","7.0","3.8","13.4","5.4","5.6","3.8","1.3","1.4","2.6","2.3","0.9","1.4","1.8","2.5","0.6","1.0","0.0","2.2","5234","2794","13298","4763","31.3","(X)","(X)","(X)","(X)","(X)","36","34","19.4","31.4","0.0","47.5","80.6","31.4","0.0","47.5","0.0","47.5","0.0","47.5","0.0","47.5","0.0","47.5","0.0","47.5","0.0","47.5","16618","4285","14547","5527","(X)","(X)","19.4","(X)","(X)","(X)","12","19","0.0","82.3","0.0","82.3","100.0","82.2","0.0","82.3","0.0","82.3","0.0","82.3","0.0","82.3","0.0","82.3","0.0","82.3","0.0","82.3","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1293","138","68.2","8.6","7.2","3.9","11.5","5.1","5.7","3.9","1.3","1.5","2.6","2.3","0.9","1.4","1.9","2.5","0.6","1.0","0.0","2.3","5043","2971","13263","4879","(X)","(X)","(X)","(X)","31.6","(X)",
"1400000US17019000500","Census Tract 5, Champaign County, Illinois","1994","185","7.5","4.7","11.7","7.0","9.2","5.3","11.9","7.5","13.8","5.8","18.0","6.7","8.4","4.4","10.7","5.0","1.4","1.6","7.4","4.6","44516","11249","74531","17338","31.9","(X)","(X)","(X)","(X)","(X)","591","128","3.9","6.2","7.4","8.7","6.3","7.9","0.0","4.9","8.1","8.9","20.8","11.8","15.6","11.1","23.5","12.2","4.6","5.3","9.8","8.5","85417","24358","100823","22688","(X)","(X)","26.9","(X)","(X)","(X)","484","128","4.8","7.7","5.0","7.6","0.0","6.0","0.0","6.0","5.8","7.5","25.4","13.2","19.0","13.4","22.5","13.9","5.6","6.4","12.0","10.4","86923","20193","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1403","198","9.1","6.2","13.5","9.4","10.5","6.6","17.0","10.5","17.7","8.1","16.7","8.5","3.9","3.8","5.3","4.3","0.0","2.1","6.4","5.5","35040","11393","62841","22878","(X)","(X)","(X)","(X)","32.6","(X)",
"1400000US17019000700","Census Tract 7, Champaign County, Illinois","1326","136","10.0","4.1","5.5","3.9","13.0","5.5","12.0","5.0","26.5","8.1","21.2","6.6","6.4","4.0","5.4","3.9","0.0","2.2","0.0","2.2","40074","5883","42744","4240","52.7","(X)","(X)","(X)","(X)","(X)","649","117","6.6","5.2","1.4","2.2","16.2","9.8","13.6","7.4","24.3","10.4","23.3","11.3","7.2","6.7","7.4","6.4","0.0","4.5","0.0","4.5","42072","7308","46465","5700","(X)","(X)","55.6","(X)","(X)","(X)","296","73","0.0","9.6","3.0","4.8","5.7","6.4","16.9","9.8","24.3","10.6","34.5","16.7","0.0","9.6","15.5","13.2","0.0","9.6","0.0","9.6","50000","7187","N","N","(X)","(X)","(X)","(X)","(X)","(X)","677","142","14.6","7.4","8.1","6.7","9.9","5.7","12.7","8.2","28.5","13.4","17.7","10.5","4.9","3.9","3.5","3.7","0.0","4.3","0.0","4.3","36050","4544","38263","6498","(X)","(X)","(X)","(X)","47.4","(X)",
