"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0100000US","United States","127482865","208633","4.9","0.1","3.6","0.1","6.6","0.1","6.8","0.1","10.4","0.1","15.7","0.1","12.7","0.1","17.4","0.1","9.3","0.1","12.6","0.1","78538","176","110491","204","37.4","(X)","(X)","(X)","(X)","(X)","82220165","187163","3.0","0.1","1.7","0.1","4.1","0.1","5.1","0.1","8.9","0.1","15.0","0.1","13.5","0.1","20.5","0.1","11.7","0.1","16.3","0.1","96922","264","130215","309","(X)","(X)","39.1","(X)","(X)","(X)","60193570","252145","1.3","0.1","0.8","0.1","2.4","0.1","3.4","0.1","6.8","0.1","13.5","0.1","13.8","0.1","23.2","0.1","14.2","0.1","20.8","0.1","115507","256","151103","281","(X)","(X)","(X)","(X)","(X)","(X)","45262700","49397","9.1","0.1","7.2","0.1","11.7","0.1","10.5","0.1","13.9","0.1","17.2","0.1","10.7","0.1","10.7","0.1","4.2","0.1","4.7","0.1","47232","63","69346","108","(X)","(X)","(X)","(X)","33.0","(X)",
"0500000US17019","Champaign County, Illinois","83777","1023","11.3","0.8","3.5","0.6","7.2","0.7","8.0","0.9","10.6","0.8","16.3","1.1","11.5","1.0","15.2","1.0","7.5","0.6","9.0","0.7","63091","1587","89697","2036","34.8","(X)","(X)","(X)","(X)","(X)","42896","928","3.1","0.8","1.2","0.5","4.1","0.7","5.4","1.1","8.4","1.1","15.4","1.4","13.6","1.5","21.9","1.5","11.8","1.1","14.9","1.2","97100","3486","123554","4150","(X)","(X)","37.1","(X)","(X)","(X)","32210","951","1.7","0.7","0.2","0.1","1.8","0.6","3.0","0.8","5.5","1.0","12.6","1.5","14.6","1.6","25.9","1.8","15.4","1.4","19.3","1.5","118969","4089","145709","4855","(X)","(X)","(X)","(X)","(X)","(X)","40881","1334","20.1","1.7","5.9","1.0","10.9","1.3","10.8","1.4","13.3","1.3","17.0","1.7","9.1","1.2","7.8","1.0","2.7","0.5","2.5","0.7","37430","2005","52687","2123","(X)","(X)","(X)","(X)","32.0","(X)",
"1400000US17019000200","Census Tract 2; Champaign County; Illinois","894","148","37.0","10.0","2.8","2.7","6.6","4.1","15.8","7.5","13.3","7.0","15.1","8.6","0.9","1.1","7.5","4.7","0.0","3.8","1.0","1.6","32545","13132","34470","6756","45.1","(X)","(X)","(X)","(X)","(X)","442","123","24.7","14.2","0.0","7.6","6.3","4.7","19.0","13.0","17.4","11.8","26.9","14.7","1.1","2.1","2.5","3.0","0.0","7.6","2.0","3.4","35000","18046","41567","8435","(X)","(X)","42.5","(X)","(X)","(X)","240","109","35.0","24.3","0.0","13.5","0.0","13.5","29.6","23.9","0.0","13.5","27.5","21.8","2.1","3.9","2.1","3.3","0.0","13.5","3.8","6.3","33542","19488","N","N","(X)","(X)","(X)","(X)","(X)","(X)","452","105","50.7","11.6","5.5","5.6","6.9","6.6","12.6","7.3","9.3","6.0","8.2","7.3","0.7","1.0","6.2","6.9","0.0","7.4","0.0","7.4","-","**","23526","8400","(X)","(X)","(X)","(X)","47.6","(X)",
"1400000US17019000301","Census Tract 3.01; Champaign County; Illinois","2473","401","59.6","10.3","13.5","8.3","7.6","6.2","14.2","8.1","2.0","2.4","2.4","3.6","0.7","1.2","0.0","1.4","0.0","1.4","0.0","1.4","5982","3726","11440","3462","39.5","(X)","(X)","(X)","(X)","(X)","107","109","15.9","31.5","64.5","49.6","0.0","27.3","19.6","35.4","0.0","27.3","0.0","27.3","0.0","27.3","0.0","27.3","0.0","27.3","0.0","27.3","11496","2300","13434","7822","(X)","(X)","57.0","(X)","(X)","(X)","0","17","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2366","389","61.6","10.6","11.2","8.1","7.9","6.5","13.9","8.4","2.1","2.5","2.5","3.8","0.7","1.2","0.0","1.5","0.0","1.5","0.0","1.5","5639","3915","11350","3592","(X)","(X)","(X)","(X)","38.7","(X)",
"1400000US17019000302","Census Tract 3.02; Champaign County; Illinois","1837","267","41.9","10.7","9.7","6.3","10.7","6.0","12.5","7.7","9.7","4.5","5.2","4.3","8.4","7.0","1.1","1.3","0.8","1.3","0.0","1.9","14066","11666","24565","5919","21.0","(X)","(X)","(X)","(X)","(X)","20","32","0.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","100.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","-","**","N","N","(X)","(X)","100.0","(X)","(X)","(X)","20","32","0.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","100.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","0.0","68.8","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1817","271","42.4","10.8","9.8","6.4","10.8","6.0","12.7","7.7","8.8","4.2","5.3","4.4","8.5","7.1","1.1","1.3","0.8","1.3","0.0","1.9","13750","10597","24375","5970","(X)","(X)","(X)","(X)","20.1","(X)",
"1400000US17019000401","Census Tract 4.01; Champaign County; Illinois","660","145","74.5","10.1","7.9","6.2","2.7","3.1","8.3","5.6","6.5","6.5","0.0","5.2","0.0","5.2","0.0","5.2","0.0","5.2","0.0","5.2","2,500-","***","7698","2609","18.2","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","660","145","74.5","10.1","7.9","6.2","2.7","3.1","8.3","5.6","6.5","6.5","0.0","5.2","0.0","5.2","0.0","5.2","0.0","5.2","0.0","5.2","2,500-","***","7698","2609","(X)","(X)","(X)","(X)","18.2","(X)",
"1400000US17019000402","Census Tract 4.02; Champaign County; Illinois","1172","186","51.7","12.2","10.6","7.5","13.9","8.1","11.4","7.9","4.8","3.8","4.6","3.9","1.2","2.0","0.3","0.7","0.8","1.1","0.7","1.2","9000","6147","17954","6168","41.5","(X)","(X)","(X)","(X)","(X)","37","29","48.6","40.4","0.0","50.6","51.4","40.4","0.0","50.6","0.0","50.6","0.0","50.6","0.0","50.6","0.0","50.6","0.0","50.6","0.0","50.6","-","**","8614","6235","(X)","(X)","56.8","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1135","189","51.8","12.7","10.9","7.8","12.7","8.1","11.8","8.1","4.9","3.9","4.8","4.0","1.2","2.1","0.4","0.8","0.8","1.2","0.7","1.3","8750","6617","18184","6394","(X)","(X)","(X)","(X)","41.0","(X)",
"1400000US17019000500","Census Tract 5; Champaign County; Illinois","1753","259","9.3","4.5","4.3","3.1","15.9","7.1","3.3","3.0","10.8","5.2","16.7","5.8","6.3","3.5","10.5","5.3","8.8","4.7","14.2","9.0","59408","10367","102140","23759","22.9","(X)","(X)","(X)","(X)","(X)","747","217","0.0","4.6","0.0","4.6","12.9","12.5","1.3","2.5","4.1","4.7","11.5","9.7","5.4","5.6","22.8","14.2","13.1","10.3","28.9","18.6","132596","50779","171879","46494","(X)","(X)","34.8","(X)","(X)","(X)","552","182","0.0","6.1","0.0","6.1","0.0","6.1","1.8","3.3","5.6","6.5","8.0","7.9","7.2","7.7","20.5","14.7","17.8","13.9","39.1","22.2","188026","91988","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1006","189","16.2","7.3","7.6","5.2","18.2","8.2","4.7","5.0","15.7","8.1","20.5","9.1","7.0","4.9","5.3","4.7","1.7","2.6","3.3","3.8","39537","8358","49163","10193","(X)","(X)","(X)","(X)","14.1","(X)",
"1400000US17019000700","Census Tract 7; Champaign County; Illinois","1459","155","14.1","8.9","2.0","3.4","7.6","5.5","13.3","8.0","19.9","8.5","22.2","8.6","14.7","7.7","4.3","3.4","0.6","0.9","1.2","1.9","48048","9087","51298","8904","46.2","(X)","(X)","(X)","(X)","(X)","780","156","3.7","3.8","0.0","4.4","6.8","7.3","17.4","11.4","23.2","13.2","22.2","11.1","18.6","13.3","8.1","6.0","0.0","4.4","0.0","4.4","49747","6427","55527","7838","(X)","(X)","42.4","(X)","(X)","(X)","279","105","0.0","11.8","0.0","11.8","0.0","11.8","20.4","14.8","8.2","9.3","31.9","19.6","21.1","18.9","18.3","16.6","0.0","11.8","0.0","11.8","68558","9696","N","N","(X)","(X)","(X)","(X)","(X)","(X)","679","173","27.1","17.1","4.3","7.2","7.5","7.9","11.0","11.3","14.7","9.8","22.2","14.4","9.3","7.9","0.0","5.0","1.3","2.0","2.5","4.2","35024","9877","45492","16990","(X)","(X)","(X)","(X)","50.5","(X)",
"1400000US17019000800","Census Tract 8; Champaign County; Illinois","2978","244","8.3","5.8","1.5","2.1","2.9","2.5","3.8","3.7","14.3","7.0","27.2","7.2","13.8","5.6","20.4","7.1","6.8","3.0","1.0","1.4","68000","5229","79807","11452","32.0","(X)","(X)","(X)","(X)","(X)","1277","229","2.1","3.6","0.0","2.7","6.3","6.8","1.3","2.5","7.4","7.9","28.0","8.6","19.9","10.4","25.5","9.1","8.1","4.9","1.3","2.8","79861","13297","97961","21118","(X)","(X)","38.7","(X)","(X)","(X)","918","158","0.0","3.7","0.0","3.7","0.0","3.7","0.0","3.7","1.5","2.8","32.1","10.1","21.4","11.9","31.8","12.3","11.3","6.8","1.9","3.9","94563","18562","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1701","337","14.5","10.1","2.6","3.7","3.5","3.0","6.6","6.4","17.7","11.0","23.6","10.8","8.5","6.2","16.3","10.3","5.8","4.0","0.8","1.1","62438","22167","64067","11502","(X)","(X)","(X)","(X)","27.0","(X)",
"1400000US17019000901","Census Tract 9.01; Champaign County; Illinois","1932","209","13.8","6.1","4.0","3.9","12.3","6.1","11.1","5.8","11.3","4.4","20.2","8.7","18.1","9.6","5.6","5.9","2.8","3.1","0.6","1.0","44727","10525","56910","11845","50.3","(X)","(X)","(X)","(X)","(X)","1140","222","6.9","7.2","1.0","1.7","5.4","5.0","12.2","8.3","16.8","12.3","14.9","9.6","29.2","16.2","7.7","10.0","4.8","5.2","1.1","1.7","56042","27372","74063","19051","(X)","(X)","56.4","(X)","(X)","(X)","533","176","3.0","5.6","0.0","6.4","1.3","3.0","4.5","5.2","8.1","8.8","9.2","7.4","47.1","26.2","16.5","21.9","10.3","10.4","0.0","6.4","85945","9836","N","N","(X)","(X)","(X)","(X)","(X)","(X)","792","187","23.7","10.9","8.5","9.0","22.2","13.4","9.6","7.0","13.5","6.0","18.7","8.8","2.1","2.4","1.6","2.6","0.0","4.3","0.0","4.3","23056","4145","29608","5393","(X)","(X)","(X)","(X)","41.4","(X)",
"1400000US17019000902","Census Tract 9.02; Champaign County; Illinois","2998","292","1.0","1.1","2.5","2.4","6.3","5.4","5.1","4.3","10.3","5.3","28.6","7.8","12.7","5.0","24.6","6.4","3.3","2.6","5.7","3.4","72974","6316","96766","13964","36.0","(X)","(X)","(X)","(X)","(X)","1725","239","0.8","1.6","0.0","2.0","3.4","5.3","1.3","2.8","8.7","7.3","23.5","9.0","17.3","7.8","31.7","10.3","5.7","4.6","7.5","5.4","92574","18222","112080","18456","(X)","(X)","43.7","(X)","(X)","(X)","1366","207","1.0","2.0","0.0","2.5","4.3","6.7","0.0","2.5","3.1","3.4","22.0","10.9","16.6","9.0","36.2","12.6","7.2","5.7","9.4","6.7","105952","20470","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1273","259","1.2","1.3","6.0","5.9","10.1","10.1","10.2","9.0","12.4","9.0","35.3","14.9","6.4","5.1","16.9","7.7","0.0","2.7","1.5","1.8","60360","14805","69904","14311","(X)","(X)","(X)","(X)","23.8","(X)",
"1400000US17019001000","Census Tract 10; Champaign County; Illinois","2022","338","8.4","6.8","2.9","3.4","5.3","4.8","10.2","9.1","14.0","8.0","14.2","6.8","13.3","7.9","15.3","6.7","5.8","4.8","10.7","8.5","65469","21152","91871","23188","29.9","(X)","(X)","(X)","(X)","(X)","931","154","6.2","9.6","3.4","5.2","8.5","9.3","2.0","3.4","10.3","7.7","17.1","9.3","16.3","10.1","21.2","11.1","5.8","5.3","9.1","6.3","79844","17869","94974","20985","(X)","(X)","40.7","(X)","(X)","(X)","579","161","0.0","5.9","0.0","5.9","0.0","5.9","3.3","5.4","13.0","10.7","16.1","11.3","11.7","11.6","32.0","16.3","9.3","8.2","14.7","9.8","107396","30052","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1091","341","10.2","9.0","2.5","4.3","2.6","3.2","17.1","16.6","17.7","14.8","12.8","9.4","9.1","9.9","10.3","8.4","5.8","7.2","12.0","16.2","47440","33856","88642","40736","(X)","(X)","(X)","(X)","20.6","(X)",
"1400000US17019001100","Census Tract 11; Champaign County; Illinois","1699","158","3.5","2.7","1.1","1.2","8.6","5.2","2.6","2.5","8.4","4.5","17.7","5.2","13.5","5.7","18.5","6.0","8.9","4.0","17.2","6.9","87697","12480","125664","21497","33.8","(X)","(X)","(X)","(X)","(X)","990","163","4.0","4.5","0.0","3.5","1.1","1.8","3.0","3.1","6.6","6.0","11.7","5.7","11.7","5.9","24.7","9.1","10.5","6.3","26.6","11.9","112569","25107","164796","35936","(X)","(X)","34.2","(X)","(X)","(X)","754","150","1.2","1.8","0.0","4.5","1.5","2.3","2.4","3.1","3.1","3.7","9.4","5.3","12.9","7.1","21.0","8.9","13.8","8.3","34.9","13.9","140625","86175","N","N","(X)","(X)","(X)","(X)","(X)","(X)","709","105","7.1","6.9","2.5","2.8","19.0","12.4","3.8","4.7","11.0","6.8","19.9","9.3","15.9","9.9","9.9","5.7","6.6","5.2","4.2","4.5","54798","17212","68646","13903","(X)","(X)","(X)","(X)","33.1","(X)",
