"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1600000US1700880","Allerton village, Illinois","103","34","72","30","68","30","31","18","0.0","26.5","0.0","34.4","0.0","35.7","0.0","53.3","7.8","7.7","0.0","34.4","0.0","35.7","25.8","25.3","13.6","13.2","16.7","17.8","17.6","18.7","6.5","10.9","0.0","26.5","2.8","4.2","0.0","35.7","0.0","53.3","15.5","12.6","2.8","4.9","2.9","5.2","45.2","28.6","26.2","15.1","25.0","18.2","26.5","18.9","22.6","26.2","23.3","15.1","33.3","20.7","35.3","21.8","0.0","53.3","13.6","11.9","19.4","16.1","17.6","16.1","0.0","53.3","0.0","26.5","0.0","34.4","0.0","35.7","0.0","53.3","0.0","26.5","0.0","34.4","0.0","35.7","0.0","53.3","60750","16475","76667","18299","76667","17844","43125","15588","63249","10879","72613","13881","N","-666666666","38710","11203","27.2","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","23.6","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","35.5","(X)",
"1600000US1707211","Bondville village, Illinois","232","60","147","44","99","35","85","42","8.2","8.4","0.0","19.7","0.0","27.4","22.4","20.9","1.3","1.9","2.0","3.1","0.0","27.4","0.0","30.7","24.6","12.6","29.9","17.3","14.1","13.5","17.6","16.2","10.3","7.2","6.1","7.4","6.1","8.7","18.8","16.0","25.0","11.3","24.5","15.7","36.4","20.2","25.9","16.0","16.4","9.0","24.5","13.2","24.2","15.9","2.4","3.9","8.6","5.3","8.2","6.8","12.1","9.8","5.9","6.7","5.6","4.5","4.8","4.7","7.1","7.0","7.1","10.7","0.0","13.0","0.0","19.7","0.0","27.4","0.0","30.7","0.0","13.0","0.0","19.7","0.0","27.4","0.0","30.7","40208","11588","45750","10117","48917","10307","31375","11191","43826","7390","47352","8989","N","-666666666","35379","12618","40.1","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","43.5","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","34.1","(X)",
"1600000US1708420","Broadlands village, Illinois","119","45","85","34","68","31","34","23","0.0","23.6","0.0","30.7","0.0","35.7","0.0","50.9","3.4","3.9","0.0","30.7","0.0","35.7","11.8","12.5","12.6","10.9","0.0","30.7","0.0","35.7","44.1","29.9","14.3","11.8","11.8","10.7","2.9","5.0","26.5","28.7","7.6","7.5","8.2","9.7","8.8","8.9","0.0","50.9","31.9","13.6","37.6","16.7","38.2","19.5","17.6","22.2","5.0","4.2","7.1","5.7","5.9","5.1","0.0","50.9","21.8","14.1","30.6","18.3","38.2","21.2","0.0","50.9","3.4","3.9","4.7","5.5","5.9","7.0","0.0","50.9","0.0","23.6","0.0","30.7","0.0","35.7","0.0","50.9","55625","13378","72679","13746","77500","30945","22222","5625","65953","12661","81155","13193","N","-666666666","27074","7380","22.7","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","24.7","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","17.6","(X)",
"1600000US1712385","Champaign city, Illinois","30712","919","14833","576","10669","509","15879","725","14.8","1.4","6.1","1.8","1.6","0.9","23.5","2.5","6.8","1.0","3.1","1.0","1.2","0.7","10.7","1.8","13.1","1.5","7.0","1.5","3.8","1.1","19.1","2.7","10.5","1.3","8.7","1.5","6.1","1.5","12.6","2.0","12.0","1.3","13.0","1.9","11.0","1.8","11.5","1.8","16.0","1.5","18.4","2.2","20.6","2.5","12.2","1.8","9.9","1.1","14.5","1.9","16.9","2.4","5.3","1.1","10.2","1.1","17.2","2.2","23.0","3.0","3.2","0.9","3.6","0.7","6.5","1.2","8.8","1.6","1.0","0.6","3.1","0.5","5.5","0.8","7.0","1.1","0.9","0.5","40116","2095","66149","3477","82897","3445","22691","1648","59339","2145","84967","3555","N","-666666666","34036","2199","22.4","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","21.2","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","22.3","(X)",
"1600000US1726194","Fisher village, Illinois","753","66","535","64","416","65","218","54","3.1","2.1","2.4","2.4","1.0","1.3","4.6","4.4","5.2","2.4","1.1","1.1","0.7","1.1","16.5","8.5","9.8","5.0","6.7","5.2","1.0","1.5","21.6","12.6","10.0","3.9","7.3","4.8","4.3","3.1","17.0","9.9","12.5","4.8","9.2","4.4","9.4","5.0","19.3","11.1","21.0","6.2","26.9","7.4","31.3","9.2","5.0","7.8","25.0","8.4","28.4","10.1","29.3","11.2","14.7","17.1","9.3","4.3","12.0","5.5","15.4","7.0","1.4","2.0","3.3","2.1","4.7","2.9","6.0","3.9","0.0","13.8","0.9","1.0","1.3","1.4","1.7","1.9","0.0","13.8","62269","12619","71289","6104","77917","14464","31923","9337","68786","7755","79777","10310","N","-666666666","37224","9369","19.4","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","19.1","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","17.0","(X)",
"1600000US1726662","Foosland village, Illinois","27","17","21","15","20","14","6","6","7.4","12.1","0.0","64.7","0.0","66.3","33.3","43.5","0.0","57.1","0.0","64.7","0.0","66.3","0.0","100.0","7.4","13.7","4.8","18.7","0.0","66.3","33.3","55.1","0.0","57.1","0.0","64.7","0.0","66.3","0.0","100.0","29.6","28.2","33.3","41.7","35.0","42.1","0.0","100.0","33.3","25.8","33.3","29.3","35.0","33.0","33.3","49.0","22.2","17.7","28.6","23.7","30.0","28.7","0.0","100.0","0.0","57.1","0.0","64.7","0.0","66.3","0.0","100.0","0.0","57.1","0.0","64.7","0.0","66.3","0.0","100.0","0.0","57.1","0.0","64.7","0.0","66.3","0.0","100.0","50938","24287","51563","31520","51875","37768","18750","40405","50330","11440","56062","11639","N","-666666666","26817","19947","51.9","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","66.7","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","0.0","(X)",
"1600000US1729145","Gifford village, Illinois","307","38","243","37","193","34","64","20","1.0","1.4","0.0","12.5","0.0","15.4","4.7","7.1","2.9","2.6","2.5","2.7","0.0","15.4","4.7","6.7","7.2","3.3","9.9","6.4","3.1","2.3","14.1","12.2","17.9","7.9","8.6","6.5","5.2","4.2","39.1","18.9","13.0","6.1","12.3","7.5","15.5","9.3","15.6","11.8","23.8","6.4","26.3","7.0","28.0","7.5","10.9","10.5","14.7","5.2","16.5","6.4","19.2","7.5","7.8","10.1","17.6","6.7","21.4","8.1","25.9","8.8","3.1","4.9","2.0","2.1","2.5","2.6","3.1","3.3","0.0","37.0","0.0","10.0","0.0","12.5","0.0","15.4","0.0","37.0","56375","10252","65875","9585","74125","10577","31167","2313","64214","6505","70196","7721","N","-666666666","38850","8081","15.3","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","15.2","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","15.6","(X)",
"1600000US1735814","Homer village, Illinois","431","60","319","55","276","54","112","30","3.7","2.5","0.0","9.7","0.0","11.1","14.3","9.2","10.4","5.2","5.0","6.3","4.7","7.0","25.9","10.6","8.4","4.7","10.3","6.1","5.8","4.3","2.7","3.8","11.6","4.5","9.7","5.3","11.2","6.1","17.0","10.6","13.2","6.2","14.1","7.6","12.3","7.9","14.3","9.4","26.7","7.1","30.4","8.9","32.2","9.3","15.2","9.3","14.8","4.3","18.2","5.5","21.0","6.4","2.7","4.0","8.1","4.8","10.0","6.1","10.1","6.9","2.7","5.3","1.6","1.7","2.2","2.3","2.5","2.7","0.0","24.8","1.4","1.0","0.0","9.7","0.0","11.1","5.4","4.0","52574","6614","58472","6087","61250","6242","31250","6918","61667","11342","60610","6729","N","-666666666","63513","40594","19.5","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","17.9","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","24.1","(X)",
"1600000US1737998","Ivesdale village, Illinois","113","21","79","21","64","18","34","15","0.0","24.6","0.0","32.4","0.0","37.0","0.0","50.9","1.8","2.8","2.5","3.9","3.1","4.8","0.0","50.9","18.6","13.0","3.8","6.2","0.0","37.0","52.9","28.2","11.5","6.5","7.6","7.4","3.1","5.6","20.6","16.9","15.0","7.2","16.5","9.5","17.2","10.2","11.8","15.4","32.7","13.9","40.5","15.9","40.6","17.0","14.7","18.0","11.5","8.6","16.5","11.8","20.3","14.9","0.0","50.9","7.1","6.3","10.1","8.9","12.5","10.9","0.0","50.9","0.0","24.6","0.0","32.4","0.0","37.0","0.0","50.9","1.8","2.9","2.5","4.1","3.1","5.1","0.0","50.9","51750","13165","63438","10290","64375","8934","23750","12460","62716","16737","76096","22654","N","-666666666","31626","8428","23.0","-888888888.0","(X)","-888888888","(X)","-888888888","(X)","(X)","(X)","(X)","25.3","-888888888.0","(X)","-888888888","(X)","(X)","(X)","(X)","(X)","-888888888","(X)","-888888888","17.6","(X)",
