"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1601_C01_001E","Total!!Estimate!!Population 5 years and over"
"S1601_C01_001M","Total!!Margin of Error!!Population 5 years and over"
"S1601_C02_001E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!Population 5 years and over"
"S1601_C02_001M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!Population 5 years and over"
"S1601_C03_001E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!Population 5 years and over"
"S1601_C03_001M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!Population 5 years and over"
"S1601_C01_002E","Total!!Estimate!!Speak only English"
"S1601_C01_002M","Total!!Margin of Error!!Speak only English"
"S1601_C02_002E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!Speak only English"
"S1601_C02_002M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!Speak only English"
"S1601_C03_002E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!Speak only English"
"S1601_C03_002M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!Speak only English"
"S1601_C01_003E","Total!!Estimate!!Speak a language other than English"
"S1601_C01_003M","Total!!Margin of Error!!Speak a language other than English"
"S1601_C02_003E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!Speak a language other than English"
"S1601_C02_003M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!Speak a language other than English"
"S1601_C03_003E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!Speak a language other than English"
"S1601_C03_003M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!Speak a language other than English"
"S1601_C01_004E","Total!!Estimate!!Speak a language other than English!!Spanish or Spanish Creole"
"S1601_C01_004M","Total!!Margin of Error!!Speak a language other than English!!Spanish or Spanish Creole"
"S1601_C02_004E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!Speak a language other than English!!Spanish or Spanish Creole"
"S1601_C02_004M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!Speak a language other than English!!Spanish or Spanish Creole"
"S1601_C03_004E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!Speak a language other than English!!Spanish or Spanish Creole"
"S1601_C03_004M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!Speak a language other than English!!Spanish or Spanish Creole"
"S1601_C01_005E","Total!!Estimate!!Speak a language other than English!!Other Indo-European languages"
"S1601_C01_005M","Total!!Margin of Error!!Speak a language other than English!!Other Indo-European languages"
"S1601_C02_005E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!Speak a language other than English!!Other Indo-European languages"
"S1601_C02_005M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!Speak a language other than English!!Other Indo-European languages"
"S1601_C03_005E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!Speak a language other than English!!Other Indo-European languages"
"S1601_C03_005M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!Speak a language other than English!!Other Indo-European languages"
"S1601_C01_006E","Total!!Estimate!!Speak a language other than English!!Asian and Pacific Island languages"
"S1601_C01_006M","Total!!Margin of Error!!Speak a language other than English!!Asian and Pacific Island languages"
"S1601_C02_006E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!Speak a language other than English!!Asian and Pacific Island languages"
"S1601_C02_006M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!Speak a language other than English!!Asian and Pacific Island languages"
"S1601_C03_006E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!Speak a language other than English!!Asian and Pacific Island languages"
"S1601_C03_006M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!Speak a language other than English!!Asian and Pacific Island languages"
"S1601_C01_007E","Total!!Estimate!!Speak a language other than English!!Other languages"
"S1601_C01_007M","Total!!Margin of Error!!Speak a language other than English!!Other languages"
"S1601_C02_007E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!Speak a language other than English!!Other languages"
"S1601_C02_007M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!Speak a language other than English!!Other languages"
"S1601_C03_007E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!Speak a language other than English!!Other languages"
