"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"0100000US","United States","69021","146",
"0500000US17019","Champaign County, Illinois","56939","1730",
"1400000US17019000200","Census Tract 2, Champaign County, Illinois","25531","7287",
"1400000US17019000301","Census Tract 3.01, Champaign County, Illinois","5512","2511",
"1400000US17019000302","Census Tract 3.02, Champaign County, Illinois","9771","5648",
"1400000US17019000401","Census Tract 4.01, Champaign County, Illinois","4476","4053",
"1400000US17019000402","Census Tract 4.02, Champaign County, Illinois","3416","3329",
"1400000US17019000500","Census Tract 5, Champaign County, Illinois","59701","6120",
"1400000US17019000700","Census Tract 7, Champaign County, Illinois","39173","3540",
"1400000US17019000800","Census Tract 8, Champaign County, Illinois","60946","6524",
"1400000US17019000901","Census Tract 9.01, Champaign County, Illinois","39673","7118",
"1400000US17019000902","Census Tract 9.02, Champaign County, Illinois","62228","4290",
"1400000US17019001000","Census Tract 10, Champaign County, Illinois","62457","20781",
"1400000US17019001100","Census Tract 11, Champaign County, Illinois","81941","14196",
"1400000US17019001201","Census Tract 12.01, Champaign County, Illinois","49476","9467",
"1400000US17019001203","Census Tract 12.03, Champaign County, Illinois","79570","11929",
"1400000US17019001204","Census Tract 12.04, Champaign County, Illinois","126013","10330",
"1400000US17019001205","Census Tract 12.05, Champaign County, Illinois","85141","33526",
"1400000US17019001206","Census Tract 12.06, Champaign County, Illinois","103125","25009",
"1400000US17019001301","Census Tract 13.01, Champaign County, Illinois","69591","7496",
"1400000US17019001302","Census Tract 13.02, Champaign County, Illinois","100655","17044",
"1400000US17019001400","Census Tract 14, Champaign County, Illinois","59698","20709",
"1400000US17019005300","Census Tract 53, Champaign County, Illinois","21726","4263",
"1400000US17019005401","Census Tract 54.01, Champaign County, Illinois","35521","4034",
"1400000US17019005402","Census Tract 54.02, Champaign County, Illinois","59452","6387",
"1400000US17019005500","Census Tract 55, Champaign County, Illinois","59219","13056",
"1400000US17019005601","Census Tract 56.01, Champaign County, Illinois","48702","3920",
"1400000US17019005602","Census Tract 56.02, Champaign County, Illinois","49125","15208",
"1400000US17019005701","Census Tract 57.01, Champaign County, Illinois","44333","30420",
"1400000US17019005702","Census Tract 57.02, Champaign County, Illinois","124125","19139",
"1400000US17019005800","Census Tract 58, Champaign County, Illinois","63750","24023",
"1400000US17019005901","Census Tract 59.01, Champaign County, Illinois","-","**",
"1400000US17019005902","Census Tract 59.02, Champaign County, Illinois","14256","10484",
"1400000US17019006000","Census Tract 60, Champaign County, Illinois","24104","2684",
"1400000US17019010100","Census Tract 101, Champaign County, Illinois","44938","6926",
"1400000US17019010204","Census Tract 102.04, Champaign County, Illinois","47421","13831",
"1400000US17019010300","Census Tract 103, Champaign County, Illinois","36409","3476",
"1400000US17019010400","Census Tract 104, Champaign County, Illinois","75993","6987",
"1400000US17019010500","Census Tract 105, Champaign County, Illinois","98407","11517",
"1400000US17019010601","Census Tract 106.01, Champaign County, Illinois","104141","11456",
"1400000US17019010603","Census Tract 106.03, Champaign County, Illinois","105124","12656",
"1400000US17019010604","Census Tract 106.04, Champaign County, Illinois","100871","35732",
"1400000US17019010701","Census Tract 107.01, Champaign County, Illinois","94484","8715",
"1400000US17019010702","Census Tract 107.02, Champaign County, Illinois","94648","6170",
"1400000US17019010800","Census Tract 108, Champaign County, Illinois","92929","7097",
"1400000US17019010901","Census Tract 109.01, Champaign County, Illinois","78368","21743",
"1400000US17019010902","Census Tract 109.02, Champaign County, Illinois","74881","18650",
"1400000US17019011001","Census Tract 110.01, Champaign County, Illinois","41948","9162",
"1400000US17019011002","Census Tract 110.02, Champaign County, Illinois","66593","29127",
"1400000US17019011100","Census Tract 111, Champaign County, Illinois","25663","4201",
