"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"0100000US","United States","75149","152",
"0500000US17019","Champaign County, Illinois","61090","1625",
"1400000US17019000200","Census Tract 2; Champaign County; Illinois","32054","4762",
"1400000US17019000301","Census Tract 3.01; Champaign County; Illinois","5413","2337",
"1400000US17019000302","Census Tract 3.02; Champaign County; Illinois","11922","9474",
"1400000US17019000401","Census Tract 4.01; Champaign County; Illinois","3388","3318",
"1400000US17019000402","Census Tract 4.02; Champaign County; Illinois","8333","6020",
"1400000US17019000500","Census Tract 5; Champaign County; Illinois","60794","11694",
"1400000US17019000700","Census Tract 7; Champaign County; Illinois","46185","3762",
"1400000US17019000800","Census Tract 8; Champaign County; Illinois","64760","3960",
"1400000US17019000901","Census Tract 9.01; Champaign County; Illinois","42380","10793",
"1400000US17019000902","Census Tract 9.02; Champaign County; Illinois","69533","9709",
"1400000US17019001000","Census Tract 10; Champaign County; Illinois","62306","24567",
"1400000US17019001100","Census Tract 11; Champaign County; Illinois","93456","15027",
"1400000US17019001201","Census Tract 12.01; Champaign County; Illinois","52813","11768",
"1400000US17019001203","Census Tract 12.03; Champaign County; Illinois","86364","7777",
"1400000US17019001204","Census Tract 12.04; Champaign County; Illinois","135490","11191",
"1400000US17019001205","Census Tract 12.05; Champaign County; Illinois","92903","30644",
"1400000US17019001206","Census Tract 12.06; Champaign County; Illinois","104545","16967",
"1400000US17019001301","Census Tract 13.01; Champaign County; Illinois","75140","8049",
"1400000US17019001302","Census Tract 13.02; Champaign County; Illinois","109939","17885",
"1400000US17019001400","Census Tract 14; Champaign County; Illinois","67656","27088",
"1400000US17019005300","Census Tract 53; Champaign County; Illinois","25759","2868",
"1400000US17019005401","Census Tract 54.01; Champaign County; Illinois","35721","10558",
"1400000US17019005402","Census Tract 54.02; Champaign County; Illinois","63738","6143",
"1400000US17019005500","Census Tract 55; Champaign County; Illinois","58266","18013",
"1400000US17019005601","Census Tract 56.01; Champaign County; Illinois","54748","7310",
"1400000US17019005602","Census Tract 56.02; Champaign County; Illinois","56250","14490",
"1400000US17019005701","Census Tract 57.01; Champaign County; Illinois","50272","15849",
"1400000US17019005702","Census Tract 57.02; Champaign County; Illinois","120481","46839",
"1400000US17019005800","Census Tract 58; Champaign County; Illinois","60750","11434",
"1400000US17019005901","Census Tract 59.01; Champaign County; Illinois","6964","3825",
"1400000US17019005902","Census Tract 59.02; Champaign County; Illinois","14200","13101",
"1400000US17019006000","Census Tract 60; Champaign County; Illinois","27055","2306",
"1400000US17019010100","Census Tract 101; Champaign County; Illinois","48248","7524",
"1400000US17019010204","Census Tract 102.04; Champaign County; Illinois","49167","8946",
"1400000US17019010300","Census Tract 103; Champaign County; Illinois","38498","2132",
"1400000US17019010400","Census Tract 104; Champaign County; Illinois","78611","9040",
"1400000US17019010500","Census Tract 105; Champaign County; Illinois","106830","17385",
"1400000US17019010601","Census Tract 106.01; Champaign County; Illinois","114125","10075",
"1400000US17019010603","Census Tract 106.03; Champaign County; Illinois","109388","16762",
"1400000US17019010604","Census Tract 106.04; Champaign County; Illinois","110296","30364",
"1400000US17019010701","Census Tract 107.01; Champaign County; Illinois","100054","17322",
"1400000US17019010702","Census Tract 107.02; Champaign County; Illinois","103008","10164",
"1400000US17019010800","Census Tract 108; Champaign County; Illinois","93533","7828",
"1400000US17019010901","Census Tract 109.01; Champaign County; Illinois","99674","26340",
"1400000US17019010902","Census Tract 109.02; Champaign County; Illinois","85000","25095",
"1400000US17019011001","Census Tract 110.01; Champaign County; Illinois","53750","15337",
"1400000US17019011002","Census Tract 110.02; Champaign County; Illinois","96523","19021",
"1400000US17019011100","Census Tract 111; Champaign County; Illinois","27747","6234",
