"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2401_C01_001E","Total!!Estimate!!Civilian employed population 16 years and over"
"S2401_C01_001M","Total!!Margin of Error!!Civilian employed population 16 years and over"
"S2401_C02_001E","Male!!Estimate!!Civilian employed population 16 years and over"
"S2401_C02_001M","Male!!Margin of Error!!Civilian employed population 16 years and over"
"S2401_C03_001E","Female!!Estimate!!Civilian employed population 16 years and over"
"S2401_C03_001M","Female!!Margin of Error!!Civilian employed population 16 years and over"
"S2401_C04_001E","Median earnings (dollars)!!Estimate!!Civilian employed population 16 years and over"
"S2401_C04_001M","Median earnings (dollars)!!Margin of Error!!Civilian employed population 16 years and over"
"S2401_C05_001E","Median earnings (dollars) for male!!Estimate!!Civilian employed population 16 years and over"
"S2401_C05_001M","Median earnings (dollars) for male!!Margin of Error!!Civilian employed population 16 years and over"
"S2401_C06_001E","Median earnings (dollars) for female!!Estimate!!Civilian employed population 16 years and over"
"S2401_C06_001M","Median earnings (dollars) for female!!Margin of Error!!Civilian employed population 16 years and over"
"S2401_C01_002E","Total!!Estimate!!Management, business, science, and arts occupations"
"S2401_C01_002M","Total!!Margin of Error!!Management, business, science, and arts occupations"
"S2401_C02_002E","Male!!Estimate!!Management, business, science, and arts occupations"
"S2401_C02_002M","Male!!Margin of Error!!Management, business, science, and arts occupations"
"S2401_C03_002E","Female!!Estimate!!Management, business, science, and arts occupations"
"S2401_C03_002M","Female!!Margin of Error!!Management, business, science, and arts occupations"
"S2401_C04_002E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations"
"S2401_C04_002M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations"
"S2401_C05_002E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations"
"S2401_C05_002M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations"
"S2401_C06_002E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations"
"S2401_C06_002M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations"
"S2401_C01_003E","Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C01_003M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C02_003E","Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C02_003M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C03_003E","Female!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C03_003M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C04_003E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C04_003M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C05_003E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C05_003M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C06_003E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C06_003M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations"
"S2401_C01_004E","Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations"
"S2401_C01_004M","Total!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations"
"S2401_C02_004E","Male!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations"
"S2401_C02_004M","Male!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations"
"S2401_C03_004E","Female!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations"
"S2401_C03_004M","Female!!Margin of Error!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations"
"S2401_C04_004E","Median earnings (dollars)!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations"
