"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"0100000US","United States","43858831","146712","1711674","15382","3701914","21907","5240201","24323","5248722","23937","4739892","21329","3719857","20343","2716546","15929","3684426","21388","10048573","45066","3047026","19079",
"0500000US17019","Champaign County, Illinois","38150","1137","1336","286","2974","363","4175","593","4251","598","3386","437","2818","543","2476","494","2745","462","9746","686","4243","490",
"1400000US17019000200","Census Tract 2, Champaign County, Illinois","566","124","55","52","0","12","59","51","75","84","4","6","4","7","89","79","20","23","184","82","76","49",
"1400000US17019000301","Census Tract 3.01, Champaign County, Illinois","2163","292","25","40","28","48","39","45","85","67","28","32","18","30","35","39","89","75","1213","293","603","191",
"1400000US17019000302","Census Tract 3.02, Champaign County, Illinois","1616","250","9","15","34","40","130","72","132","107","76","67","67","49","76","62","51","47","705","188","336","165",
"1400000US17019000401","Census Tract 4.01, Champaign County, Illinois","543","134","0","12","0","12","18","19","0","12","8","10","11","19","13","14","20","23","310","120","163","75",
"1400000US17019000402","Census Tract 4.02, Champaign County, Illinois","1140","235","5","9","25","25","7","12","31","30","6","10","13","21","0","12","68","66","592","139","393","241",
"1400000US17019000500","Census Tract 5, Champaign County, Illinois","1136","205","14","22","216","136","124","71","67","54","176","114","41","42","0","12","128","122","370","181","0","12",
"1400000US17019000700","Census Tract 7, Champaign County, Illinois","714","183","52","56","67","54","74","46","105","85","112","76","66","86","39","59","29","32","142","83","28","32",
"1400000US17019000800","Census Tract 8, Champaign County, Illinois","2163","316","56","46","419","199","263","165","588","268","291","122","102","96","81","121","106","74","257","115","0","17",
"1400000US17019000901","Census Tract 9.01, Champaign County, Illinois","1180","181","64","73","81","74","81","63","160","99","185","97","56","56","28","35","174","109","210","94","141","95",
"1400000US17019000902","Census Tract 9.02, Champaign County, Illinois","1036","212","0","17","111","72","157","139","180","121","154","132","134","124","110","113","18","32","120","72","52","70",
"1400000US17019001000","Census Tract 10, Champaign County, Illinois","963","265","19","32","97","82","168","123","53","75","46","50","79","109","294","211","58","91","103","77","46","70",
"1400000US17019001100","Census Tract 11, Champaign County, Illinois","440","111","22","33","50","34","21","24","127","80","27","30","15","19","46","53","33","28","99","69","0","12",
"1400000US17019001201","Census Tract 12.01, Champaign County, Illinois","1472","277","83","59","47","72","166","96","310","159","203","135","19","31","53","66","171","121","153","112","267","158",
"1400000US17019001203","Census Tract 12.03, Champaign County, Illinois","497","162","70","80","59","57","185","136","22","26","48","50","13","20","17","22","36","49","20","25","27","28",
"1400000US17019001204","Census Tract 12.04, Champaign County, Illinois","236","105","5","8","21","27","80","60","26","33","26","41","28","37","0","12","0","12","16","18","34","37",
"1400000US17019001205","Census Tract 12.05, Champaign County, Illinois","1213","349","86","106","174","156","133","79","80","67","66","56","51","49","61","68","122","103","440","307","0","17",
"1400000US17019001206","Census Tract 12.06, Champaign County, Illinois","122","68","6","9","8","9","9","12","14","12","5","8","0","12","48","59","6","8","13","15","13","14",
"1400000US17019001301","Census Tract 13.01, Champaign County, Illinois","1014","196","0","17","35","38","117","77","267","157","43","42","90","76","61","56","236","130","82","57","83","72",
"1400000US17019001302","Census Tract 13.02, Champaign County, Illinois","523","126","0","12","22","24","65","75","54","39","78","55","74","62","42","52","66","59","122","79","0","12",
"1400000US17019001400","Census Tract 14, Champaign County, Illinois","874","135","29","30","61","39","197","85","65","44","80","44","153","82","47","32","79","46","125","68","38","38",
"1400000US17019005300","Census Tract 53, Champaign County, Illinois","2055","341","55","41","34","40","131","82","126","89","268","201","157","93","70","56","114","105","493","199","607","246",
"1400000US17019005401","Census Tract 54.01, Champaign County, Illinois","1498","263","21","37","21","41","221","169","125","111","134","107","275","178","230","140","116","129","287","160","68","58",
"1400000US17019005402","Census Tract 54.02, Champaign County, Illinois","478","180","0","12","48","51","149","92","138","159","14","18","25","45","40","55","18","29","27","30","19","20",
"1400000US17019005500","Census Tract 55, Champaign County, Illinois","915","218","23","37","177","119","27","35","210","126","119","106","84","64","0","12","52","39","199","130","24","23",
"1400000US17019005601","Census Tract 56.01, Champaign County, Illinois","1253","220","0","17","95","85","211","115","154","126","170","114","92","83","42","41","73","67","390","157","26","35",
"1400000US17019005602","Census Tract 56.02, Champaign County, Illinois","838","103","52","39","68","45","39","34","62","48","79","64","118","61","63","62","91","66","148","73","118","77",
