"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0100000US","United States","124010992","196755","80152161","337611","43858831","146712",
"0500000US17019","Champaign County, Illinois","81835","979","43685","791","38150","1137",
"1400000US17019000200","Census Tract 2, Champaign County, Illinois","921","135","355","85","566","124",
"1400000US17019000301","Census Tract 3.01, Champaign County, Illinois","2163","292","0","17","2163","292",
"1400000US17019000302","Census Tract 3.02, Champaign County, Illinois","1616","250","0","12","1616","250",
"1400000US17019000401","Census Tract 4.01, Champaign County, Illinois","543","134","0","12","543","134",
"1400000US17019000402","Census Tract 4.02, Champaign County, Illinois","1140","235","0","12","1140","235",
"1400000US17019000500","Census Tract 5, Champaign County, Illinois","1847","299","711","202","1136","205",
"1400000US17019000700","Census Tract 7, Champaign County, Illinois","1392","189","678","145","714","183",
"1400000US17019000800","Census Tract 8, Champaign County, Illinois","2930","299","767","128","2163","316",
"1400000US17019000901","Census Tract 9.01, Champaign County, Illinois","1867","181","687","177","1180","181",
"1400000US17019000902","Census Tract 9.02, Champaign County, Illinois","2893","265","1857","295","1036","212",
"1400000US17019001000","Census Tract 10, Champaign County, Illinois","2111","323","1148","244","963","265",
"1400000US17019001100","Census Tract 11, Champaign County, Illinois","1623","141","1183","169","440","111",
"1400000US17019001201","Census Tract 12.01, Champaign County, Illinois","2953","372","1481","365","1472","277",
"1400000US17019001203","Census Tract 12.03, Champaign County, Illinois","1915","192","1418","156","497","162",
"1400000US17019001204","Census Tract 12.04, Champaign County, Illinois","1353","188","1117","160","236","105",
"1400000US17019001205","Census Tract 12.05, Champaign County, Illinois","3269","410","2056","280","1213","349",
"1400000US17019001206","Census Tract 12.06, Champaign County, Illinois","893","136","771","118","122","68",
"1400000US17019001301","Census Tract 13.01, Champaign County, Illinois","2706","286","1692","270","1014","196",
"1400000US17019001302","Census Tract 13.02, Champaign County, Illinois","2030","175","1507","176","523","126",
"1400000US17019001400","Census Tract 14, Champaign County, Illinois","1590","149","716","131","874","135",
"1400000US17019005300","Census Tract 53, Champaign County, Illinois","2350","337","295","86","2055","341",
"1400000US17019005401","Census Tract 54.01, Champaign County, Illinois","2189","222","691","161","1498","263",
"1400000US17019005402","Census Tract 54.02, Champaign County, Illinois","1715","247","1237","217","478","180",
"1400000US17019005500","Census Tract 55, Champaign County, Illinois","2093","262","1178","196","915","218",
"1400000US17019005601","Census Tract 56.01, Champaign County, Illinois","2475","231","1222","208","1253","220",
"1400000US17019005602","Census Tract 56.02, Champaign County, Illinois","1216","107","378","67","838","103",
"1400000US17019005701","Census Tract 57.01, Champaign County, Illinois","2320","281","1175","184","1145","251",
"1400000US17019005702","Census Tract 57.02, Champaign County, Illinois","682","86","539","75","143","71",
"1400000US17019005800","Census Tract 58, Champaign County, Illinois","1460","155","786","112","674","134",
"1400000US17019005901","Census Tract 59.01, Champaign County, Illinois","394","74","23","4","371","74",
"1400000US17019005902","Census Tract 59.02, Champaign County, Illinois","645","166","0","12","645","166",
"1400000US17019006000","Census Tract 60, Champaign County, Illinois","614","106","13","12","601","106",
"1400000US17019010100","Census Tract 101, Champaign County, Illinois","1942","246","884","189","1058","273",
"1400000US17019010204","Census Tract 102.04, Champaign County, Illinois","1993","333","1475","288","518","220",
"1400000US17019010300","Census Tract 103, Champaign County, Illinois","1198","153","255","76","943","150",
"1400000US17019010400","Census Tract 104, Champaign County, Illinois","1773","141","1464","122","309","63",
"1400000US17019010500","Census Tract 105, Champaign County, Illinois","1589","151","1385","145","204","79",
"1400000US17019010601","Census Tract 106.01, Champaign County, Illinois","2069","148","1832","186","237","114",
"1400000US17019010603","Census Tract 106.03, Champaign County, Illinois","2535","188","2146","158","389","125",
"1400000US17019010604","Census Tract 106.04, Champaign County, Illinois","1197","202","967","202","230","102",
"1400000US17019010701","Census Tract 107.01, Champaign County, Illinois","1443","183","1239","176","204","94",
"1400000US17019010702","Census Tract 107.02, Champaign County, Illinois","1461","152","1259","111","202","127",
"1400000US17019010800","Census Tract 108, Champaign County, Illinois","1676","132","1464","115","212","63",
"1400000US17019010901","Census Tract 109.01, Champaign County, Illinois","2325","265","1694","223","631","200",
"1400000US17019010902","Census Tract 109.02, Champaign County, Illinois","1486","151","1261","134","225","128",
"1400000US17019011001","Census Tract 110.01, Champaign County, Illinois","1219","217","270","99","949","212",
"1400000US17019011002","Census Tract 110.02, Champaign County, Illinois","1083","203","368","185","715","144",
"1400000US17019011100","Census Tract 111, Champaign County, Illinois","938","194","41","32","897","190",
