"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0100000US","United States","125736353","198714","81497760","345906","44238593","153702",
"0500000US17019","Champaign County, Illinois","82467","840","44154","910","38313","1148",
"1400000US17019000200","Census Tract 2; Champaign County; Illinois","893","179","361","106","532","142",
"1400000US17019000301","Census Tract 3.01; Champaign County; Illinois","2172","356","0","17","2172","356",
"1400000US17019000302","Census Tract 3.02; Champaign County; Illinois","1697","245","0","12","1697","245",
"1400000US17019000401","Census Tract 4.01; Champaign County; Illinois","549","142","0","12","549","142",
"1400000US17019000402","Census Tract 4.02; Champaign County; Illinois","1038","239","0","12","1038","239",
"1400000US17019000500","Census Tract 5; Champaign County; Illinois","1831","261","690","191","1141","202",
"1400000US17019000700","Census Tract 7; Champaign County; Illinois","1413","181","727","153","686","199",
"1400000US17019000800","Census Tract 8; Champaign County; Illinois","3016","290","834","121","2182","310",
"1400000US17019000901","Census Tract 9.01; Champaign County; Illinois","1923","204","828","179","1095","198",
"1400000US17019000902","Census Tract 9.02; Champaign County; Illinois","2926","265","2012","285","914","237",
"1400000US17019001000","Census Tract 10; Champaign County; Illinois","2043","352","1126","236","917","261",
"1400000US17019001100","Census Tract 11; Champaign County; Illinois","1609","156","1172","180","437","108",
"1400000US17019001201","Census Tract 12.01; Champaign County; Illinois","3004","348","1453","364","1551","282",
"1400000US17019001203","Census Tract 12.03; Champaign County; Illinois","1870","189","1486","154","384","140",
"1400000US17019001204","Census Tract 12.04; Champaign County; Illinois","1441","188","1136","165","305","123",
"1400000US17019001205","Census Tract 12.05; Champaign County; Illinois","3220","365","2072","312","1148","351",
"1400000US17019001206","Census Tract 12.06; Champaign County; Illinois","824","137","684","135","140","56",
"1400000US17019001301","Census Tract 13.01; Champaign County; Illinois","2577","275","1648","245","929","187",
"1400000US17019001302","Census Tract 13.02; Champaign County; Illinois","2036","206","1552","192","484","140",
"1400000US17019001400","Census Tract 14; Champaign County; Illinois","1585","155","702","127","883","129",
"1400000US17019005300","Census Tract 53; Champaign County; Illinois","2312","320","307","105","2005","321",
"1400000US17019005401","Census Tract 54.01; Champaign County; Illinois","2213","247","678","199","1535","261",
"1400000US17019005402","Census Tract 54.02; Champaign County; Illinois","1731","242","1244","248","487","182",
"1400000US17019005500","Census Tract 55; Champaign County; Illinois","2203","290","1120","210","1083","259",
"1400000US17019005601","Census Tract 56.01; Champaign County; Illinois","2488","281","1262","203","1226","262",
"1400000US17019005602","Census Tract 56.02; Champaign County; Illinois","1290","130","420","69","870","121",
"1400000US17019005701","Census Tract 57.01; Champaign County; Illinois","2409","277","1188","191","1221","273",
"1400000US17019005702","Census Tract 57.02; Champaign County; Illinois","711","94","569","81","142","69",
"1400000US17019005800","Census Tract 58; Champaign County; Illinois","1615","161","811","140","804","150",
"1400000US17019005901","Census Tract 59.01; Champaign County; Illinois","405","82","19","5","386","81",
"1400000US17019005902","Census Tract 59.02; Champaign County; Illinois","644","157","0","12","644","157",
"1400000US17019006000","Census Tract 60; Champaign County; Illinois","620","100","13","13","607","95",
"1400000US17019010100","Census Tract 101; Champaign County; Illinois","2122","267","1114","327","1008","255",
"1400000US17019010204","Census Tract 102.04; Champaign County; Illinois","1928","309","1383","265","545","201",
"1400000US17019010300","Census Tract 103; Champaign County; Illinois","1217","163","262","86","955","152",
"1400000US17019010400","Census Tract 104; Champaign County; Illinois","1758","130","1450","116","308","59",
"1400000US17019010500","Census Tract 105; Champaign County; Illinois","1601","132","1411","129","190","76",
"1400000US17019010601","Census Tract 106.01; Champaign County; Illinois","2037","134","1834","155","203","94",
"1400000US17019010603","Census Tract 106.03; Champaign County; Illinois","2670","193","2157","194","513","181",
"1400000US17019010604","Census Tract 106.04; Champaign County; Illinois","1193","186","901","211","292","98",
"1400000US17019010701","Census Tract 107.01; Champaign County; Illinois","1532","223","1319","203","213","106",
"1400000US17019010702","Census Tract 107.02; Champaign County; Illinois","1381","151","1186","110","195","109",
"1400000US17019010800","Census Tract 108; Champaign County; Illinois","1585","133","1378","123","207","67",
"1400000US17019010901","Census Tract 109.01; Champaign County; Illinois","2326","219","1747","217","579","194",
"1400000US17019010902","Census Tract 109.02; Champaign County; Illinois","1454","165","1127","156","327","143",
"1400000US17019011001","Census Tract 110.01; Champaign County; Illinois","1239","210","255","101","984","205",
"1400000US17019011002","Census Tract 110.02; Champaign County; Illinois","1105","190","493","189","612","156",
"1400000US17019011100","Census Tract 111; Champaign County; Illinois","1011","152","23","19","988","150",
