year,table_code,table_name,status,row_count,error_message
2019,B03002,stg_acs_2019_b03002_raw,success,43,
2019,B19013,stg_acs_2019_b19013_raw,success,43,
2019,B25003,stg_acs_2019_b25003_raw,success,43,
2019,B25070,stg_acs_2019_b25070_raw,success,43,
2019,DP04,stg_acs_2019_dp04_raw,success,43,
2019,S0101,stg_acs_2019_s0101_raw,success,43,
2019,S1101,stg_acs_2019_s1101_raw,success,43,
2019,S1501,stg_acs_2019_s1501_raw,success,43,
2019,S1601,stg_acs_2019_s1601_raw,success,43,
2019,S1701,stg_acs_2019_s1701_raw,success,43,
2019,S1901,stg_acs_2019_s1901_raw,success,43,
2019,S2301,stg_acs_2019_s2301_raw,success,43,
2019,S2401,stg_acs_2019_s2401_raw,success,43,
2021,B03002,stg_acs_2021_b03002_raw,success,48,
2021,B19013,stg_acs_2021_b19013_raw,success,48,
2021,B25003,stg_acs_2021_b25003_raw,success,48,
2021,B25070,stg_acs_2021_b25070_raw,success,48,
2021,DP04,stg_acs_2021_dp04_raw,success,48,
2021,S0101,stg_acs_2021_s0101_raw,success,48,
2021,S1101,stg_acs_2021_s1101_raw,success,48,
2021,S1501,stg_acs_2021_s1501_raw,success,48,
2021,S1601,stg_acs_2021_s1601_raw,success,48,
2021,S1701,stg_acs_2021_s1701_raw,success,48,
2021,S1901,stg_acs_2021_s1901_raw,success,48,
2021,S2301,stg_acs_2021_s2301_raw,success,48,
2021,S2401,stg_acs_2021_s2401_raw,success,48,
2022,B03002,stg_acs_2022_b03002_raw,success,48,
2022,B19013,stg_acs_2022_b19013_raw,success,48,
2022,B25003,stg_acs_2022_b25003_raw,success,48,
2022,B25070,stg_acs_2022_b25070_raw,success,48,
2022,DP04,stg_acs_2022_dp04_raw,success,48,
2022,S0101,stg_acs_2022_s0101_raw,success,48,
2022,S1101,stg_acs_2022_s1101_raw,success,48,
2022,S1501,stg_acs_2022_s1501_raw,success,48,
2022,S1601,stg_acs_2022_s1601_raw,success,48,
2022,S1701,stg_acs_2022_s1701_raw,success,48,
2022,S1901,stg_acs_2022_s1901_raw,success,48,
2022,S2301,stg_acs_2022_s2301_raw,success,48,
2022,S2401,stg_acs_2022_s2401_raw,success,48,
2023,B03002,stg_acs_2023_b03002_raw,success,48,
2023,B19013,stg_acs_2023_b19013_raw,success,48,
2023,B25003,stg_acs_2023_b25003_raw,success,48,
2023,B25070,stg_acs_2023_b25070_raw,success,48,
2023,DP04,stg_acs_2023_dp04_raw,success,48,
2023,S0101,stg_acs_2023_s0101_raw,success,48,
2023,S1101,stg_acs_2023_s1101_raw,success,48,
2023,S1501,stg_acs_2023_s1501_raw,success,48,
2023,S1601,stg_acs_2023_s1601_raw,success,48,
2023,S1701,stg_acs_2023_s1701_raw,success,48,
2023,S1901,stg_acs_2023_s1901_raw,success,48,
2023,S2301,stg_acs_2023_s2301_raw,success,48,
2023,S2401,stg_acs_2023_s2401_raw,success,48,
