year,table_code,table_name,csv_file,sql_file,sql_column_count
2019,B03002,stg_acs_2019_b03002_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b03002_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_b03002_raw.sql,55
2019,B19013,stg_acs_2019_b19013_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b19013_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_b19013_raw.sql,15
2019,B25003,stg_acs_2019_b25003_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b25003_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_b25003_raw.sql,19
2019,B25070,stg_acs_2019_b25070_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b25070_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_b25070_raw.sql,35
2019,DP04,stg_acs_2019_dp04_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_dp04_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_dp04_raw.sql,585
2019,S0101,stg_acs_2019_s0101_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s0101_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_s0101_raw.sql,469
2019,S1101,stg_acs_2019_s1101_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1101_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_s1101_raw.sql,193
2019,S1501,stg_acs_2019_s1501_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1501_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_s1501_raw.sql,781
2019,S1601,stg_acs_2019_s1601_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1601_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_s1601_raw.sql,301
2019,S1701,stg_acs_2019_s1701_raw,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1701_raw.csv,D:\Projects\Community-Pulse\sql\acs\fact\staging_all\2019\01_create_stg_acs_2019_s1701_raw.sql,379
