year,table_code,table_family,source_type,row_count,column_count,output_file
2019,B03002,Detailed Table,DT,43,55,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b03002_raw.csv
2019,B19013,Detailed Table,DT,43,15,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b19013_raw.csv
2019,B25003,Detailed Table,DT,43,19,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b25003_raw.csv
2019,B25070,Detailed Table,DT,43,35,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_b25070_raw.csv
2019,DP04,Data Profile,DP,43,585,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_dp04_raw.csv
2019,S0101,Subject Table,ST,43,469,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s0101_raw.csv
2019,S1101,Subject Table,ST,43,193,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1101_raw.csv
2019,S1501,Subject Table,ST,43,781,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1501_raw.csv
2019,S1601,Subject Table,ST,43,301,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1601_raw.csv
2019,S1701,Subject Table,ST,43,379,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1701_raw.csv
2019,S1901,Subject Table,ST,43,141,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s1901_raw.csv
2019,S2301,Subject Table,ST,43,293,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s2301_raw.csv
2019,S2401,Subject Table,ST,43,373,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2019\stg_acs_2019_s2401_raw.csv
2021,B03002,Detailed Table,DT,48,55,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_b03002_raw.csv
2021,B19013,Detailed Table,DT,48,15,D:\Projects\Community-Pulse\data\acs\processed\acs_tract\staging\2021\stg_acs_2021_b19013_raw.csv
