tract_geoid,tract_name_example,years_present,year_count
17019005600,"Census Tract 56, Champaign County, Illinois",2019,1
17019005900,"Census Tract 59, Champaign County, Illinois",2019,1
17019010700,"Census Tract 107, Champaign County, Illinois",2019,1
17019010900,"Census Tract 109, Champaign County, Illinois",2019,1
17019011000,"Census Tract 110, Champaign County, Illinois",2019,1
17019005601,"Census Tract 56.01, Champaign County, Illinois","2021,2022,2023",3
17019005602,"Census Tract 56.02, Champaign County, Illinois","2021,2022,2023",3
17019005901,"Census Tract 59.01, Champaign County, Illinois","2021,2022,2023",3
17019005902,"Census Tract 59.02, Champaign County, Illinois","2021,2022,2023",3
17019010701,"Census Tract 107.01, Champaign County, Illinois","2021,2022,2023",3
17019010702,"Census Tract 107.02, Champaign County, Illinois","2021,2022,2023",3
17019010901,"Census Tract 109.01, Champaign County, Illinois","2021,2022,2023",3
17019010902,"Census Tract 109.02, Champaign County, Illinois","2021,2022,2023",3
17019011001,"Census Tract 110.01, Champaign County, Illinois","2021,2022,2023",3
17019011002,"Census Tract 110.02, Champaign County, Illinois","2021,2022,2023",3
