tract_geoid,tract_number,tract_name_canonical,first_year_seen,last_year_seen,year_count,is_stable_all_4_years
17019005600,56,Census Tract 56,2019,2019,1,0
17019005900,59,Census Tract 59,2019,2019,1,0
17019010700,107,Census Tract 107,2019,2019,1,0
17019010900,109,Census Tract 109,2019,2019,1,0
17019011000,110,Census Tract 110,2019,2019,1,0
17019005601,56.01,Census Tract 56.01,2021,2023,3,0
17019005602,56.02,Census Tract 56.02,2021,2023,3,0
17019005901,59.01,Census Tract 59.01,2021,2023,3,0
17019005902,59.02,Census Tract 59.02,2021,2023,3,0
17019010701,107.01,Census Tract 107.01,2021,2023,3,0
17019010702,107.02,Census Tract 107.02,2021,2023,3,0
17019010901,109.01,Census Tract 109.01,2021,2023,3,0
17019010902,109.02,Census Tract 109.02,2021,2023,3,0
17019011001,110.01,Census Tract 110.01,2021,2023,3,0
17019011002,110.02,Census Tract 110.02,2021,2023,3,0
17019000200,2,Census Tract 2,2019,2023,4,1
17019000301,3.01,Census Tract 3.01,2019,2023,4,1
17019000302,3.02,Census Tract 3.02,2019,2023,4,1
17019000401,4.01,Census Tract 4.01,2019,2023,4,1
17019000402,4.02,Census Tract 4.02,2019,2023,4,1
17019000500,5,Census Tract 5,2019,2023,4,1
17019000700,7,Census Tract 7,2019,2023,4,1
17019000800,8,Census Tract 8,2019,2023,4,1
17019000901,9.01,Census Tract 9.01,2019,2023,4,1
17019000902,9.02,Census Tract 9.02,2019,2023,4,1
17019001000,10,Census Tract 10,2019,2023,4,1
17019001100,11,Census Tract 11,2019,2023,4,1
17019001201,12.01,Census Tract 12.01,2019,2023,4,1
17019001203,12.03,Census Tract 12.03,2019,2023,4,1
17019001204,12.04,Census Tract 12.04,2019,2023,4,1
17019001205,12.05,Census Tract 12.05,2019,2023,4,1
17019001206,12.06,Census Tract 12.06,2019,2023,4,1
17019001301,13.01,Census Tract 13.01,2019,2023,4,1
17019001302,13.02,Census Tract 13.02,2019,2023,4,1
17019001400,14,Census Tract 14,2019,2023,4,1
17019005300,53,Census Tract 53,2019,2023,4,1
17019005401,54.01,Census Tract 54.01,2019,2023,4,1
17019005402,54.02,Census Tract 54.02,2019,2023,4,1
17019005500,55,Census Tract 55,2019,2023,4,1
17019005701,57.01,Census Tract 57.01,2019,2023,4,1
17019005702,57.02,Census Tract 57.02,2019,2023,4,1
17019005800,58,Census Tract 58,2019,2023,4,1
17019006000,60,Census Tract 60,2019,2023,4,1
17019010100,101,Census Tract 101,2019,2023,4,1
17019010204,102.04,Census Tract 102.04,2019,2023,4,1
17019010300,103,Census Tract 103,2019,2023,4,1
17019010400,104,Census Tract 104,2019,2023,4,1
17019010500,105,Census Tract 105,2019,2023,4,1
17019010601,106.01,Census Tract 106.01,2019,2023,4,1
17019010603,106.03,Census Tract 106.03,2019,2023,4,1
17019010604,106.04,Census Tract 106.04,2019,2023,4,1
17019010800,108,Census Tract 108,2019,2023,4,1
17019011100,111,Census Tract 111,2019,2023,4,1
