source_table,metric_group,metric_name,metric_kind
B03002,race_ethnicity,b03002_001e,derived
B03002,race_ethnicity,b03002_001m,derived
B03002,race_ethnicity,b03002_002e,derived
B03002,race_ethnicity,b03002_002m,derived
B03002,race_ethnicity,b03002_003e,derived
B03002,race_ethnicity,b03002_003m,derived
B03002,race_ethnicity,b03002_004e,derived
B03002,race_ethnicity,b03002_004m,derived
B03002,race_ethnicity,b03002_005e,derived
B03002,race_ethnicity,b03002_005m,derived
B03002,race_ethnicity,b03002_006e,derived
B03002,race_ethnicity,b03002_006m,derived
B03002,race_ethnicity,b03002_007e,derived
B03002,race_ethnicity,b03002_007m,derived
B03002,race_ethnicity,b03002_008e,derived
B03002,race_ethnicity,b03002_008m,derived
B03002,race_ethnicity,b03002_009e,derived
B03002,race_ethnicity,b03002_009m,derived
B03002,race_ethnicity,b03002_010e,derived
B03002,race_ethnicity,b03002_010m,derived
B03002,race_ethnicity,b03002_011e,derived
B03002,race_ethnicity,b03002_011m,derived
B03002,race_ethnicity,b03002_012e,derived
B03002,race_ethnicity,b03002_012m,derived
B03002,race_ethnicity,b03002_013e,derived
B03002,race_ethnicity,b03002_013m,derived
B03002,race_ethnicity,b03002_014e,derived
B03002,race_ethnicity,b03002_014m,derived
B03002,race_ethnicity,b03002_015e,derived
B03002,race_ethnicity,b03002_015m,derived
B03002,race_ethnicity,b03002_016e,derived
B03002,race_ethnicity,b03002_016m,derived
B03002,race_ethnicity,b03002_017e,derived
B03002,race_ethnicity,b03002_017m,derived
B03002,race_ethnicity,b03002_018e,derived
B03002,race_ethnicity,b03002_018m,derived
B03002,race_ethnicity,b03002_019e,derived
B03002,race_ethnicity,b03002_019m,derived
B03002,race_ethnicity,b03002_020e,derived
B03002,race_ethnicity,b03002_020m,derived
B03002,race_ethnicity,b03002_021e,derived
B03002,race_ethnicity,b03002_021m,derived
B19013,income,has_income_metric,derived
B19013,income,median_household_income,derived
B19013,income,median_household_income_moe,derived
B25003,tenure,has_tenure_metric,derived
B25003,tenure,occupied_units,derived
B25003,tenure,owner_occupied_units,derived
B25003,tenure,pct_owner_occupied,derived
B25003,tenure,pct_renter_occupied,derived
B25003,tenure,renter_occupied_units,derived
B25070,rent_burden,has_rent_burden_metric,derived
B25070,rent_burden,pct_rent_burden_30_plus,derived
B25070,rent_burden,pct_rent_burden_50_plus,derived
B25070,rent_burden,pct_rent_not_computed,derived
B25070,rent_burden,rent_30_34,derived
B25070,rent_burden,rent_35_39,derived
B25070,rent_burden,rent_40_49,derived
B25070,rent_burden,rent_50_plus,derived
B25070,rent_burden,rent_not_computed,derived
B25070,rent_burden,renter_hh_rent_burden_base,derived
DP04,housing_profile,for_rent_units,derived
DP04,housing_profile,for_sale_only_units,derived
DP04,housing_profile,has_housing_profile_metric,derived
DP04,housing_profile,housing_units_total,derived
DP04,housing_profile,migrant_worker_units,derived
DP04,housing_profile,occupied_housing_units_dp04,derived
DP04,housing_profile,other_vacant_units,derived
DP04,housing_profile,pct_occupied_housing_units,derived
DP04,housing_profile,pct_vacant_housing_units,derived
DP04,housing_profile,rented_not_occupied_units,derived
DP04,housing_profile,seasonal_recreational_units,derived
DP04,housing_profile,sold_not_occupied_units,derived
DP04,housing_profile,vacant_housing_units_dp04,derived
S0101,age,s0101_c01_001e,derived
S0101,age,s0101_c01_001m,derived
S0101,age,s0101_c01_002e,derived
S0101,age,s0101_c01_002m,derived
S0101,age,s0101_c01_003e,derived
S0101,age,s0101_c01_003m,derived
S0101,age,s0101_c01_004e,derived
S0101,age,s0101_c01_004m,derived
S0101,age,s0101_c01_005e,derived
S0101,age,s0101_c01_005m,derived
S0101,age,s0101_c01_006e,derived
S0101,age,s0101_c01_006m,derived
S0101,age,s0101_c01_007e,derived
S0101,age,s0101_c01_007m,derived
S0101,age,s0101_c01_008e,derived
S0101,age,s0101_c01_008m,derived
S0101,age,s0101_c01_009e,derived
S0101,age,s0101_c01_009m,derived
S0101,age,s0101_c01_010e,derived
S0101,age,s0101_c01_010m,derived
S0101,age,s0101_c01_011e,derived
S0101,age,s0101_c01_011m,derived
S0101,age,s0101_c01_012e,derived
S0101,age,s0101_c01_012m,derived
S0101,age,s0101_c01_013e,derived
S0101,age,s0101_c01_013m,derived
S0101,age,s0101_c01_014e,derived
S0101,age,s0101_c01_014m,derived
S0101,age,s0101_c01_015e,derived
S0101,age,s0101_c01_015m,derived
S0101,age,s0101_c01_016e,derived
S0101,age,s0101_c01_016m,derived
S0101,age,s0101_c01_017e,derived
S0101,age,s0101_c01_017m,derived
S0101,age,s0101_c01_018e,derived
S0101,age,s0101_c01_018m,derived
S0101,age,s0101_c01_019e,derived
S0101,age,s0101_c01_019m,derived
S0101,age,s0101_c01_020e,derived
S0101,age,s0101_c01_020m,derived
S0101,age,s0101_c01_021e,derived
S0101,age,s0101_c01_021m,derived
S0101,age,s0101_c01_022e,derived
S0101,age,s0101_c01_022m,derived
S0101,age,s0101_c01_023e,derived
S0101,age,s0101_c01_023m,derived
S0101,age,s0101_c01_024e,derived
S0101,age,s0101_c01_024m,derived
S0101,age,s0101_c01_025e,derived
S0101,age,s0101_c01_025m,derived
S0101,age,s0101_c01_026e,derived
S0101,age,s0101_c01_026m,derived
S0101,age,s0101_c01_027e,derived
S0101,age,s0101_c01_027m,derived
S0101,age,s0101_c01_028e,derived
S0101,age,s0101_c01_028m,derived
S0101,age,s0101_c01_029e,derived
S0101,age,s0101_c01_029m,derived
S0101,age,s0101_c01_030e,derived
S0101,age,s0101_c01_030m,derived
S0101,age,s0101_c01_031e,derived
S0101,age,s0101_c01_031m,derived
S0101,age,s0101_c01_032e,derived
S0101,age,s0101_c01_032m,derived
S0101,age,s0101_c01_033e,derived
S0101,age,s0101_c01_033m,derived
S0101,age,s0101_c01_034e,derived
S0101,age,s0101_c01_034m,derived
S0101,age,s0101_c01_035e,derived
S0101,age,s0101_c01_035m,derived
S0101,age,s0101_c01_036e,derived
S0101,age,s0101_c01_036m,derived
S0101,age,s0101_c02_002e,derived
S0101,age,s0101_c02_002m,derived
S0101,age,s0101_c02_003e,derived
S0101,age,s0101_c02_003m,derived
S0101,age,s0101_c02_004e,derived
S0101,age,s0101_c02_004m,derived
S0101,age,s0101_c02_005e,derived
S0101,age,s0101_c02_005m,derived
S0101,age,s0101_c02_006e,derived
S0101,age,s0101_c02_006m,derived
S0101,age,s0101_c02_007e,derived
S0101,age,s0101_c02_007m,derived
