year,source_table,metric_group,row_count,distinct_metric_count
2019,B03002,race_ethnicity,1806,42
2019,B19013,income,129,3
2019,B25003,tenure,258,6
2019,B25070,rent_burden,430,10
2019,DP04,housing_profile,555,13
2019,S0101,age,16420,382
2019,S1101,household_composition,6414,156
2019,S1501,education,24792,618
2019,S1601,language,10544,268
2019,S1701,poverty,13780,330
2019,S1901,income_distribution,4495,105
2019,S2301,employment,11246,280
2019,S2401,occupation,14968,360
2021,B03002,race_ethnicity,2016,42
2021,B19013,income,142,3
2021,B25003,tenure,288,6
2021,B25070,rent_burden,480,10
2021,DP04,housing_profile,619,13
2021,S0101,age,18332,382
2021,S1101,household_composition,6750,150
2021,S1501,education,27590,618
2021,S1601,language,11620,268
2021,S1701,poverty,15342,330
2021,S1901,income_distribution,4966,105
2021,S2301,employment,12490,280
2021,S2401,occupation,16572,360
2022,B03002,race_ethnicity,2016,42
2022,B19013,income,144,3
2022,B25003,tenure,288,6
2022,B25070,rent_burden,480,10
2022,DP04,housing_profile,619,13
2022,S0101,age,18334,382
2022,S1101,household_composition,6774,150
2022,S1501,education,27692,618
2022,S1601,language,11628,268
2022,S1701,poverty,15354,330
2022,S1901,income_distribution,4962,105
2022,S2301,employment,12568,280
2022,S2401,occupation,16500,360
2023,B03002,race_ethnicity,2016,42
2023,B19013,income,142,3
2023,B25003,tenure,288,6
2023,B25070,rent_burden,480,10
2023,DP04,housing_profile,620,13
2023,S0101,age,18334,382
2023,S1101,household_composition,6718,150
2023,S1501,education,27690,618
2023,S1601,language,11700,268
2023,S1701,poverty,15340,330
2023,S1901,income_distribution,4925,105
2023,S2301,employment,12614,280
2023,S2401,occupation,16468,360
