year,tract_geoid,tract_name_canonical,median_household_income,pct_renter_occupied,pct_rent_burden_30_plus,pct_hispanic
2019,17019000200,Census Tract 2,21385,61.06,54.91,3.15
2019,17019000301,Census Tract 3.01,7099,100.00,62.82,3.56
2019,17019000302,Census Tract 3.02,10385,100.00,51.83,5.22
2019,17019000401,Census Tract 4.01,3864,100.00,54.38,5.39
2019,17019000402,Census Tract 4.02,5234,100.00,61.32,9.58
2019,17019000500,Census Tract 5,44516,63.39,56.33,3.98
2019,17019000700,Census Tract 7,40074,45.55,48.18,12.13
2019,17019000800,Census Tract 8,54864,70.01,30.32,4.33
2019,17019000901,Census Tract 9.01,36602,66.70,40.43,15.69
2019,17019000902,Census Tract 9.02,60412,44.41,42.67,5.33
2019,17019001000,Census Tract 10,55378,44.34,40.87,0.97
2019,17019001100,Census Tract 11,73300,26.28,40.00,7.87
2019,17019001201,Census Tract 12.01,44503,54.71,38.12,5.14
2019,17019001203,Census Tract 12.03,76944,25.18,25.92,3.80
2019,17019001204,Census Tract 12.04,120785,21.35,34.40,2.08
2019,17019001205,Census Tract 12.05,99671,34.94,38.01,6.67
2019,17019001206,Census Tract 12.06,108385,12.10,57.01,6.48
2019,17019001301,Census Tract 13.01,74070,35.80,29.76,9.39
2019,17019001302,Census Tract 13.02,94902,27.69,62.70,2.60
2019,17019001400,Census Tract 14,57250,55.84,57.95,6.88
2019,17019005300,Census Tract 53,21563,83.33,35.42,3.38
2019,17019005401,Census Tract 54.01,34245,65.63,54.30,6.79
2019,17019005402,Census Tract 54.02,45361,21.45,43.32,10.16
2019,17019005500,Census Tract 55,50370,32.75,37.20,10.67
2019,17019005600,Census Tract 56,60774,45.83,50.53,7.47
