year,table_code,table_name,status,row_count,error_message
2019,B19013,stg_acs_2019_b19013_raw,success,43,
2019,B25003,stg_acs_2019_b25003_raw,success,43,
2019,B25070,stg_acs_2019_b25070_raw,success,43,
2019,S1101,stg_acs_2019_s1101_raw,success,43,
2021,B19013,stg_acs_2021_b19013_raw,success,48,
2021,B25003,stg_acs_2021_b25003_raw,success,48,
2021,B25070,stg_acs_2021_b25070_raw,success,48,
2021,S1101,stg_acs_2021_s1101_raw,success,48,
2022,B19013,stg_acs_2022_b19013_raw,success,48,
2022,B25003,stg_acs_2022_b25003_raw,success,48,
2022,B25070,stg_acs_2022_b25070_raw,success,48,
2022,S1101,stg_acs_2022_s1101_raw,success,48,
2023,B19013,stg_acs_2023_b19013_raw,success,48,
2023,B25003,stg_acs_2023_b25003_raw,success,48,
2023,B25070,stg_acs_2023_b25070_raw,success,48,
2023,S1101,stg_acs_2023_s1101_raw,success,48,
