year,table_code,staging_table,int_table,sql_file,status,row_count,error_message
2019,B19013,stg_acs_2019_b19013_raw,int_acs_2019_b19013,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2019\01_create_int_acs_2019_b19013.sql,success,43,
2019,B25003,stg_acs_2019_b25003_raw,int_acs_2019_b25003,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2019\01_create_int_acs_2019_b25003.sql,success,43,
2019,B25070,stg_acs_2019_b25070_raw,int_acs_2019_b25070,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2019\01_create_int_acs_2019_b25070.sql,success,43,
2019,DP04,stg_acs_2019_dp04_raw,int_acs_2019_dp04,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2019\01_create_int_acs_2019_dp04.sql,success,43,
2021,B19013,stg_acs_2021_b19013_raw,int_acs_2021_b19013,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2021\01_create_int_acs_2021_b19013.sql,success,48,
2021,B25003,stg_acs_2021_b25003_raw,int_acs_2021_b25003,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2021\01_create_int_acs_2021_b25003.sql,success,48,
2021,B25070,stg_acs_2021_b25070_raw,int_acs_2021_b25070,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2021\01_create_int_acs_2021_b25070.sql,success,48,
2021,DP04,stg_acs_2021_dp04_raw,int_acs_2021_dp04,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2021\01_create_int_acs_2021_dp04.sql,success,48,
2022,B19013,stg_acs_2022_b19013_raw,int_acs_2022_b19013,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2022\01_create_int_acs_2022_b19013.sql,success,48,
2022,B25003,stg_acs_2022_b25003_raw,int_acs_2022_b25003,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2022\01_create_int_acs_2022_b25003.sql,success,48,
2022,B25070,stg_acs_2022_b25070_raw,int_acs_2022_b25070,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2022\01_create_int_acs_2022_b25070.sql,success,48,
2022,DP04,stg_acs_2022_dp04_raw,int_acs_2022_dp04,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2022\01_create_int_acs_2022_dp04.sql,success,48,
2023,B19013,stg_acs_2023_b19013_raw,int_acs_2023_b19013,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2023\01_create_int_acs_2023_b19013.sql,success,48,
2023,B25003,stg_acs_2023_b25003_raw,int_acs_2023_b25003,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2023\01_create_int_acs_2023_b25003.sql,success,48,
2023,B25070,stg_acs_2023_b25070_raw,int_acs_2023_b25070,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2023\01_create_int_acs_2023_b25070.sql,success,48,
2023,DP04,stg_acs_2023_dp04_raw,int_acs_2023_dp04,D:\Projects\Community-Pulse\sql\acs\fact\int_core_housing\2023\01_create_int_acs_2023_dp04.sql,success,48,
