year,table_code,staging_table,int_table,measure_column_count,sql_file,status,row_count,error_message
2019,B03002,stg_acs_2019_b03002_raw,int_acs_2019_b03002,42,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2019\01_create_int_acs_2019_b03002.sql,success,43,
2019,S0101,stg_acs_2019_s0101_raw,int_acs_2019_s0101,456,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2019\01_create_int_acs_2019_s0101.sql,success,43,
2019,S1501,stg_acs_2019_s1501_raw,int_acs_2019_s1501,768,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2019\01_create_int_acs_2019_s1501.sql,success,43,
2019,S1601,stg_acs_2019_s1601_raw,int_acs_2019_s1601,288,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2019\01_create_int_acs_2019_s1601.sql,success,43,
2019,S2401,stg_acs_2019_s2401_raw,int_acs_2019_s2401,360,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2019\01_create_int_acs_2019_s2401.sql,success,43,
2021,B03002,stg_acs_2021_b03002_raw,int_acs_2021_b03002,42,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2021\01_create_int_acs_2021_b03002.sql,success,48,
2021,S0101,stg_acs_2021_s0101_raw,int_acs_2021_s0101,456,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2021\01_create_int_acs_2021_s0101.sql,success,48,
2021,S1501,stg_acs_2021_s1501_raw,int_acs_2021_s1501,768,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2021\01_create_int_acs_2021_s1501.sql,success,48,
2021,S1601,stg_acs_2021_s1601_raw,int_acs_2021_s1601,288,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2021\01_create_int_acs_2021_s1601.sql,success,48,
2021,S2401,stg_acs_2021_s2401_raw,int_acs_2021_s2401,360,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2021\01_create_int_acs_2021_s2401.sql,success,48,
2022,B03002,stg_acs_2022_b03002_raw,int_acs_2022_b03002,42,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2022\01_create_int_acs_2022_b03002.sql,success,48,
2022,S0101,stg_acs_2022_s0101_raw,int_acs_2022_s0101,456,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2022\01_create_int_acs_2022_s0101.sql,success,48,
2022,S1501,stg_acs_2022_s1501_raw,int_acs_2022_s1501,768,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2022\01_create_int_acs_2022_s1501.sql,success,48,
2022,S1601,stg_acs_2022_s1601_raw,int_acs_2022_s1601,288,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2022\01_create_int_acs_2022_s1601.sql,success,48,
2022,S2401,stg_acs_2022_s2401_raw,int_acs_2022_s2401,360,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2022\01_create_int_acs_2022_s2401.sql,success,48,
2023,B03002,stg_acs_2023_b03002_raw,int_acs_2023_b03002,42,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2023\01_create_int_acs_2023_b03002.sql,success,48,
2023,S0101,stg_acs_2023_s0101_raw,int_acs_2023_s0101,456,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2023\01_create_int_acs_2023_s0101.sql,success,48,
2023,S1501,stg_acs_2023_s1501_raw,int_acs_2023_s1501,768,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2023\01_create_int_acs_2023_s1501.sql,success,48,
2023,S1601,stg_acs_2023_s1601_raw,int_acs_2023_s1601,288,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2023\01_create_int_acs_2023_s1601.sql,success,48,
2023,S2401,stg_acs_2023_s2401_raw,int_acs_2023_s2401,360,D:\Projects\Community-Pulse\sql\acs\fact\int_demo_edu_enrichment\2023\01_create_int_acs_2023_s2401.sql,success,48,
