year,table_code,staging_table,int_table,measure_column_count,sql_file,status,row_count,error_message
2019,S1101,stg_acs_2019_s1101_raw,int_acs_2019_s1101,180,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2019\01_create_int_acs_2019_s1101.sql,success,43,
2019,S1701,stg_acs_2019_s1701_raw,int_acs_2019_s1701,366,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2019\01_create_int_acs_2019_s1701.sql,success,43,
2019,S1901,stg_acs_2019_s1901_raw,int_acs_2019_s1901,128,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2019\01_create_int_acs_2019_s1901.sql,success,43,
2019,S2301,stg_acs_2019_s2301_raw,int_acs_2019_s2301,280,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2019\01_create_int_acs_2019_s2301.sql,success,43,
2021,S1101,stg_acs_2021_s1101_raw,int_acs_2021_s1101,190,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2021\01_create_int_acs_2021_s1101.sql,success,48,
2021,S1701,stg_acs_2021_s1701_raw,int_acs_2021_s1701,372,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2021\01_create_int_acs_2021_s1701.sql,success,48,
2021,S1901,stg_acs_2021_s1901_raw,int_acs_2021_s1901,128,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2021\01_create_int_acs_2021_s1901.sql,success,48,
2021,S2301,stg_acs_2021_s2301_raw,int_acs_2021_s2301,280,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2021\01_create_int_acs_2021_s2301.sql,success,48,
2022,S1101,stg_acs_2022_s1101_raw,int_acs_2022_s1101,190,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2022\01_create_int_acs_2022_s1101.sql,success,48,
2022,S1701,stg_acs_2022_s1701_raw,int_acs_2022_s1701,372,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2022\01_create_int_acs_2022_s1701.sql,success,48,
2022,S1901,stg_acs_2022_s1901_raw,int_acs_2022_s1901,128,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2022\01_create_int_acs_2022_s1901.sql,success,48,
2022,S2301,stg_acs_2022_s2301_raw,int_acs_2022_s2301,280,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2022\01_create_int_acs_2022_s2301.sql,success,48,
2023,S1101,stg_acs_2023_s1101_raw,int_acs_2023_s1101,190,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2023\01_create_int_acs_2023_s1101.sql,success,48,
2023,S1701,stg_acs_2023_s1701_raw,int_acs_2023_s1701,372,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2023\01_create_int_acs_2023_s1701.sql,success,48,
2023,S1901,stg_acs_2023_s1901_raw,int_acs_2023_s1901,128,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2023\01_create_int_acs_2023_s1901.sql,success,48,
2023,S2301,stg_acs_2023_s2301_raw,int_acs_2023_s2301,280,D:\Projects\Community-Pulse\sql\acs\fact\int_housing_poverty\2023\01_create_int_acs_2023_s2301.sql,success,48,
