year,metric_name,row_count,null_count,null_pct,avg_value
2019,poverty_rate,43,0,0.0,24.38
2021,poverty_rate,48,0,0.0,22.75
2022,poverty_rate,48,0,0.0,22.9
2023,poverty_rate,48,0,0.0,22.27
2019,unemployment_rate,43,0,0.0,5.07
2021,unemployment_rate,48,0,0.0,5.01
2022,unemployment_rate,48,0,0.0,4.71
2023,unemployment_rate,48,0,0.0,4.4
2019,pct_hh_income_under_25k,43,0,0.0,30.09
2021,pct_hh_income_under_25k,48,0,0.0,27.49
2022,pct_hh_income_under_25k,48,0,0.0,25.4
2023,pct_hh_income_under_25k,48,0,0.0,24.74
2019,pct_bachelors_or_higher,43,0,0.0,47.59
2021,pct_bachelors_or_higher,48,0,0.0,49.38
2022,pct_bachelors_or_higher,48,0,0.0,49.98
2023,pct_bachelors_or_higher,48,0,0.0,49.82
2019,pct_age_18_24,43,0,0.0,24.04
2021,pct_age_18_24,48,0,0.0,23.95
2022,pct_age_18_24,48,0,0.0,24.6
2023,pct_age_18_24,48,0,0.0,23.93
2019,pct_family_households,43,0,0.0,48.96
2021,pct_family_households,48,0,0.0,49.05
2022,pct_family_households,48,0,0.0,48.86
2023,pct_family_households,48,0,0.0,48.83
2019,pct_households_with_under_18,43,0,0.0,22.97
2021,pct_households_with_under_18,48,0,0.0,22.84
2022,pct_households_with_under_18,48,0,0.0,22.04
2023,pct_households_with_under_18,48,0,0.0,21.84
2019,pct_households_with_65_plus,43,0,0.0,37.15
2021,pct_households_with_65_plus,48,0,0.0,21.13
2022,pct_households_with_65_plus,48,0,0.0,22.15
2023,pct_households_with_65_plus,48,0,0.0,22.36
