metric_name,category,sql_expr,source_view,source_columns,definition_policy,numerator,denominator,include_in_cluster_input,notes
age_under_18_population,age,s0101.s0101_c01_022e,vw_int_acs_s0101_all_years,s0101_c01_022e,official_field,population under 18,,False,Official selected age category count from S0101
age_18_24_population,age,s0101.s0101_c01_023e,vw_int_acs_s0101_all_years,s0101_c01_023e,official_field,population age 18 to 24,,False,Official selected age category count from S0101
age_65_plus_population,age,s0101.s0101_c01_030e,vw_int_acs_s0101_all_years,s0101_c01_030e,official_field,population age 65 and over,,False,Official selected age category count from S0101
pct_age_under_18,age,s0101.s0101_c02_022e,vw_int_acs_s0101_all_years,s0101_c02_022e,official_field,population under 18,total population,True,Official selected age category percent from S0101
pct_age_18_24,age,s0101.s0101_c02_023e,vw_int_acs_s0101_all_years,s0101_c02_023e,official_field,population age 18 to 24,total population,True,Official selected age category percent from S0101
pct_age_65_plus,age,s0101.s0101_c02_030e,vw_int_acs_s0101_all_years,s0101_c02_030e,official_field,population age 65 and over,total population,True,Official selected age category percent from S0101
median_age_years,age,s0101.s0101_c01_032e,vw_int_acs_s0101_all_years,s0101_c01_032e,official_field,median age,,False,Official summary indicator from S0101
total_households_s1101,household_composition,s1101.s1101_c01_001e,vw_int_acs_s1101_all_years,s1101_c01_001e,official_field,total households,,False,Official total households from S1101
avg_household_size_v2,household_composition,s1101.s1101_c01_002e,vw_int_acs_s1101_all_years,s1101_c01_002e,official_field,average household size,,True,Official average household size from S1101
total_families_s1101,household_composition,s1101.s1101_c01_003e,vw_int_acs_s1101_all_years,s1101_c01_003e,official_field,total families,,False,Official family count from S1101
pct_family_households,household_composition,"CASE WHEN s1101.s1101_c01_001e > 0 THEN ROUND(100.0 * s1101.s1101_c01_003e / s1101.s1101_c01_001e, 2) ELSE NULL END",vw_int_acs_s1101_all_years,"s1101_c01_003e, s1101_c01_001e",derived_from_counts,total families,total households,True,Derived family-household share from S1101 counts
pct_nonfamily_households,household_composition,"CASE WHEN s1101.s1101_c01_001e > 0 THEN ROUND(100.0 - (100.0 * s1101.s1101_c01_003e / s1101.s1101_c01_001e), 2) ELSE NULL END",vw_int_acs_s1101_all_years,"s1101_c01_003e, s1101_c01_001e",derived_from_counts,nonfamily households,total households,False,Complement of family-household share
households_with_own_children_under_18,household_composition,s1101.s1101_c01_005e,vw_int_acs_s1101_all_years,s1101_c01_005e,official_field,households with own children under 18,,False,Official count from S1101
pct_households_with_own_children_under_18,household_composition,"CASE WHEN s1101.s1101_c01_001e > 0 THEN ROUND(100.0 * s1101.s1101_c01_005e / s1101.s1101_c01_001e, 2) ELSE NULL END",vw_int_acs_s1101_all_years,"s1101_c01_005e, s1101_c01_001e",derived_from_counts,households with own children under 18,total households,True,Derived from S1101 own-children count and total households
pct_households_with_under_18,household_composition,s1101.s1101_c01_010e,vw_int_acs_s1101_all_years,s1101_c01_010e,official_field,households with one or more people under 18,total households,True,Official selected-household-type percentage from S1101
pct_households_with_60_plus,household_composition,s1101.s1101_c01_011e,vw_int_acs_s1101_all_years,s1101_c01_011e,official_field,households with one or more people 60 years and over,total households,False,Official selected-household-type percentage from S1101
pct_households_with_65_plus,household_composition,s1101.s1101_c01_012e,vw_int_acs_s1101_all_years,s1101_c01_012e,official_field,households with one or more people 65 years and over,total households,True,Official selected-household-type percentage from S1101
pct_one_person_households,household_composition,s1101.s1101_c01_013e,vw_int_acs_s1101_all_years,s1101_c01_013e,official_field,households with householder living alone,total households,True,Official selected-household-type percentage from S1101
pct_senior_living_alone_households,household_composition,s1101.s1101_c01_014e,vw_int_acs_s1101_all_years,s1101_c01_014e,official_field,households with householder living alone age 65+,total households,False,Official selected-household-type percentage from S1101
education_population_25_plus,education,s1501.s1501_c01_006e,vw_int_acs_s1501_all_years,s1501_c01_006e,official_field,population 25 years and over,,False,Official 25+ education base from S1501
pct_less_than_high_school,education,"CASE WHEN s1501.s1501_c02_014e IS NOT NULL THEN ROUND(100.0 - s1501.s1501_c02_014e, 2) ELSE NULL END",vw_int_acs_s1501_all_years,s1501_c02_014e,derived_from_official_fields,population 25+ with less than high school,population 25 years and over,True,Derived as complement of official high-school-or-higher percentage from S1501
pct_high_school_grad,education,s1501.s1501_c02_009e,vw_int_acs_s1501_all_years,s1501_c02_009e,official_field,population 25+ high school graduate,population 25 years and over,True,Official S1501 percentage
pct_some_college_no_degree,education,s1501.s1501_c02_010e,vw_int_acs_s1501_all_years,s1501_c02_010e,official_field,population 25+ some college no degree,population 25 years and over,False,Official S1501 percentage
pct_associates_degree,education,s1501.s1501_c02_011e,vw_int_acs_s1501_all_years,s1501_c02_011e,official_field,population 25+ associate degree,population 25 years and over,False,Official S1501 percentage
pct_some_college_or_associate,education,"CASE WHEN s1501.s1501_c02_010e IS NOT NULL OR s1501.s1501_c02_011e IS NOT NULL THEN ROUND(COALESCE(s1501.s1501_c02_010e, 0) + COALESCE(s1501.s1501_c02_011e, 0), 2) ELSE NULL END",vw_int_acs_s1501_all_years,"s1501_c02_010e, s1501_c02_011e",derived_from_official_fields,population 25+ some college or associate degree,population 25 years and over,True,Bundle of official S1501 percentages
pct_bachelors_degree,education,s1501.s1501_c02_012e,vw_int_acs_s1501_all_years,s1501_c02_012e,official_field,population 25+ bachelor degree,population 25 years and over,False,Official S1501 percentage
pct_graduate_or_professional,education,s1501.s1501_c02_013e,vw_int_acs_s1501_all_years,s1501_c02_013e,official_field,population 25+ graduate or professional degree,population 25 years and over,False,Official S1501 percentage
pct_high_school_or_higher,education,s1501.s1501_c02_014e,vw_int_acs_s1501_all_years,s1501_c02_014e,official_field,population 25+ high school or higher,population 25 years and over,False,Official S1501 percentage
pct_bachelors_or_higher,education,s1501.s1501_c02_015e,vw_int_acs_s1501_all_years,s1501_c02_015e,official_field,population 25+ bachelor degree or higher,population 25 years and over,True,Official S1501 percentage
poverty_base_population,poverty,s1701.s1701_c01_001e,vw_int_acs_s1701_all_years,s1701_c01_001e,official_field,population for whom poverty status is determined,,False,Official poverty-status base count from S1701
poverty_below_count,poverty,s1701.s1701_c02_001e,vw_int_acs_s1701_all_years,s1701_c02_001e,official_field,population below poverty,,False,Official below-poverty count from S1701
poverty_rate,poverty,s1701.s1701_c03_001e,vw_int_acs_s1701_all_years,s1701_c03_001e,official_field,population below poverty,population for whom poverty status is determined,True,Official poverty percentage from S1701
labor_force_participation_rate,employment,s2301.s2301_c02_001e,vw_int_acs_s2301_all_years,s2301_c02_001e,official_field,civilian labor force participants,population 16 years and over,False,Official labor force participation rate from S2301
employment_population_ratio,employment,s2301.s2301_c03_001e,vw_int_acs_s2301_all_years,s2301_c03_001e,official_field,employed population,population 16 years and over,False,Official employment-population ratio from S2301
unemployment_rate,employment,s2301.s2301_c04_001e,vw_int_acs_s2301_all_years,s2301_c04_001e,official_field,unemployed labor force participants,civilian labor force,True,Official unemployment rate from S2301
total_households_s1901,income_distribution,s1901.s1901_c01_001e,vw_int_acs_s1901_all_years,s1901_c01_001e,official_field,total households,,False,Official total households from S1901
pct_hh_income_under_25k,income_distribution,"ROUND(COALESCE(s1901.s1901_c01_002e, 0) + COALESCE(s1901.s1901_c01_003e, 0) + COALESCE(s1901.s1901_c01_004e, 0), 2)",vw_int_acs_s1901_all_years,"s1901_c01_002e, s1901_c01_003e, s1901_c01_004e",derived_from_official_fields,households with income under 25k,total households,True,Bundle of official S1901 household income-share bins
pct_hh_income_25k_50k,income_distribution,"ROUND(COALESCE(s1901.s1901_c01_005e, 0) + COALESCE(s1901.s1901_c01_006e, 0), 2)",vw_int_acs_s1901_all_years,"s1901_c01_005e, s1901_c01_006e",derived_from_official_fields,"households with income 25k to 49,999",total households,True,Bundle of official S1901 household income-share bins
pct_hh_income_50k_100k,income_distribution,"ROUND(COALESCE(s1901.s1901_c01_007e, 0) + COALESCE(s1901.s1901_c01_008e, 0), 2)",vw_int_acs_s1901_all_years,"s1901_c01_007e, s1901_c01_008e",derived_from_official_fields,"households with income 50k to 99,999",total households,True,Bundle of official S1901 household income-share bins
pct_hh_income_100k_plus,income_distribution,"ROUND(COALESCE(s1901.s1901_c01_009e, 0) + COALESCE(s1901.s1901_c01_010e, 0) + COALESCE(s1901.s1901_c01_011e, 0), 2)",vw_int_acs_s1901_all_years,"s1901_c01_009e, s1901_c01_010e, s1901_c01_011e",derived_from_official_fields,households with income 100k or more,total households,True,Bundle of official S1901 household income-share bins
median_household_income_s1901,income_distribution,s1901.s1901_c01_012e,vw_int_acs_s1901_all_years,s1901_c01_012e,official_field,median household income,,False,Official median household income from S1901
mean_household_income_s1901,income_distribution,s1901.s1901_c01_013e,vw_int_acs_s1901_all_years,s1901_c01_013e,official_field,mean household income,,False,Official mean household income from S1901
language_population_5_plus,language,s1601.s1601_c01_001e,vw_int_acs_s1601_all_years,s1601_c01_001e,official_field,population age 5 and over,,False,Official population 5+ base from S1601
speak_language_other_than_english_at_home_count,language,s1601.s1601_c01_003e,vw_int_acs_s1601_all_years,s1601_c01_003e,official_field,population 5+ speaking a language other than English at home,,False,Official count from S1601
pct_speak_language_other_than_english_at_home,language,s1601.s1601_c02_003e,vw_int_acs_s1601_all_years,s1601_c02_003e,official_field,population 5+ speaking a language other than English at home,population age 5 and over,True,Official percentage from S1601
