year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,is_stable_all_4_years,avg_household_size_v2,median_household_income,pct_age_18_24,pct_age_65_plus,pct_bachelors_or_higher,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_one_person_households,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_vacant_housing_units,poverty_rate,unemployment_rate
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,1,2.65,21385.0,17.4,10.7,13.6,50.64,1.1,30.0,13.1,55.8,25.96,9.9,11.1,54.91,32.94,61.06,72.6,34.1,23.97,43.2,12.2
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,1,2.48,7099.0,90.7,1.4,46.8,3.36,0.7,12.2,7.2,79.9,0.97,9.3,0.7,62.82,56.3,100.0,2.5,13.7,16.97,82.5,5.1
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,Census Tract 3.02,1,1.76,10385.0,69.7,0.0,54.0,5.95,0.8,14.5,14.7,69.9,0.0,5.7,0.0,51.83,39.41,100.0,3.9,26.4,25.91,68.4,2.4
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,Census Tract 4.01,1,2.99,3864.0,95.8,0.0,59.1,1.46,0.0,7.3,4.0,88.8,0.0,0.0,0.0,54.38,47.92,100.0,1.0,39.6,24.88,89.7,6.0
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,1,2.54,5234.0,90.1,0.0,75.9,2.71,2.4,6.9,3.5,87.3,0.0,0.0,0.0,61.32,52.29,100.0,3.7,9.1,18.11,87.8,7.7
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,Census Tract 5,1,1.89,44516.0,23.7,13.7,65.4,29.64,19.5,25.7,26.4,28.4,10.23,1.1,8.6,56.33,36.55,63.39,45.9,25.9,4.18,29.3,4.5
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,Census Tract 7,1,2.44,40074.0,14.9,9.8,15.8,48.94,5.4,38.5,27.6,28.5,22.32,18.3,5.4,48.18,21.52,45.55,68.6,28.5,18.9,24.3,10.3
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,Census Tract 8,1,2.15,54864.0,9.6,8.8,52.5,40.9,17.9,30.8,38.3,13.0,20.88,6.7,7.8,30.32,12.82,70.01,34.6,24.3,7.33,8.5,2.6
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,Census Tract 9.01,1,2.61,36602.0,13.4,5.5,14.0,57.71,5.4,34.1,30.1,30.4,27.99,10.5,6.9,40.43,15.47,66.7,62.2,38.6,12.59,28.3,10.3
2019,17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,9.02,Census Tract 9.02,1,2.34,60412.0,11.7,11.2,40.2,55.8,26.5,21.2,39.5,12.9,28.14,8.6,8.9,42.67,13.25,44.41,68.1,34.2,3.88,10.6,3.4
