tract_geoid,display_area_label
17019000200,Champaign — Higher economic stress area
17019000301,Champaign — Student-dense area
17019000302,Champaign — Student-dense area
17019000401,Champaign — Student-dense area
17019000402,Champaign — Student-dense area
17019000500,Champaign — Mixed residential area
17019000700,Champaign — Mixed residential area
17019000800,Champaign — Mixed residential area
17019000901,Champaign — Family-oriented residential area
17019000902,Champaign — Family-oriented residential area
17019001000,Champaign — Mixed residential area
17019001100,Champaign — Senior-heavy residential area
17019001201,Champaign — Mixed residential area
17019001203,Champaign — Senior-heavy residential area
17019001204,Champaign — Family-oriented residential area
17019001205,Champaign — Family-oriented residential area
17019001206,Champaign — Senior-heavy residential area
17019001301,Champaign — Senior-heavy residential area
17019001302,Savoy — Senior-heavy residential area
17019001400,Champaign — Family-oriented residential area
17019005300,Urbana — Student-dense area
17019005401,Urbana — Mixed residential area
17019005402,Urbana — Senior-heavy residential area
17019005500,Urbana — Senior-heavy residential area
17019005600,
17019005701,Urbana — Senior-heavy residential area
17019005702,Urbana — Senior-heavy residential area
17019005800,Urbana — Higher economic stress area
17019005900,
17019006000,Urbana — Student-dense area
17019010100,Rantoul — Mixed residential area
17019010204,Rantoul — Mixed residential area
17019010300,Rantoul — Family-oriented residential area
17019010400,Rantoul — Senior-heavy residential area
17019010500,Fisher — Family-oriented residential area
17019010601,Mahomet — Family-oriented residential area
17019010603,Mahomet — Family-oriented residential area
17019010604,Champaign — Senior-heavy residential area
17019010700,
17019010800,Sidney — Senior-heavy residential area
17019010900,
17019011000,
17019011100,Urbana — Student-dense area
17019005601,Urbana — Mixed residential area
17019005602,Urbana — Senior-heavy residential area
17019005901,Urbana — Student-dense area
17019005902,Urbana — Student-dense area
17019010701,St. Joseph — Family-oriented residential area
17019010702,St. Joseph — Family-oriented residential area
17019010901,Philo — Family-oriented residential area
17019010902,Sadorus — Family-oriented residential area
17019011001,Champaign — Mixed residential area
17019011002,Champaign — Higher-income residential area
