year,metric,null_count,row_count,null_pct
2019,avg_household_size_v2,0,43,0.0
2021,avg_household_size_v2,0,48,0.0
2022,avg_household_size_v2,0,48,0.0
2023,avg_household_size_v2,0,48,0.0
2019,employment_population_ratio,0,43,0.0
2021,employment_population_ratio,0,48,0.0
2022,employment_population_ratio,0,48,0.0
2023,employment_population_ratio,0,48,0.0
2019,labor_force_participation_rate,0,43,0.0
2021,labor_force_participation_rate,0,48,0.0
2022,labor_force_participation_rate,0,48,0.0
2023,labor_force_participation_rate,0,48,0.0
2019,median_household_income,0,43,0.0
2021,median_household_income,1,48,2.0833
2022,median_household_income,0,48,0.0
2023,median_household_income,1,48,2.0833
2019,pct_age_18_24,0,43,0.0
2021,pct_age_18_24,0,48,0.0
2022,pct_age_18_24,0,48,0.0
2023,pct_age_18_24,0,48,0.0
2019,pct_age_65_plus,0,43,0.0
2021,pct_age_65_plus,0,48,0.0
2022,pct_age_65_plus,0,48,0.0
2023,pct_age_65_plus,0,48,0.0
2019,pct_age_under_18,0,43,0.0
2021,pct_age_under_18,0,48,0.0
2022,pct_age_under_18,0,48,0.0
2023,pct_age_under_18,0,48,0.0
2019,pct_bachelors_or_higher,0,43,0.0
2021,pct_bachelors_or_higher,0,48,0.0
2022,pct_bachelors_or_higher,0,48,0.0
2023,pct_bachelors_or_higher,0,48,0.0
2019,pct_black_non_hispanic,0,43,0.0
2021,pct_black_non_hispanic,0,48,0.0
2022,pct_black_non_hispanic,0,48,0.0
2023,pct_black_non_hispanic,0,48,0.0
2019,pct_family_households,0,43,0.0
2021,pct_family_households,0,48,0.0
2022,pct_family_households,0,48,0.0
2023,pct_family_households,0,48,0.0
2019,pct_hh_income_100k_plus,0,43,0.0
2021,pct_hh_income_100k_plus,0,48,0.0
2022,pct_hh_income_100k_plus,0,48,0.0
2023,pct_hh_income_100k_plus,0,48,0.0
2019,pct_hh_income_25k_50k,0,43,0.0
2021,pct_hh_income_25k_50k,0,48,0.0
2022,pct_hh_income_25k_50k,0,48,0.0
2023,pct_hh_income_25k_50k,0,48,0.0
2019,pct_hh_income_50k_100k,0,43,0.0
