year,metric,mean,median,std,min,p25,p75,max
2019,avg_household_size_v2,2.366046511627907,2.36,0.3313187181902885,1.69,2.165,2.5949999999999998,3.06
2019,employment_population_ratio,58.86976744186047,63.1,12.236100664363569,25.7,52.849999999999994,66.8,77.3
2019,labor_force_participation_rate,62.018604651162796,65.2,12.644898384309052,27.3,58.65,69.7,79.3
2019,median_household_income,53954.232558139534,50370.0,29156.32805350627,3864.0,37190.0,73323.5,120785.0
2019,pct_age_18_24,24.04186046511628,11.7,27.38480837598814,4.6,7.85,22.45,95.8
2019,pct_age_65_plus,12.706976744186049,12.9,8.324330241865514,0.0,7.25,17.85,33.5
2019,pct_age_under_18,18.072093023255814,19.9,9.608635143685808,0.0,12.55,24.95,37.5
2019,pct_bachelors_or_higher,47.586046511627906,48.2,21.971578843017358,13.6,30.25,63.2,95.9
2019,pct_black_non_hispanic,14.22813953488372,7.74,15.246506431344159,0.16,4.095000000000001,22.96,74.99
2019,pct_family_households,48.96325581395349,52.27,23.39451092731454,1.46,38.525,66.09,86.15
2019,pct_hh_income_100k_plus,23.26279069767442,24.0,16.935761307782922,0.0,5.95,34.099999999999994,60.5
2019,pct_hh_income_25k_50k,21.016279069767442,19.5,8.395773603215861,6.9,14.95,28.4,38.5
2019,pct_hh_income_50k_100k,25.646511627906975,26.0,9.575100368421094,3.5,19.5,33.45,42.1
2019,pct_hh_income_under_25k,30.08837209302326,25.5,22.676463666755424,4.6,13.05,31.75,88.8
2019,pct_high_school_grad,20.967441860465115,19.5,12.034468768425384,0.4,10.7,30.1,42.4
2019,pct_hispanic,6.063023255813954,5.39,3.797566598609544,0.23,3.2649999999999997,8.07,17.23
2019,pct_households_with_65_plus,37.15348837209303,37.1,12.38209823047561,13.0,28.0,44.15,63.7
2019,pct_households_with_own_children_under_18,21.20186046511628,22.22,11.5382288514176,0.0,17.37,28.365000000000002,46.71
2019,pct_less_than_high_school,4.923255813953488,3.4,4.279454638669474,0.0,1.4500000000000002,7.800000000000001,18.3
2019,pct_nonfamily_households,51.03674418604651,47.73,23.39451092731454,13.85,33.91,61.475,98.54
2019,pct_one_person_households,8.553488372093023,8.9,5.792949279171366,0.0,5.2,11.25,26.3
2019,pct_owner_occupied,49.798604651162805,54.17,28.72243909438149,0.0,31.644999999999996,74.27,88.49
2019,pct_rent_burden_30_plus,45.56930232558139,47.92,10.827342459706184,23.46,37.605000000000004,54.34,66.73
2019,pct_rent_burden_50_plus,23.649767441860465,21.18,12.28013930593625,3.55,14.855,29.425,56.3
2019,pct_renter_occupied,50.2013953488372,45.83,28.72243909438149,11.51,25.73,68.355,100.0
2019,pct_senior_living_alone_households,56.99302325581396,67.9,29.48947669729659,1.0,37.900000000000006,80.05,96.0
