metric,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
avg_household_size_v2,2.07,2.565,0.4950000000000001,1.3274999999999997,3.3075,0,0.0
median_household_income,40074.0,89767.0,49693.0,-34465.5,164306.5,0,0.0
pct_age_18_24,7.45,22.95,15.5,-15.8,46.2,35,18.7166
pct_age_65_plus,6.9,18.450000000000003,11.550000000000002,-10.425000000000002,35.775000000000006,6,3.2086
pct_bachelors_or_higher,32.3,66.30000000000001,34.000000000000014,-18.700000000000024,117.30000000000004,0,0.0
pct_family_households,38.22,65.62,27.400000000000006,-2.8800000000000097,106.72000000000001,0,0.0
pct_hh_income_100k_plus,8.25,44.45,36.2,-46.050000000000004,98.75,0,0.0
pct_hh_income_25k_50k,14.149999999999999,25.450000000000003,11.300000000000004,-2.800000000000008,42.400000000000006,3,1.6043
pct_hh_income_50k_100k,19.1,32.55,13.449999999999996,-1.0749999999999922,52.724999999999994,0,0.0
pct_hh_income_under_25k,10.9,30.85,19.950000000000003,-19.025000000000006,60.775000000000006,23,12.2995
pct_households_with_own_children_under_18,13.73,28.285,14.555,-8.1025,50.1175,0,0.0
pct_less_than_high_school,1.4,6.75,5.35,-6.624999999999998,14.774999999999999,11,5.8824
pct_one_person_households,17.1,40.599999999999994,23.499999999999993,-18.149999999999984,75.84999999999998,1,0.5348
pct_rent_burden_30_plus,36.0,54.405,18.405,8.392499999999998,82.0125,0,0.0
pct_rent_burden_50_plus,13.91,31.46,17.55,-12.415000000000003,57.785000000000004,2,1.0695
pct_renter_occupied,23.314999999999998,69.685,46.370000000000005,-46.24000000000001,139.24,0,0.0
pct_senior_living_alone_households,5.699999999999999,19.799999999999997,14.099999999999998,-15.45,40.949999999999996,32,17.1123
pct_some_college_or_associate,17.6,33.95,16.35,-6.925000000000001,58.47500000000001,0,0.0
pct_vacant_housing_units,5.885,15.969999999999999,10.084999999999999,-9.242499999999998,31.097499999999997,5,2.6738
poverty_rate,6.9,29.0,22.1,-26.250000000000007,62.150000000000006,20,10.6952
unemployment_rate,2.25,7.0,4.75,-4.875,14.125,1,0.5348
