metric,direction,weight,z_column,directed_component_column
poverty_rate,1,1.0,z_poverty_rate,directed_poverty_rate
unemployment_rate,1,0.85,z_unemployment_rate,directed_unemployment_rate
pct_rent_burden_30_plus,1,0.9,z_pct_rent_burden_30_plus,directed_pct_rent_burden_30_plus
pct_rent_burden_50_plus,1,0.9,z_pct_rent_burden_50_plus,directed_pct_rent_burden_50_plus
pct_hh_income_under_25k,1,1.0,z_pct_hh_income_under_25k,directed_pct_hh_income_under_25k
pct_hh_income_25k_50k,1,0.8,z_pct_hh_income_25k_50k,directed_pct_hh_income_25k_50k
median_household_income,-1,1.0,z_median_household_income,directed_median_household_income
pct_hh_income_100k_plus,-1,0.7,z_pct_hh_income_100k_plus,directed_pct_hh_income_100k_plus
pct_bachelors_or_higher,-1,0.6,z_pct_bachelors_or_higher,directed_pct_bachelors_or_higher
pct_less_than_high_school,1,0.5,z_pct_less_than_high_school,directed_pct_less_than_high_school
pct_renter_occupied,1,0.5,z_pct_renter_occupied,directed_pct_renter_occupied
