year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,tract_name_latest,centroid_lat,centroid_lon,is_stable_all_4_years,cluster_id,cluster_label,median_household_income,poverty_rate,unemployment_rate,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_hh_income_under_25k,pct_hh_income_25k_50k,pct_hh_income_100k_plus,pct_bachelors_or_higher,pct_renter_occupied,pct_age_18_24,pct_age_65_plus,pct_family_households,occupied_units,alice_households,county_total_households,source_variant,raw_hardship_score,score_shifted_positive,student_proxy_scaled,student_adjustment_multiplier,adjusted_weight_component,tract_allocation_weight,estimated_alice_households,estimated_alice_share_of_county_pct,estimated_alice_rate_proxy_pct
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,Census Tract 2; Champaign County; Illinois,40.12297727012885,-88.23303820803416,1,0,cluster_0,21385.0,43.2,12.2,54.91,32.94,55.8,30.0,1.1,13.6,61.06,17.4,10.7,50.64,701.0,32848.0,81765.0,nonstudent_calibrated,10.031910553839989,20.966124330194695,0.14035087719298245,0.9508771929824561,19.93620945081671,0.04778778067242845,1569.7330195279296,4.778778067242845,223.92767753608126
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,Census Tract 7,Census Tract 7; Champaign County; Illinois,40.12911964670084,-88.2463742564862,1,0,cluster_0,40074.0,24.3,10.3,48.18,21.52,28.5,38.5,5.4,15.8,45.55,14.9,9.8,48.94,1326.0,32848.0,81765.0,nonstudent_calibrated,6.738515805815376,17.67272958217008,0.11293859649122807,0.9604714912280702,16.97415293585733,0.040687629190501784,1336.5072436496025,4.068762919050179,100.79240148187047
2019,17019010100,Census Tract 101 — Mixed residential area,,61866.0,General tract context note not flagged by the current rule set.,101,Census Tract 101,Census Tract 101; Champaign County; Illinois,40.32658663906694,-88.14527489964055,1,0,cluster_0,41276.0,14.6,4.3,54.63,28.3,32.6,33.1,9.2,19.9,55.58,4.6,16.1,54.67,2098.0,32848.0,81765.0,nonstudent_calibrated,4.6778931213655355,15.61210689772024,0.0,1.0,15.61210689772024,0.037422757927144404,1229.2627523908393,3.7422757927144406,58.59212356486364
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,Census Tract 9.01,Census Tract 9.01; Champaign County; Illinois,40.12977778291398,-88.26829601472002,1,0,cluster_0,36602.0,28.3,10.3,40.43,15.47,30.4,34.1,5.4,14.0,66.7,13.4,5.5,57.71,1958.0,32848.0,81765.0,nonstudent_calibrated,5.106398671511977,16.040612447866682,0.09649122807017545,0.9662280701754385,15.49889000993434,0.03715137314784245,1220.3483051603287,3.715137314784245,62.326266862120974
2019,17019005401,Census Tract 54.01 — Mixed residential area,,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,Census Tract 54.01,Census Tract 54.01; Champaign County; Illinois,40.12462916764154,-88.19476931100071,1,0,cluster_0,34245.0,28.7,8.6,54.3,19.68,30.9,36.1,6.5,35.2,65.63,21.2,10.4,36.15,2354.0,32848.0,81765.0,nonstudent_calibrated,5.460625704746986,16.394839481101695,0.18201754385964913,0.9362938596491228,15.350387536088528,0.036795407603491384,1208.655548959485,3.6795407603491386,51.34475569071729
2019,17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,103,Census Tract 103,Census Tract 103; Champaign County; Illinois,40.29292648139781,-88.14451450086497,1,0,cluster_0,37778.0,27.1,6.5,50.19,24.41,26.6,37.0,12.0,16.3,72.18,12.3,6.3,61.09,1118.0,32848.0,81765.0,nonstudent_calibrated,4.663244249215212,15.597458025569916,0.08442982456140352,0.9704495614035088,15.136546299923962,0.03628282279554362,1191.818163188017,3.6282822795543623,106.60269795957218
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,Census Tract 3.01; Champaign County; Illinois,40.11083056062445,-88.23549759213894,1,1,cluster_1,7099.0,82.5,5.1,62.82,56.3,79.9,12.2,0.7,46.8,100.0,90.7,1.4,3.36,2055.0,32848.0,81765.0,nonstudent_calibrated,11.542906912182072,22.47712068853678,0.9440789473684211,0.6695723684210526,15.050058934709412,0.03607550960243108,1185.0083394206563,3.6075509602431084,57.66463938786649
2019,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,Census Tract 111,Census Tract 111; Champaign County; Illinois,40.11409763212329,-88.21447402494275,1,1,cluster_1,22741.0,56.3,11.9,49.56,26.67,54.8,26.5,2.8,67.0,95.37,61.7,0.9,7.96,1081.0,32848.0,81765.0,nonstudent_calibrated,7.468962313606099,18.403176089960805,0.6260964912280702,0.7808662280701755,14.370418697878934,0.034446388547401154,1131.494971005033,3.4446388547401154,104.67113515310203
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,Census Tract 4.02; Champaign County; Illinois,40.1066171021187,-88.23889734753926,1,1,cluster_1,5234.0,87.8,7.7,61.32,52.29,87.3,6.9,2.4,75.9,100.0,90.1,0.0,2.71,1329.0,32848.0,81765.0,nonstudent_calibrated,10.033177637630105,20.96739141398481,0.9375,0.671875,14.087466106271044,0.033768141440206005,1109.2159100278868,3.3768141440206003,83.46244620224881
2019,17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,102.04,Census Tract 102.04,Census Tract 102.04; Champaign County; Illinois,40.302778756080926,-88.15757778235168,1,0,cluster_0,47042.0,16.4,7.3,52.8,20.63,19.3,31.5,14.0,14.4,33.47,9.5,14.6,67.64,1709.0,32848.0,81765.0,nonstudent_calibrated,3.049254525305271,13.983468301659975,0.0537280701754386,0.9811951754385965,13.720511633487313,0.03288853893074113,1080.3227267969846,3.2888538930741134,63.21373474528874
