year,tract_geoid,display_area_label,raw_metric_value,z_score,directed_component,metric
2019,17019000200,Champaign — Higher economic stress area,43.2,0.7803643108375874,0.7803643108375874,poverty_rate
2019,17019000301,Champaign — Student-dense area,82.5,2.410045043517319,2.410045043517319,poverty_rate
2019,17019000302,Champaign — Student-dense area,68.4,1.8253504295024534,1.8253504295024534,poverty_rate
2019,17019000401,Champaign — Student-dense area,89.7,2.708612505992995,2.708612505992995,poverty_rate
2019,17019000402,Champaign — Student-dense area,87.8,2.6298238700619136,2.6298238700619136,poverty_rate
2019,17019000500,Champaign — Mixed residential area,29.3,0.203963237447046,0.203963237447046,poverty_rate
2019,17019000700,Champaign — Mixed residential area,24.3,-0.0033752781610623455,-0.0033752781610623455,poverty_rate
2019,17019000800,Champaign — Mixed residential area,8.5,-0.6585649874826848,-0.6585649874826848,poverty_rate
2019,17019000901,Champaign — Family-oriented residential area,28.3,0.16249553432542435,0.16249553432542435,poverty_rate
2019,17019000902,Census Tract 9.02 — Family-oriented residential area,10.6,-0.5714828109272793,-0.5714828109272793,poverty_rate
2019,17019001000,Champaign — Mixed residential area,15.7,-0.35999752500700877,-0.35999752500700877,poverty_rate
2019,17019001100,Champaign — Senior-heavy residential area,5.3,-0.7912616374718741,-0.7912616374718741,poverty_rate
2019,17019001201,Champaign — Mixed residential area,19.3,-0.2107137937691707,-0.2107137937691707,poverty_rate
2019,17019001203,Champaign — Senior-heavy residential area,3.3,-0.8741970437151174,-0.8741970437151174,poverty_rate
2019,17019001204,Champaign — Family-oriented residential area,1.1,-0.9654259905826851,-0.9654259905826851,poverty_rate
2019,17019001205,Champaign — Family-oriented residential area,7.8,-0.6875923796678199,-0.6875923796678199,poverty_rate
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,2.2,-0.9198115171489013,-0.9198115171489013,poverty_rate
2019,17019001301,Champaign — Senior-heavy residential area,9.3,-0.6253908249853875,-0.6253908249853875,poverty_rate
2019,17019001302,Savoy — Senior-heavy residential area,6.6,-0.7373536234137661,-0.7373536234137661,poverty_rate
2019,17019001400,Census Tract 14 — Family-oriented residential area,20.1,-0.17753963127187333,-0.17753963127187333,poverty_rate
2019,17019005300,Urbana — Student-dense area,49.6,1.045757610815966,1.045757610815966,poverty_rate
2019,17019005401,Census Tract 54.01 — Mixed residential area,28.7,0.17908261557407296,0.17908261557407296,poverty_rate
2019,17019005402,Census Tract 54.02 — Senior-heavy residential area,18.0,-0.2646218078272789,-0.2646218078272789,poverty_rate
2019,17019005500,Urbana — Senior-heavy residential area,12.3,-0.5009877156205224,-0.5009877156205224,poverty_rate
2019,17019005600,,14.8,-0.39731845781646824,-0.39731845781646824,poverty_rate
2019,17019005701,Urbana — Senior-heavy residential area,14.7,-0.40146522812863045,-0.40146522812863045,poverty_rate
2019,17019005702,Census Tract 57.02 — Senior-heavy residential area,19.6,-0.19827348283268417,-0.19827348283268417,poverty_rate
2019,17019005800,Urbana — Higher economic stress area,27.0,0.10858752026731613,0.10858752026731613,poverty_rate
2019,17019005900,,70.7,1.9207261466821832,1.9207261466821832,poverty_rate
2019,17019006000,Census Tract 60 — Student-dense area,41.8,0.7223095264673167,0.7223095264673167,poverty_rate
2019,17019010100,Census Tract 101 — Mixed residential area,14.6,-0.4056119984407926,-0.4056119984407926,poverty_rate
2019,17019010204,Rantoul — Mixed residential area,16.4,-0.33097013282187365,-0.33097013282187365,poverty_rate
2019,17019010300,Rantoul — Family-oriented residential area,27.1,0.11273429057947837,0.11273429057947837,poverty_rate
