year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,tract_name_latest,centroid_lat,centroid_lon,is_stable_all_4_years,cluster_id,cluster_label,median_household_income,poverty_rate,unemployment_rate,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_hh_income_under_25k,pct_hh_income_25k_50k,pct_hh_income_100k_plus,pct_bachelors_or_higher,pct_renter_occupied,pct_age_18_24,pct_age_65_plus,pct_family_households,occupied_units,housing_units_total,alice_households,county_total_households,source_variant,raw_hardship_score,score_shifted_positive,student_proxy_scaled,student_adjustment_multiplier,adjusted_hardship_component,tract_capacity,capacity_adjusted_weight_component,tract_allocation_weight,estimated_alice_households,estimated_alice_share_of_county_pct,estimated_alice_rate_proxy_pct
2019,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,12.01,Census Tract 12.01,Census Tract 12.01; Champaign County; Illinois,40.10569426459247,-88.2906752821151,1,0,cluster_0,44503.0,19.3,9.5,38.12,19.15,30.5,29.5,12.3,28.4,54.71,11.9,14.4,55.77,2853.0,3131.0,32848.0,81765.0,nonstudent_calibrated,2.7644419320272893,13.698655708381994,0.0800438596491228,0.971984649122807,13.31488306216581,2853.0,37987.361376359055,0.05004422088152125,1643.85256751621,5.0044220881521255,57.61838652352647
2019,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,Census Tract 54.01,Census Tract 54.01; Champaign County; Illinois,40.12462916764154,-88.19476931100071,1,0,cluster_0,34245.0,28.7,8.6,54.3,19.68,30.9,36.1,6.5,35.2,65.63,21.2,10.4,36.15,2354.0,2584.0,32848.0,81765.0,nonstudent_calibrated,5.460625704746986,16.394839481101695,0.18201754385964913,0.9362938596491228,15.350387536088528,2354.0,36134.81225995239,0.047603688719868704,1563.6859670702472,4.760368871986871,66.4267615577845
2019,17019005600,,,,,56,Census Tract 56,"Census Tract 56, Champaign County, Illinois",,,0,0,cluster_0,60774.0,14.8,7.4,50.53,34.72,25.1,19.9,21.4,52.3,45.83,9.3,10.1,59.64,3092.0,3357.0,32848.0,81765.0,nonstudent_calibrated,0.8488943011754048,11.783108077530109,0.05153508771929825,0.9819627192982456,11.570572849596589,3092.0,35776.211250952656,0.047131270856334555,1548.1679850888775,4.713127085633455,50.070115947247004
2019,17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,101,Census Tract 101,Census Tract 101; Champaign County; Illinois,40.32658663906694,-88.14527489964055,1,0,cluster_0,41276.0,14.6,4.3,54.63,28.3,32.6,33.1,9.2,19.9,55.58,4.6,16.1,54.67,2098.0,2367.0,32848.0,81765.0,nonstudent_calibrated,4.6778931213655355,15.61210689772024,0.0,1.0,15.61210689772024,2098.0,32754.200271417063,0.04315009976450978,1417.3944770646171,4.315009976450978,67.5593173052725
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,Census Tract 53,Census Tract 53; Champaign County; Illinois,40.12870429058973,-88.21959909210925,1,1,cluster_1,21563.0,49.6,8.0,35.42,19.96,54.2,21.2,4.7,42.9,83.33,46.5,4.0,24.33,2429.0,2971.0,32848.0,81765.0,nonstudent_calibrated,4.795742896269985,15.72995667262469,0.45942982456140347,0.8391995614035088,13.200572740562837,2429.0,32064.19118682713,0.042241087772406406,1387.5352511480057,4.224108777240641,57.12372380189402
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,Census Tract 3.01; Champaign County; Illinois,40.11083056062445,-88.23549759213894,1,1,cluster_1,7099.0,82.5,5.1,62.82,56.3,79.9,12.2,0.7,46.8,100.0,90.7,1.4,3.36,2055.0,2475.0,32848.0,81765.0,nonstudent_calibrated,11.542906912182072,22.47712068853678,0.9440789473684211,0.6695723684210526,15.050058934709412,2055.0,30927.87111082784,0.04074410954556896,1338.362510352849,4.074410954556896,65.12712945755956
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,Census Tract 9.01,Census Tract 9.01; Champaign County; Illinois,40.12977778291398,-88.26829601472002,1,0,cluster_0,36602.0,28.3,10.3,40.43,15.47,30.4,34.1,5.4,14.0,66.7,13.4,5.5,57.71,1958.0,2240.0,32848.0,81765.0,nonstudent_calibrated,5.106398671511977,16.040612447866682,0.09649122807017545,0.9662280701754385,15.49889000993434,1958.0,30346.82663945144,0.039978646591207416,1313.2185832279813,3.9978646591207414,67.0693862731349
2019,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,57.01,Census Tract 57.01,Census Tract 57.01; Champaign County; Illinois,40.09105574261328,-88.20007432256959,1,0,cluster_0,50253.0,14.7,6.7,55.05,29.6,30.2,19.5,25.6,61.6,46.97,9.0,19.5,52.27,2359.0,2685.0,32848.0,81765.0,nonstudent_calibrated,0.4896989437717983,11.423912720126504,0.048245614035087724,0.9831140350877193,11.231008930773491,2359.0,26493.950067694666,0.034902900364036454,1146.4904711578695,3.4902900364036453,48.60069822627679
2019,17019011000,,,,,110,Census Tract 110,"Census Tract 110, Champaign County, Illinois",,,0,0,cluster_0,41196.0,15.0,2.7,47.41,18.82,30.7,28.7,21.6,64.0,78.68,18.9,8.2,19.71,2552.0,2903.0,32848.0,81765.0,nonstudent_calibrated,-0.4108028814385199,10.523410894916184,0.15679824561403508,0.9451206140350877,9.945892566746716,2552.0,25381.917830337617,0.03343791872547753,1098.3687542944858,3.343791872547753,43.03952798959584
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,Census Tract 5,Census Tract 5; Champaign County; Illinois,40.1052051044491,-88.25087992661743,1,0,cluster_0,44516.0,29.3,4.5,56.33,36.55,28.4,25.7,19.5,65.4,63.39,23.7,13.7,29.64,1994.0,2081.0,32848.0,81765.0,nonstudent_calibrated,2.0272033458779553,12.96141712223266,0.20942982456140352,0.9266995614035087,12.011339562340934,1994.0,23950.61108730782,0.03155232761827389,1036.4308576050607,3.155232761827389,51.97747530617155
