tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,2019,2021,2022,2023,metric,change_first_to_last,change_2019_to_2021,change_2021_to_2022,change_2022_to_2023
17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,21385.0,25531.0,32054.0,32545.0,median_household_income,11160.0,4146.0,6523.0,491.0
17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,7099.0,5512.0,5413.0,5982.0,median_household_income,-1117.0,-1587.0,-99.0,569.0
17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,10385.0,9771.0,11922.0,14066.0,median_household_income,3681.0,-614.0,2151.0,2144.0
17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,3864.0,4476.0,3388.0,,median_household_income,,612.0,-1088.0,
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,5234.0,3416.0,8333.0,9000.0,median_household_income,3766.0,-1818.0,4917.0,667.0
17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,44516.0,59701.0,60794.0,59408.0,median_household_income,14892.0,15185.0,1093.0,-1386.0
17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,40074.0,39173.0,46185.0,48048.0,median_household_income,7974.0,-901.0,7012.0,1863.0
17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,54864.0,60946.0,64760.0,68000.0,median_household_income,13136.0,6082.0,3814.0,3240.0
17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,36602.0,39673.0,42380.0,44727.0,median_household_income,8125.0,3071.0,2707.0,2347.0
17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,9.02,60412.0,62228.0,69533.0,72974.0,median_household_income,12562.0,1816.0,7305.0,3441.0
17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10,55378.0,62457.0,62306.0,65469.0,median_household_income,10091.0,7079.0,-151.0,3163.0
