year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,centroid_lat,centroid_lon,tract_number,tract_name_canonical,is_stable_all_4_years,avg_household_size_v2,employment_population_ratio,labor_force_participation_rate,median_household_income,pct_age_18_24,pct_age_65_plus,pct_age_under_18,pct_bachelors_or_higher,pct_black_non_hispanic,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_high_school_grad,pct_hispanic,pct_households_with_65_plus,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_nonfamily_households,pct_one_person_households,pct_owner_occupied,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_speak_language_other_than_english_at_home,pct_vacant_housing_units,pct_white_non_hispanic,poverty_rate,total_population,unemployment_rate
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,40.12297727012885,-88.23303820803416,2,Census Tract 2,1,2.65,50.8,57.9,21385.0,17.4,10.7,27.6,13.6,74.99,50.64,1.1,30.0,13.1,55.8,42.4,3.15,38.7,25.96,9.9,49.36,11.1,38.94,54.91,32.94,61.06,72.6,34.1,18.2,23.97,13.63,43.2,1871.0,12.2
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.11083056062445,-88.23549759213894,3.01,Census Tract 3.01,1,2.48,43.6,45.9,7099.0,90.7,1.4,0.4,46.8,7.74,3.36,0.7,12.2,7.2,79.9,30.1,3.56,43.9,0.97,9.3,96.64,0.7,0.0,62.82,56.3,100.0,2.5,13.7,35.2,16.97,59.2,82.5,5260.0,5.1
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.11446918924631,-88.2350976348271,3.02,Census Tract 3.02,1,1.76,46.3,47.5,10385.0,69.7,0.0,0.0,54.0,2.45,5.95,0.8,14.5,14.7,69.9,13.8,5.22,61.4,0.0,5.7,94.05,0.0,0.0,51.83,39.41,100.0,3.9,26.4,49.9,25.91,35.12,68.4,2699.0,2.4
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.1069887905841,-88.23234019148553,4.01,Census Tract 4.01,1,2.99,25.7,27.3,3864.0,95.8,0.0,1.2,59.1,3.23,1.46,0.0,7.3,4.0,88.8,1.3,5.39,44.4,0.0,0.0,98.54,0.0,0.0,54.38,47.92,100.0,1.0,39.6,26.6,24.88,66.82,89.7,5138.0,6.0
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.1066171021187,-88.23889734753926,4.02,Census Tract 4.02,1,2.54,33.0,35.7,5234.0,90.1,0.0,0.3,75.9,4.65,2.71,2.4,6.9,3.5,87.3,15.0,9.58,50.6,0.0,0.0,97.29,0.0,0.0,61.32,52.29,100.0,3.7,9.1,25.4,18.11,67.81,87.8,4237.0,7.7
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,40.1052051044491,-88.25087992661743,5,Census Tract 5,1,1.89,69.3,72.9,44516.0,23.7,13.7,11.6,65.4,26.05,29.64,19.5,25.7,26.4,28.4,7.7,3.98,52.5,10.23,1.1,70.36,8.6,36.61,56.33,36.55,63.39,45.9,25.9,11.9,4.18,64.95,29.3,3797.0,4.5
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,40.12911964670084,-88.2463742564862,7,Census Tract 7,1,2.44,65.1,72.6,40074.0,14.9,9.8,22.8,15.8,33.72,48.94,5.4,38.5,27.6,28.5,37.4,12.13,40.6,22.32,18.3,51.06,5.4,54.45,48.18,21.52,45.55,68.6,28.5,16.8,18.9,45.08,24.3,3241.0,10.3
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,40.15017672250663,-88.24710786804413,8,Census Tract 8,1,2.15,77.3,79.3,54864.0,9.6,8.8,22.3,52.5,23.97,40.9,17.9,30.8,38.3,13.0,16.4,4.33,46.5,20.88,6.7,59.1,7.8,29.99,30.32,12.82,70.01,34.6,24.3,27.6,7.33,51.99,8.5,6166.0,2.6
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,40.12977778291398,-88.26829601472002,9.01,Census Tract 9.01,1,2.61,68.3,76.1,36602.0,13.4,5.5,29.3,14.0,49.14,57.71,5.4,34.1,30.1,30.4,36.9,15.69,35.2,27.99,10.5,42.29,6.9,33.3,40.43,15.47,66.7,62.2,38.6,18.1,12.59,31.54,28.3,5104.0,10.3
2019,17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,40.12831209870508,-88.3148535419392,9.02,Census Tract 9.02,1,2.34,71.7,74.4,60412.0,11.7,11.2,21.1,40.2,16.21,55.8,26.5,21.2,39.5,12.9,16.9,5.33,34.7,28.14,8.6,44.2,8.9,55.59,42.67,13.25,44.41,68.1,34.2,19.4,3.88,65.65,10.6,6797.0,3.4
