year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,median_household_income,rank_group,metric,poverty_rate,unemployment_rate,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_hh_income_under_25k,pct_bachelors_or_higher,pct_age_18_24,pct_family_households
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,Census Tract 4.01,3864.0,bottom_10,median_household_income,,,,,,,,
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,5234.0,bottom_10,median_household_income,,,,,,,,
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,7099.0,bottom_10,median_household_income,,,,,,,,
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,Census Tract 3.02,10385.0,bottom_10,median_household_income,,,,,,,,
2019,17019005900,,,,,59,Census Tract 59,10988.0,bottom_10,median_household_income,,,,,,,,
2019,17019006000,Census Tract 60 — Student-dense area,,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,60,Census Tract 60,21354.0,bottom_10,median_household_income,,,,,,,,
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,21385.0,bottom_10,median_household_income,,,,,,,,
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,Census Tract 53,21563.0,bottom_10,median_household_income,,,,,,,,
2019,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,Census Tract 111,22741.0,bottom_10,median_household_income,,,,,,,,
2019,17019005401,Census Tract 54.01 — Mixed residential area,,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,Census Tract 54.01,34245.0,bottom_10,median_household_income,,,,,,,,
2019,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,Census Tract 12.04,120785.0,top_10,median_household_income,,,,,,,,
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,108385.0,top_10,median_household_income,,,,,,,,
2019,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,Census Tract 12.05,99671.0,top_10,median_household_income,,,,,,,,
