folder_name,subject_from_folder,table_code,table_family,source_type,year,Column-Metadata,Data,Table-Notes,has_data_csv,has_column_metadata_csv,has_table_notes_txt,has_all_3_expected_files
Race(B03002)_2023_2019,Race,B03002,Detailed Table,DT,2019,1,1,1,True,True,True,True
Race(B03002)_2023_2019,Race,B03002,Detailed Table,DT,2021,1,1,1,True,True,True,True
Race(B03002)_2023_2019,Race,B03002,Detailed Table,DT,2022,1,1,1,True,True,True,True
Race(B03002)_2023_2019,Race,B03002,Detailed Table,DT,2023,1,1,1,True,True,True,True
MedianHouseholdIncome(B19013)_2023_2019,MedianHouseholdIncome,B19013,Detailed Table,DT,2019,1,1,1,True,True,True,True
MedianHouseholdIncome(B19013)_2023_2019,MedianHouseholdIncome,B19013,Detailed Table,DT,2021,1,1,1,True,True,True,True
MedianHouseholdIncome(B19013)_2023_2019,MedianHouseholdIncome,B19013,Detailed Table,DT,2022,1,1,1,True,True,True,True
MedianHouseholdIncome(B19013)_2023_2019,MedianHouseholdIncome,B19013,Detailed Table,DT,2023,1,1,1,True,True,True,True
Tenure(B25003)_2023_2019,Tenure,B25003,Detailed Table,DT,2019,1,1,1,True,True,True,True
Tenure(B25003)_2023_2019,Tenure,B25003,Detailed Table,DT,2021,1,1,1,True,True,True,True
Tenure(B25003)_2023_2019,Tenure,B25003,Detailed Table,DT,2022,1,1,1,True,True,True,True
Tenure(B25003)_2023_2019,Tenure,B25003,Detailed Table,DT,2023,1,1,1,True,True,True,True
RentBurden(B25070)_2023_2019,RentBurden,B25070,Detailed Table,DT,2019,1,1,1,True,True,True,True
RentBurden(B25070)_2023_2019,RentBurden,B25070,Detailed Table,DT,2021,1,1,1,True,True,True,True
RentBurden(B25070)_2023_2019,RentBurden,B25070,Detailed Table,DT,2022,1,1,1,True,True,True,True
RentBurden(B25070)_2023_2019,RentBurden,B25070,Detailed Table,DT,2023,1,1,1,True,True,True,True
HousingProfile(DP04)_2023_2019,HousingProfile,DP04,Data Profile,DP,2019,1,1,1,True,True,True,True
HousingProfile(DP04)_2023_2019,HousingProfile,DP04,Data Profile,DP,2021,1,1,1,True,True,True,True
HousingProfile(DP04)_2023_2019,HousingProfile,DP04,Data Profile,DP,2022,1,1,1,True,True,True,True
HousingProfile(DP04)_2023_2019,HousingProfile,DP04,Data Profile,DP,2023,1,1,1,True,True,True,True
Age(S0101)_2023_2019,Age,S0101,Subject Table,ST,2019,1,1,1,True,True,True,True
Age(S0101)_2023_2019,Age,S0101,Subject Table,ST,2021,1,1,1,True,True,True,True
Age(S0101)_2023_2019,Age,S0101,Subject Table,ST,2022,1,1,1,True,True,True,True
Age(S0101)_2023_2019,Age,S0101,Subject Table,ST,2023,1,1,1,True,True,True,True
HouseholdComposition(S1101)_2023_2019,HouseholdComposition,S1101,Subject Table,ST,2019,1,1,1,True,True,True,True
HouseholdComposition(S1101)_2023_2019,HouseholdComposition,S1101,Subject Table,ST,2021,1,1,1,True,True,True,True
HouseholdComposition(S1101)_2023_2019,HouseholdComposition,S1101,Subject Table,ST,2022,1,1,1,True,True,True,True
HouseholdComposition(S1101)_2023_2019,HouseholdComposition,S1101,Subject Table,ST,2023,1,1,1,True,True,True,True
Education(S1501)_2023_2019,Education,S1501,Subject Table,ST,2019,1,1,1,True,True,True,True
Education(S1501)_2023_2019,Education,S1501,Subject Table,ST,2021,1,1,1,True,True,True,True
Education(S1501)_2023_2019,Education,S1501,Subject Table,ST,2022,1,1,1,True,True,True,True
Education(S1501)_2023_2019,Education,S1501,Subject Table,ST,2023,1,1,1,True,True,True,True
Language(S1601)_2023_2019,Language,S1601,Subject Table,ST,2019,1,1,1,True,True,True,True
Language(S1601)_2023_2019,Language,S1601,Subject Table,ST,2021,1,1,1,True,True,True,True
Language(S1601)_2023_2019,Language,S1601,Subject Table,ST,2022,1,1,1,True,True,True,True
Language(S1601)_2023_2019,Language,S1601,Subject Table,ST,2023,1,1,1,True,True,True,True
Poverty(S1701)_2023-2019,Poverty,S1701,Subject Table,ST,2019,1,1,1,True,True,True,True
Poverty(S1701)_2023-2019,Poverty,S1701,Subject Table,ST,2021,1,1,1,True,True,True,True
Poverty(S1701)_2023-2019,Poverty,S1701,Subject Table,ST,2022,1,1,1,True,True,True,True
Poverty(S1701)_2023-2019,Poverty,S1701,Subject Table,ST,2023,1,1,1,True,True,True,True
IncomeDistribution(S1901)_2023_2019,IncomeDistribution,S1901,Subject Table,ST,2019,1,1,1,True,True,True,True
IncomeDistribution(S1901)_2023_2019,IncomeDistribution,S1901,Subject Table,ST,2021,1,1,1,True,True,True,True
IncomeDistribution(S1901)_2023_2019,IncomeDistribution,S1901,Subject Table,ST,2022,1,1,1,True,True,True,True
IncomeDistribution(S1901)_2023_2019,IncomeDistribution,S1901,Subject Table,ST,2023,1,1,1,True,True,True,True
EmploymentStatus(S2301)_2023_2019,EmploymentStatus,S2301,Subject Table,ST,2019,1,1,1,True,True,True,True
EmploymentStatus(S2301)_2023_2019,EmploymentStatus,S2301,Subject Table,ST,2021,1,1,1,True,True,True,True
EmploymentStatus(S2301)_2023_2019,EmploymentStatus,S2301,Subject Table,ST,2022,1,1,1,True,True,True,True
EmploymentStatus(S2301)_2023_2019,EmploymentStatus,S2301,Subject Table,ST,2023,1,1,1,True,True,True,True
Occupation(S2401)_2023_2019,Occupation,S2401,Subject Table,ST,2019,1,1,1,True,True,True,True
Occupation(S2401)_2023_2019,Occupation,S2401,Subject Table,ST,2021,1,1,1,True,True,True,True
Occupation(S2401)_2023_2019,Occupation,S2401,Subject Table,ST,2022,1,1,1,True,True,True,True
Occupation(S2401)_2023_2019,Occupation,S2401,Subject Table,ST,2023,1,1,1,True,True,True,True
