feature,importance,signed_value,model_type,model
median_household_income,2.9502283955743427,-2.9502283955743427,regression,ridge
pct_age_18_24,4.458021052494861,-4.458021052494861,regression,ridge
pct_age_65_plus,0.2897078341765511,0.2897078341765511,regression,ridge
pct_bachelors_or_higher,3.204095701188666,-3.204095701188666,regression,ridge
pct_family_households,0.413864458290847,0.413864458290847,regression,ridge
pct_hh_income_100k_plus,5.261896577503899,-5.261896577503899,regression,ridge
pct_hh_income_25k_50k,4.62006186856422,4.62006186856422,regression,ridge
pct_hh_income_under_25k,0.7129023407587843,-0.7129023407587843,regression,ridge
pct_rent_burden_30_plus,3.1769637486180122,3.1769637486180122,regression,ridge
pct_rent_burden_50_plus,4.974025313632722,4.974025313632722,regression,ridge
pct_renter_occupied,3.339267822820901,3.339267822820901,regression,ridge
poverty_rate,4.38578535841397,4.38578535841397,regression,ridge
unemployment_rate,3.7696311666873257,3.7696311666873257,regression,ridge
median_household_income,0.49294735730079825,,regression,random_forest_regressor
pct_age_18_24,0.007098293430577537,,regression,random_forest_regressor
pct_age_65_plus,0.0049190076827783525,,regression,random_forest_regressor
pct_bachelors_or_higher,0.019779043705263333,,regression,random_forest_regressor
pct_family_households,0.008287741072657614,,regression,random_forest_regressor
pct_hh_income_100k_plus,0.26658301503912585,,regression,random_forest_regressor
pct_hh_income_25k_50k,0.022087936936882154,,regression,random_forest_regressor
pct_hh_income_under_25k,0.029046107095991796,,regression,random_forest_regressor
pct_rent_burden_30_plus,0.030515123937586004,,regression,random_forest_regressor
pct_rent_burden_50_plus,0.014975585125503815,,regression,random_forest_regressor
pct_renter_occupied,0.006128958811655807,,regression,random_forest_regressor
poverty_rate,0.054257677955878346,,regression,random_forest_regressor
unemployment_rate,0.04337415190530118,,regression,random_forest_regressor
median_household_income,0.4271675278963208,,regression,gradient_boosting_regressor
pct_age_18_24,0.003734550036150524,,regression,gradient_boosting_regressor
pct_age_65_plus,0.00224178349008284,,regression,gradient_boosting_regressor
pct_bachelors_or_higher,0.02533350960330043,,regression,gradient_boosting_regressor
pct_family_households,0.002107794106659339,,regression,gradient_boosting_regressor
pct_hh_income_100k_plus,0.2804421198951014,,regression,gradient_boosting_regressor
pct_hh_income_25k_50k,0.03602730725849828,,regression,gradient_boosting_regressor
pct_hh_income_under_25k,0.05977699447851056,,regression,gradient_boosting_regressor
pct_rent_burden_30_plus,0.043956519230498835,,regression,gradient_boosting_regressor
pct_rent_burden_50_plus,0.030155683318037443,,regression,gradient_boosting_regressor
pct_renter_occupied,0.0007939872914243816,,regression,gradient_boosting_regressor
poverty_rate,0.040034010678313234,,regression,gradient_boosting_regressor
unemployment_rate,0.04822821271710208,,regression,gradient_boosting_regressor
median_household_income,0.9600744860536727,-0.9600744860536727,classification,logistic_regression
pct_age_18_24,0.775398001984022,-0.775398001984022,classification,logistic_regression
pct_age_65_plus,0.37143961038285106,-0.37143961038285106,classification,logistic_regression
pct_bachelors_or_higher,1.2901277171502665,-1.2901277171502665,classification,logistic_regression
pct_family_households,0.11818985058301856,-0.11818985058301856,classification,logistic_regression
pct_hh_income_100k_plus,0.8402869755293074,-0.8402869755293074,classification,logistic_regression
pct_hh_income_25k_50k,1.044785426590737,1.044785426590737,classification,logistic_regression
pct_hh_income_under_25k,0.22742546813977474,0.22742546813977474,classification,logistic_regression
pct_rent_burden_30_plus,0.9677667320514864,0.9677667320514864,classification,logistic_regression
pct_rent_burden_50_plus,1.0581136440419856,1.0581136440419856,classification,logistic_regression
pct_renter_occupied,0.6780597736311464,0.6780597736311464,classification,logistic_regression
poverty_rate,0.7474463454888394,0.7474463454888394,classification,logistic_regression
unemployment_rate,0.9710207285604501,0.9710207285604501,classification,logistic_regression
median_household_income,0.22566007392345297,,classification,random_forest_classifier
pct_age_18_24,0.0222200182140993,,classification,random_forest_classifier
pct_age_65_plus,0.05874113750975863,,classification,random_forest_classifier
pct_bachelors_or_higher,0.0650160198033692,,classification,random_forest_classifier
pct_family_households,0.03839834943517153,,classification,random_forest_classifier
pct_hh_income_100k_plus,0.20797570087592968,,classification,random_forest_classifier
pct_hh_income_25k_50k,0.04334972720046252,,classification,random_forest_classifier
pct_hh_income_under_25k,0.09469994682041993,,classification,random_forest_classifier
pct_rent_burden_30_plus,0.034544565095025744,,classification,random_forest_classifier
pct_rent_burden_50_plus,0.026089874572179223,,classification,random_forest_classifier
pct_renter_occupied,0.036588547794130025,,classification,random_forest_classifier
poverty_rate,0.09112144950270167,,classification,random_forest_classifier
unemployment_rate,0.055594589253299596,,classification,random_forest_classifier
median_household_income,0.5924993987498381,,classification,gradient_boosting_classifier
pct_age_18_24,0.001997370536882011,,classification,gradient_boosting_classifier
pct_age_65_plus,0.017640019083625617,,classification,gradient_boosting_classifier
pct_bachelors_or_higher,0.09181122938728033,,classification,gradient_boosting_classifier
pct_family_households,0.028740051095967962,,classification,gradient_boosting_classifier
pct_hh_income_100k_plus,0.1413752903740143,,classification,gradient_boosting_classifier
pct_hh_income_25k_50k,0.002361205873845477,,classification,gradient_boosting_classifier
pct_hh_income_under_25k,0.012358534729057069,,classification,gradient_boosting_classifier
pct_rent_burden_30_plus,0.0471164923431219,,classification,gradient_boosting_classifier
pct_rent_burden_50_plus,0.016904643837313476,,classification,gradient_boosting_classifier
pct_renter_occupied,0.002235579205537045,,classification,gradient_boosting_classifier
poverty_rate,0.010006681077854141,,classification,gradient_boosting_classifier
unemployment_rate,0.034953503705662484,,classification,gradient_boosting_classifier
