feature,importance,signed_value,model_type,model
median_household_income,0.22566007392345297,,classification,random_forest_classifier
pct_hh_income_100k_plus,0.20797570087592968,,classification,random_forest_classifier
pct_hh_income_under_25k,0.09469994682041993,,classification,random_forest_classifier
poverty_rate,0.09112144950270167,,classification,random_forest_classifier
pct_bachelors_or_higher,0.0650160198033692,,classification,random_forest_classifier
pct_age_65_plus,0.05874113750975863,,classification,random_forest_classifier
unemployment_rate,0.055594589253299596,,classification,random_forest_classifier
pct_hh_income_25k_50k,0.04334972720046252,,classification,random_forest_classifier
pct_family_households,0.03839834943517153,,classification,random_forest_classifier
pct_renter_occupied,0.036588547794130025,,classification,random_forest_classifier
pct_rent_burden_30_plus,0.034544565095025744,,classification,random_forest_classifier
pct_rent_burden_50_plus,0.026089874572179223,,classification,random_forest_classifier
pct_age_18_24,0.0222200182140993,,classification,random_forest_classifier
