year,area_type,tract_count,estimated_alice_households,avg_estimated_alice_rate_proxy_pct,avg_poverty_rate
2019,Family-oriented residential area,9,4982.49167502021,28.66561779076196,12.088888888888889
2019,Higher economic stress area,2,1144.1496245362005,60.129593882089964,35.1
2019,Mixed residential area,8,9268.517013582457,55.48962802533798,19.6
2019,Senior-heavy residential area,12,6836.173592614886,31.309132046030076,9.891666666666667
2019,Student-dense area,7,5718.202305290424,58.24968652646852,68.01428571428572
2021,Family-oriented residential area,13,7027.289629828149,28.17697572251496,10.146153846153847
2021,Higher economic stress area,2,1098.167309392095,49.8087715540701,34.9
2021,Higher-income residential area,1,334.6466340363569,30.899966208343205,11.7
2021,Mixed residential area,10,9079.085777422642,44.27260753782015,16.009999999999998
2021,Senior-heavy residential area,13,6427.130009728256,27.65394184344025,9.03076923076923
2021,Student-dense area,9,5419.680639592501,50.20785106290704,66.76666666666667
2022,Family-oriented residential area,13,7273.880143616717,30.255323463435737,9.384615384615385
2022,Higher economic stress area,2,1474.2009063823552,65.72322226117043,38.25
2022,Higher-income residential area,1,207.8004595848487,18.80547145564241,8.1
2022,Mixed residential area,10,11451.635943800038,54.3669818711753,17.18
2022,Senior-heavy residential area,13,6958.765586972293,28.329899357181603,9.930769230769231
2022,Student-dense area,9,7441.894959643748,68.92955911256136,65.72222222222223
2023,Family-oriented residential area,13,6935.388490405125,27.543190968924122,8.492307692307692
2023,Higher economic stress area,2,1300.7677950889602,59.30846159102627,37.85
2023,Higher-income residential area,1,330.701594724047,26.97402893344593,18.1
2023,Mixed residential area,10,9686.005581505773,45.925696139462715,16.48
2023,Senior-heavy residential area,13,6467.143927582679,25.926401044827678,9.161538461538461
2023,Student-dense area,9,7198.153710693419,62.65564304878631,64.53333333333333
