tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,area_type,cluster_label,2019,2021,2022,2023,metric,change_first_to_last,change_2019_to_2021,change_2021_to_2022,change_2022_to_2023
17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1643.85256751621,1217.7789803575745,1813.4725546342852,1643.419481924299,estimated_alice_households,-0.4330855919110945,-426.0735871586355,595.6935742767107,-170.05307270998628
17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1563.6859670702472,1234.8287894643472,1578.1189449299343,1321.943420393742,estimated_alice_households,-241.7425466765053,-328.8571776059,343.2901554655871,-256.17552453619237
17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1417.3944770646171,982.5906524899176,1203.5632960533244,884.5211972358484,estimated_alice_households,-532.8732798287688,-434.80382457469955,220.9726435634068,-319.042098817476
17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1387.5352511480055,1272.2725460935212,1737.455648677016,1523.3823776624586,estimated_alice_households,135.84712651445307,-115.26270505448429,465.1831025834947,-214.07327101455735
17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1338.362510352849,1202.7972482686555,1712.377144866199,1843.78259160379,estimated_alice_households,505.42008125094094,-135.5652620841936,509.57989659754344,131.4054467375911
17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1313.2185832279813,1066.9926784047088,1441.9014417749595,1151.0333367250028,estimated_alice_households,-162.18524650297854,-246.22590482327246,374.90876337025065,-290.86810504995674
17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1146.4904711578697,1228.6741183011231,1622.391733913426,1373.1520177480888,estimated_alice_households,226.66154659021913,82.18364714325344,393.7176156123028,-249.2397161653371
17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,Mixed residential area,cluster_0,1036.4308576050607,625.163286968466,821.4287904164864,732.9080381681229,estimated_alice_households,-303.5228194369379,-411.26757063659477,196.26550344802047,-88.52075224836358
17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1014.6963663093624,899.8914925066929,1120.245984397093,832.7954800720322,estimated_alice_households,-181.90088623733016,-114.80487380266948,220.35449189040014,-287.4505043250608
17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,Family-oriented residential area,cluster_0,1004.3553949572666,895.8041121127609,766.1382624424115,949.353103718288,estimated_alice_households,-55.002291238978614,-108.55128284450575,-129.66584967034942,183.21484127587655
17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,Mixed residential area,cluster_0,995.5756948998048,815.246583646191,1065.482038194997,998.0135514892812,estimated_alice_households,2.4378565894763824,-180.32911125361386,250.23545454880593,-67.46848670571569
17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,973.9919577716474,886.1106787082493,1086.0566225208818,943.3890899989864,estimated_alice_households,-30.602867772661057,-87.8812790633981,199.94594381263244,-142.6675325218954
17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,899.6762023667138,754.0024489881138,1139.9707935815866,1055.9391332542775,estimated_alice_households,156.2629308875637,-145.67375337860005,385.9683445934728,-84.03166032730905
17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,894.0536697564102,856.2842603398707,1171.876338690266,1089.4798903998194,estimated_alice_households,195.42622064340924,-37.769409416539474,315.59207835039535,-82.39644829044664
17019005402,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,863.7926129031426,674.4466308611509,690.2430820456627,731.3352494161609,estimated_alice_households,-132.45736348698176,-189.34598204199176,15.796451184511852,41.092167370498146
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,810.180155046283,583.9119280519532,703.9318770558308,690.5260917704776,estimated_alice_households,-119.65406327580536,-226.26822699432978,120.01994900387763,-13.405785285353204
17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,Family-oriented residential area,cluster_0,732.3055629388472,760.0088917665394,1090.7397137924695,887.8093377938114,estimated_alice_households,155.50377485496426,27.70332882769219,330.73082202593014,-202.93037599865806
17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,672.2314888703883,509.8382139238673,697.9534680826918,655.700648667046,estimated_alice_households,-16.530840203342223,-162.393274946521,188.11525415882448,-42.25281941564572
