year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,area_type,cluster_label,estimated_alice_households,estimated_alice_rate_proxy_pct,median_household_income,poverty_rate,unemployment_rate,pct_hh_income_under_25k,pct_rent_burden_30_plus,pct_age_18_24,pct_bachelors_or_higher,rank_basis,rank_group
2019,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1643.85256751621,57.61838652352647,44503.0,19.3,9.5,30.5,38.12,11.9,28.4,estimated_alice_households,top_15
2019,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1563.6859670702472,66.4267615577845,34245.0,28.7,8.6,30.9,54.3,21.2,35.2,estimated_alice_households,top_15
2019,17019005600,,,,,,cluster_0,1548.1679850888777,50.07011594724701,60774.0,14.8,7.4,25.1,50.53,9.3,52.3,estimated_alice_households,top_15
2019,17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1417.3944770646171,67.5593173052725,41276.0,14.6,4.3,32.6,54.63,4.6,19.9,estimated_alice_households,top_15
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1387.5352511480055,57.12372380189402,21563.0,49.6,8.0,54.2,35.42,46.5,42.9,estimated_alice_households,top_15
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1338.362510352849,65.12712945755956,7099.0,82.5,5.1,79.9,62.82,90.7,46.8,estimated_alice_households,top_15
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1313.2185832279813,67.0693862731349,36602.0,28.3,10.3,30.4,40.43,13.4,14.0,estimated_alice_households,top_15
2019,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1146.4904711578697,48.60069822627679,50253.0,14.7,6.7,30.2,55.05,9.0,61.6,estimated_alice_households,top_15
2019,17019011000,,,,,,cluster_0,1098.3687542944858,43.03952798959584,41196.0,15.0,2.7,30.7,47.41,18.9,64.0,estimated_alice_households,top_15
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,Mixed residential area,cluster_0,1036.4308576050607,51.97747530617155,44516.0,29.3,4.5,28.4,56.33,23.7,65.4,estimated_alice_households,top_15
2019,17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1014.6963663093624,59.37369024630558,47042.0,16.4,7.3,19.3,52.8,9.5,14.4,estimated_alice_households,top_15
2019,17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,Family-oriented residential area,cluster_0,1004.3553949572666,34.98277237747359,60412.0,10.6,3.4,12.9,42.67,11.7,40.2,estimated_alice_households,top_15
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,Mixed residential area,cluster_0,995.5756948998048,35.16692670080554,54864.0,8.5,2.6,13.0,30.32,9.6,52.5,estimated_alice_households,top_15
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,973.9919577716474,73.4533904805164,40074.0,24.3,10.3,28.5,48.18,14.9,15.8,estimated_alice_households,top_15
2019,17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,Senior-heavy residential area,cluster_0,899.6762023667138,41.670968150380446,50370.0,12.3,4.3,18.3,37.2,5.8,40.8,estimated_alice_households,top_15
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,Higher economic stress area,cluster_0,604.7617871131105,86.27129630714843,21385.0,43.2,12.2,55.8,54.91,17.4,13.6,estimated_alice_rate_proxy_pct,top_15
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,973.9919577716474,73.4533904805164,40074.0,24.3,10.3,28.5,48.18,14.9,15.8,estimated_alice_rate_proxy_pct,top_15
2019,17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1417.3944770646171,67.5593173052725,41276.0,14.6,4.3,32.6,54.63,4.6,19.9,estimated_alice_rate_proxy_pct,top_15
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1313.2185832279813,67.0693862731349,36602.0,28.3,10.3,30.4,40.43,13.4,14.0,estimated_alice_rate_proxy_pct,top_15
2019,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1563.6859670702472,66.4267615577845,34245.0,28.7,8.6,30.9,54.3,21.2,35.2,estimated_alice_rate_proxy_pct,top_15
2019,17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,Family-oriented residential area,cluster_0,732.3055629388472,65.50139203388615,37778.0,27.1,6.5,26.6,50.19,12.3,16.3,estimated_alice_rate_proxy_pct,top_15
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1338.362510352849,65.12712945755956,7099.0,82.5,5.1,79.9,62.82,90.7,46.8,estimated_alice_rate_proxy_pct,top_15
2019,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,672.2314888703883,62.18607667626164,22741.0,56.3,11.9,54.8,49.56,61.7,67.0,estimated_alice_rate_proxy_pct,top_15
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,810.180155046283,60.96163694855402,5234.0,87.8,7.7,87.3,61.32,90.1,75.9,estimated_alice_rate_proxy_pct,top_15
2019,17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1014.6963663093624,59.37369024630558,47042.0,16.4,7.3,19.3,52.8,9.5,14.4,estimated_alice_rate_proxy_pct,top_15
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,894.0536697564102,58.43488037623595,10385.0,68.4,2.4,69.9,51.83,69.7,54.0,estimated_alice_rate_proxy_pct,top_15
2019,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1643.85256751621,57.61838652352647,44503.0,19.3,9.5,30.5,38.12,11.9,28.4,estimated_alice_rate_proxy_pct,top_15
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,274.94769077663165,57.28076891179826,3864.0,89.7,6.0,88.8,54.38,95.8,59.1,estimated_alice_rate_proxy_pct,top_15
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1387.5352511480055,57.12372380189402,21563.0,49.6,8.0,54.2,35.42,46.5,42.9,estimated_alice_rate_proxy_pct,top_15
2019,17019005900,,,,,,cluster_1,634.6490254417574,56.113972187600126,10988.0,70.7,6.6,72.2,66.73,90.0,95.9,estimated_alice_rate_proxy_pct,top_15
2021,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1272.2725460935212,54.13925728057537,21726.0,47.2,9.9,54.4,40.58,51.5,47.1,estimated_alice_households,top_15
2021,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1234.8287894643472,56.41063451184775,35521.0,22.5,6.0,36.2,60.61,18.2,34.7,estimated_alice_households,top_15
2021,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1228.6741183011231,52.96009130608289,44333.0,17.2,11.2,28.8,59.21,9.3,51.5,estimated_alice_households,top_15
2021,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1217.7789803575745,41.23870573510242,49476.0,15.1,8.3,18.0,26.9,12.5,38.7,estimated_alice_households,top_15
2021,17019005601,Urbana — Mixed residential area,Urbana,61802.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1207.4401627076645,48.78546111950159,48702.0,11.1,10.2,24.7,47.65,10.9,53.1,estimated_alice_households,top_15
2021,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1202.7972482686555,55.60782470035392,5512.0,81.5,7.1,79.6,62.64,88.6,64.6,estimated_alice_households,top_15
2021,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,Family-oriented residential area,cluster_0,1086.985496398825,33.251315276807134,85141.0,10.5,3.2,21.7,55.56,10.5,65.7,estimated_alice_households,top_15
2021,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1066.9926784047088,57.150116679416655,39673.0,27.1,10.2,30.9,39.66,15.8,11.7,estimated_alice_households,top_15
2021,17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,982.5906524899176,50.59684101389895,44938.0,8.7,1.0,20.1,44.42,6.5,21.8,estimated_alice_households,top_15
2021,17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,899.8914925066929,45.15260875598058,47421.0,21.0,7.0,25.6,36.29,10.6,14.0,estimated_alice_households,top_15
2021,17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,Family-oriented residential area,cluster_0,895.8041121127609,30.96453895999865,62228.0,8.6,6.6,12.5,36.87,12.7,36.7,estimated_alice_households,top_15
2021,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,886.1106787082493,63.65737634398343,39173.0,30.2,13.2,30.5,38.66,15.1,12.1,estimated_alice_households,top_15
2021,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,856.2842603398707,52.987887397269226,9771.0,63.5,4.0,64.1,55.63,68.4,65.6,estimated_alice_households,top_15
2021,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,Mixed residential area,cluster_0,815.246583646191,27.82411548280515,60946.0,12.7,4.4,10.9,25.24,15.4,55.0,estimated_alice_households,top_15
2021,17019010901,Philo — Family-oriented residential area,Philo,61880.0,More households with children.,Family-oriented residential area,cluster_0,790.8832265481483,34.01648286228595,78368.0,10.2,0.9,14.5,65.29,18.7,33.1,estimated_alice_households,top_15
2021,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,Higher economic stress area,cluster_0,608.7294308122422,66.09440073965713,25531.0,39.0,9.3,49.1,52.47,20.6,19.6,estimated_alice_rate_proxy_pct,top_15
2021,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,886.1106787082493,63.65737634398343,39173.0,30.2,13.2,30.5,38.66,15.1,12.1,estimated_alice_rate_proxy_pct,top_15
2021,17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,Family-oriented residential area,cluster_0,760.0088917665394,63.43980732608843,36409.0,29.6,9.4,28.2,52.92,9.2,9.8,estimated_alice_rate_proxy_pct,top_15
2021,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1066.9926784047088,57.150116679416655,39673.0,27.1,10.2,30.9,39.66,15.8,11.7,estimated_alice_rate_proxy_pct,top_15
2021,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1234.8287894643472,56.41063451184775,35521.0,22.5,6.0,36.2,60.61,18.2,34.7,estimated_alice_rate_proxy_pct,top_15
2021,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1202.7972482686555,55.60782470035392,5512.0,81.5,7.1,79.6,62.64,88.6,64.6,estimated_alice_rate_proxy_pct,top_15
2021,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,509.8382139238673,54.35375414966602,25663.0,52.6,7.2,47.1,68.56,61.2,71.5,estimated_alice_rate_proxy_pct,top_15
2021,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1272.2725460935212,54.13925728057537,21726.0,47.2,9.9,54.4,40.58,51.5,47.1,estimated_alice_rate_proxy_pct,top_15
2021,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,856.2842603398707,52.987887397269226,9771.0,63.5,4.0,64.1,55.63,68.4,65.6,estimated_alice_rate_proxy_pct,top_15
2021,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1228.6741183011231,52.96009130608289,44333.0,17.2,11.2,28.8,59.21,9.3,51.5,estimated_alice_rate_proxy_pct,top_15
2021,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,286.36954733266595,52.73840650693664,4476.0,90.5,6.5,88.0,65.19,96.9,64.8,estimated_alice_rate_proxy_pct,top_15
2021,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,583.9119280519532,51.22034456596081,3416.0,89.1,5.6,87.2,59.04,87.1,92.0,estimated_alice_rate_proxy_pct,top_15
2021,17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,982.5906524899176,50.59684101389895,44938.0,8.7,1.0,20.1,44.42,6.5,21.8,estimated_alice_rate_proxy_pct,top_15
2021,17019005901,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,194.74607097174925,49.427936794860216,,83.1,4.9,87.6,53.64,93.3,64.0,estimated_alice_rate_proxy_pct,top_15
2021,17019005601,Urbana — Mixed residential area,Urbana,61802.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1207.4401627076645,48.78546111950159,48702.0,11.1,10.2,24.7,47.65,10.9,53.1,estimated_alice_rate_proxy_pct,top_15
2022,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1813.4725546342852,60.36859369621455,52813.0,18.8,7.0,24.2,47.84,12.2,35.4,estimated_alice_households,top_15
2022,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1737.455648677016,75.14946577322735,25759.0,44.3,7.5,47.3,44.19,48.7,39.7,estimated_alice_households,top_15
2022,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,Student-dense area,cluster_1,1712.377144866199,78.83872674337933,5413.0,84.2,10.7,79.8,59.99,88.8,70.8,estimated_alice_households,top_15
2022,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,Senior-heavy residential area,cluster_0,1622.391733913426,67.34710393995125,50272.0,19.3,10.9,28.2,58.8,11.0,52.3,estimated_alice_households,top_15
2022,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,Mixed residential area,cluster_0,1578.1189449299343,71.31129439358041,35721.0,20.5,9.2,41.3,55.44,23.9,36.6,estimated_alice_households,top_15
2022,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,Family-oriented residential area,cluster_0,1441.9014417749595,74.9818742472678,42380.0,19.0,8.5,24.8,52.15,18.0,14.9,estimated_alice_households,top_15
2022,17019005601,Urbana — Mixed residential area,Urbana,61802.0,General tract context note not flagged by the current rule set.,Mixed residential area,cluster_0,1335.0852939961967,53.66098448537768,54748.0,11.6,8.3,20.4,43.64,13.2,48.7,estimated_alice_households,top_15
