validation_name,year,actual_value,target_value,diff,pct_diff
05_sheet_compare_total,2019,81765.0,81764.0,1.0,0.0
05_sheet_compare_total,2021,84248.0,84248.0,0.0,0.0
05_sheet_compare_total,2022,85821.0,84713.0,1108.0,1.31
05_sheet_compare_total,2023,89811.0,89155.0,656.0,0.74
06_sheet_compare_below_alice,2019,35263.0,36933.0,-1670.0,-4.52
06_sheet_compare_below_alice,2021,32841.0,37298.0,-4457.0,-11.95
06_sheet_compare_below_alice,2022,37610.0,39534.0,-1924.0,-4.87
06_sheet_compare_below_alice,2023,38031.0,39243.0,-1212.0,-3.09
07_sheet_compare_above_alice,2019,46502.0,44831.0,1671.0,3.73
07_sheet_compare_above_alice,2021,51407.0,46950.0,4457.0,9.49
07_sheet_compare_above_alice,2022,48210.0,45179.0,3031.0,6.71
07_sheet_compare_above_alice,2023,51780.0,49912.0,1868.0,3.74
