year,serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2019,2019HU0085519,17,2100,101,1,7700.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,101.0,7778.1165,0,1_adult_0_child,1,33838.68
2019,2019HU1391014,17,2100,201,6,21000.0,21000.0,1010145,3.0,6.0,5.0,6.0,2.0,6,1,0,4,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,201.0,21213.045,0,1_adult_2plus_child,1,53816.98
2019,2019HU1400685,17,2100,160,4,23000.0,19200.0,1010145,3.0,6.0,1.0,3.0,3.0,4,2,2,1,0,2,1,0,0,1,1,1,0.0,0.0,0.5,0,0,160.0,23233.335,0,2_adult_1_child,1,54273.58
2019,2019HU1146864,17,2100,410,2,0.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,410.0,0.0,1,2_adult_0_child,1,45201.89
2019,2019HU0008612,17,2100,570,1,17300.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,570.0,17475.5085,0,1_adult_0_child,1,33838.68
2019,2019HU0008889,17,2100,41,2,0.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,41.0,0.0,1,2_adult_0_child,1,45201.89
2019,2019HU0027545,17,2100,56,1,12000.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,56.0,12121.74,1,1_adult_0_child,1,33838.68
2019,2019HU0032491,17,2100,112,3,32300.0,32300.0,1010145,3.0,6.0,2.0,3.0,3.0,3,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,112.0,32627.6835,0,1_adult_2plus_child,1,53816.98
2019,2019HU0033488,17,2100,44,3,15600.0,,1010145,5.0,12.0,0.0,,,3,2,2,0,0,2,1,0,0,0,1,1,0.0,0.0,0.6666666666666666,0,0,44.0,15758.262,0,2_adult_0_child,1,45201.89
2019,2019HU0041226,17,2100,141,2,35000.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,141.0,35355.075,1,2_adult_0_child,1,45201.89
2019,2019HU0049920,17,2100,10,3,45000.0,45000.0,1010145,2.0,3.0,1.0,2.0,1.0,3,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,10.0,45456.525,0,2_adult_1_child,1,54273.58
2019,2019HU0050747,17,2100,42,3,24200.0,,1010145,5.0,12.0,0.0,,,3,3,3,3,3,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,42.0,24445.509,1,3plus_adult_0_child,1,55415.09
2019,2019HU0054305,17,2100,130,1,18700.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,130.0,18889.7115,0,1_adult_0_child,1,33838.68
2019,2019HU0063955,17,2100,76,2,29200.0,,1010145,5.0,4.0,0.0,,,2,1,1,1,0,2,1,0,0,1,1,1,0.0,0.0,0.5,0,0,76.0,29496.234,0,1_adult_0_child,1,33838.68
2019,2019HU0067357,17,2100,149,2,29400.0,29400.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,1,1,0,1,1,0,0,1,1,1,0.0,0.0,0.5,0,0,149.0,29698.263,0,2_adult_0_child,1,45201.89
2019,2019HU0067702,17,2100,255,1,17400.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,255.0,17576.523,0,1_adult_0_child,1,33838.68
2019,2019HU0083998,17,2100,13,1,12000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.0,12121.74,0,1_adult_0_child,1,33838.68
2019,2019HU0102686,17,2100,103,2,23000.0,23000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,103.0,23233.335,0,2_adult_0_child,1,45201.89
2019,2019HU0111810,17,2100,124,1,26900.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,124.0,27172.9005,0,1_adult_0_child,1,33838.68
2019,2019HU0113473,17,2100,64,1,21400.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,64.0,21617.103,0,1_adult_0_child,1,33838.68
2019,2019HU0115501,17,2100,160,2,12800.0,12800.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,1,1,1,1,1,0,1,1,1,1,0.5,0.5,0.5,1,0,160.0,12929.856,0,2_adult_0_child,1,45201.89
2019,2019HU0125262,17,2100,68,1,26500.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,68.0,26768.8425,0,1_adult_0_child,1,33838.68
2019,2019HU0134654,17,2100,382,2,1300.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,382.0,1313.1885,1,2_adult_0_child,1,45201.89
2019,2019HU0142678,17,2100,37,2,21000.0,21000.0,1010145,2.0,11.0,0.0,2.0,4.0,2,2,1,1,0,1,1,0,0,1,1,1,0.0,0.0,0.5,0,0,37.0,21213.045,0,2_adult_0_child,1,45201.89
2019,2019HU0147683,17,2100,89,2,19000.0,19000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,89.0,19192.755,0,2_adult_0_child,1,45201.89
2019,2019HU0149279,17,2100,87,3,10700.0,10700.0,1010145,3.0,3.0,1.0,2.0,1.0,3,2,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.3333333333333333,0,0,87.0,10808.5515,0,2_adult_1_child,1,54273.58
2019,2019HU0153437,17,2100,96,2,0.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,96.0,0.0,1,2_adult_0_child,1,45201.89
2019,2019HU0157308,17,2100,58,5,22960.0,22000.0,1010145,2.0,3.0,3.0,4.0,3.0,5,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,58.0,23192.9292,0,2_adult_2plus_child,1,62274.53
2019,2019HU0159831,17,2100,24,1,24300.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,24.0,24546.5235,0,1_adult_0_child,1,33838.68
2019,2019HU0166876,17,2100,117,3,53000.0,53000.0,1010145,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,117.0,53537.685,0,2_adult_1_child,1,54273.58
2019,2019HU0174746,17,2100,129,3,6320.0,6320.0,1010145,1.0,2.0,0.0,3.0,4.0,3,3,1,1,1,2,1,0,1,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,129.0,6384.1164,0,3plus_adult_0_child,1,55415.09
2019,2019HU0181176,17,2100,197,1,2000.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,197.0,2020.29,0,1_adult_0_child,1,33838.68
2019,2019HU0181701,17,2100,113,1,25400.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,113.0,25657.683,0,1_adult_0_child,1,33838.68
2019,2019HU0182070,17,2100,13,1,0.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.0,0.0,0,1_adult_0_child,1,33838.68
