serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2021HU1299591,17,2100,326,1,0.0,,1029928,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,326.0,0.0,1,1_adult_0_child,1,37492.23
2021HU1375093,17,2100,63,3,48000.0,48000.0,1029928,1.0,1.0,1.0,3.0,1.0,3,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,63.0,49436.544,0,2_adult_1_child,1,56444.53
2021HU0456677,17,2100,51,1,7600.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,51.0,7827.4528,0,1_adult_0_child,1,37492.23
2021HU1377290,17,2100,174,5,52200.0,52200.0,1029928,3.0,7.0,0.0,5.0,1.0,5,4,2,1,1,1,1,0,1,1,1,1,0.2,0.25,0.4,0,0,174.0,53762.2416,0,3plus_adult_0_child,1,57631.7
2021HU1379503,17,2100,51,1,28800.0,,1029928,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,51.0,29661.9264,0,1_adult_0_child,1,37492.23
2021HU1385082,17,2100,162,1,3720.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,162.0,3831.33216,0,1_adult_0_child,1,37492.23
2021HU1385310,17,2100,85,2,40000.0,,1029928,5.0,12.0,0.0,,,2,2,1,2,1,2,1,0,1,1,1,1,0.5,0.5,0.5,1,0,85.0,41197.12,0,2_adult_0_child,1,49309.96
2021HU1391717,17,2100,103,2,32600.0,32600.0,1029928,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,103.0,33575.6528,0,2_adult_0_child,1,49309.96
2021HU1392656,17,2100,367,2,38000.0,38000.0,1029928,3.0,6.0,1.0,2.0,1.0,2,1,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0,0,367.0,39137.264,0,1_adult_1_child,1,41270.34
2021HU1407095,17,2100,161,4,19030.0,,1029928,5.0,12.0,0.0,,,4,4,4,4,4,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,161.0,19599.52984,0,3plus_adult_0_child,1,57631.7
2021HU0000820,17,2100,262,4,55600.0,55600.0,1029928,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,262.0,57263.9968,0,2_adult_2plus_child,1,64765.51
2021HU0009092,17,2100,25,4,60000.0,60000.0,1029928,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,25.0,61795.68,0,2_adult_2plus_child,1,64765.51
