year,metric_group,metric_name,complete_metric_value,nonstudent_metric_value,value_diff_nonstudent_minus_complete,complete_pct_of_households,nonstudent_pct_of_households,pct_point_diff,nonstudent_as_pct_of_complete,sort_order
2021,overall,weighted_households,32841.0,29386.0,-3455.0,100.0,100.0,0.0,89.4796,10
2021,overall,unweighted_records,274.0,258.0,-16.0,,,0.0,94.1606,20
2021,overall,weighted_avg_household_size,1.8692,1.9037,0.0345,,,0.0,101.8457,30
2021,overall,weighted_avg_adult_count,1.57,1.5694,-0.0006,,,0.0,99.9618,40
2021,overall,weighted_avg_child_count,0.2319,0.2592,0.0273,,,0.0,111.7723,50
2021,income,weighted_avg_real_income,23670.34,25576.12,1905.78,,,0.0,108.0513,60
2021,income,median_real_income_unweighted,25748.2,26597.89,849.69,,,0.0,103.3,70
2021,income,weighted_avg_annual_alice_threshold,44939.07,45142.21,203.14,,,0.0,100.452,80
2021,student_labor,share_student_heavy,3455.0,0.0,-3455.0,10.5204,0.0,-10.5204,0.0,90
2021,student_labor,share_has_any_student,16360.0,12905.0,-3455.0,49.8158,43.9155,-5.9003,78.8814,100
2021,student_labor,share_has_any_likely_college_student,8915.0,5460.0,-3455.0,27.1459,18.5803,-8.5656,61.2451,110
2021,student_labor,share_reference_person_student,7731.0,4564.0,-3167.0,23.5407,15.5312,-8.0095,59.0351,120
2021,student_labor,share_has_any_employed_person,20336.0,20336.0,0.0,61.9226,69.203,7.2804,100.0,130
2021,composition_hh_comp_key,1_adult_0_child,16577.0,14575.0,-2002.0,50.4765,49.5984,-0.8781,87.923,201
2021,composition_hh_comp_key,1_adult_1_child,830.0,830.0,0.0,2.5273,2.8245,0.2972,100.0,202
2021,composition_hh_comp_key,1_adult_2plus_child,1099.0,1099.0,0.0,3.3464,3.7399,0.3935,100.0,203
2021,composition_hh_comp_key,2_adult_0_child,9236.0,8094.0,-1142.0,28.1234,27.5437,-0.5797,87.6353,204
2021,composition_hh_comp_key,2_adult_1_child,1060.0,1060.0,0.0,3.2277,3.6072,0.3795,100.0,205
2021,composition_hh_comp_key,2_adult_2plus_child,1189.0,1189.0,0.0,3.6205,4.0461,0.4256,100.0,206
2021,composition_hh_comp_key,3plus_adult_0_child,2602.0,2291.0,-311.0,7.923,7.7962,-0.1268,88.0477,207
2021,composition_hh_comp_key,3plus_adult_1plus_child,248.0,248.0,0.0,0.7552,0.8439,0.0887,100.0,208
