serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,wgtp_adj,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2023HU1034165,17,1901,200,1,0.0,,1019518,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,200.0,200.0,0.0,0,1_adult_0_child,1,33348.0
2023HU0001472,17,1901,114,2,40000.0,,1019518,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,114.0,114.0,40780.72,1,2_adult_0_child,1,46488.0
2023HU0975495,17,1901,84,1,0.0,,1019518,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,84.0,84.0,0.0,0,1_adult_0_child,1,33348.0
2023HU0004382,17,1901,28,2,26000.0,26000.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,28.0,28.0,26507.468,0,2_adult_0_child,1,46488.0
2023HU0008903,17,1901,53,2,42500.0,42500.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,53.0,53.0,43329.515,0,2_adult_0_child,1,46488.0
2023HU0011715,17,1901,73,2,27070.0,27070.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,73.0,73.0,27598.35226,0,2_adult_0_child,1,46488.0
2023HU0015761,17,1902,68,1,23000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,14.587156,14.587156,23448.914,0,1_adult_0_child,1,33348.0
2023HU0016128,17,1901,141,1,1400.0,,1019518,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,141.0,141.0,1427.3252,0,1_adult_0_child,1,33348.0
2023HU0018946,17,1902,73,2,26000.0,,1019518,7.0,4.0,0.0,,,2,2,2,1,1,1,1,1,1,1,1,1,0.5,0.5,1.0,1,0,15.659741,15.659741,26507.468,0,2_adult_0_child,1,46488.0
2023HU0019609,17,1902,112,1,12000.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,24.025904,24.025904,12234.216,0,1_adult_0_child,1,33348.0
2023HU0027896,17,1902,34,1,21300.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,7.293578,7.293578,21715.7334,0,1_adult_0_child,1,33348.0
2023HU0028613,17,1902,94,4,57500.0,48000.0,1019518,2.0,4.0,0.0,3.0,4.0,4,4,1,1,1,0,1,0,1,1,1,0,0.25,0.25,0.25,0,0,20.164598,20.164598,58622.285,0,3plus_adult_0_child,1,64080.0
2023HU0029711,17,1902,50,1,22080.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,10.72585,10.72585,22510.95744,0,1_adult_0_child,1,33348.0
2023HU0030229,17,1902,74,4,25800.0,25800.0,1019518,3.0,6.0,3.0,4.0,2.0,4,1,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,15.874258,15.874258,26303.5644,0,1_adult_2plus_child,1,62232.0
2023HU0037915,17,1901,79,1,27100.0,,1019518,6.0,5.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,79.0,79.0,27628.9378,0,1_adult_0_child,1,33348.0
2023HU0038338,17,1902,73,1,20000.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,15.659741,15.659741,20390.36,0,1_adult_0_child,1,33348.0
2023HU0041443,17,1901,471,4,4000.0,4000.0,1019518,3.0,6.0,2.0,4.0,2.0,4,2,1,2,0,1,1,0,0,1,1,1,0.0,0.0,0.25,0,0,471.0,471.0,4078.072,0,2_adult_2plus_child,1,72012.0
2023HU0296850,17,1901,51,1,0.0,,1019518,6.0,5.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,51.0,51.0,0.0,0,1_adult_0_child,1,33348.0
2023HU0041892,17,1902,14,1,19670.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.003238,3.003238,20053.91906,0,1_adult_0_child,1,33348.0
2023HU0042259,17,1902,204,1,0.0,,1019518,6.0,5.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,43.761468,43.761468,0.0,0,1_adult_0_child,1,33348.0
2023HU0045424,17,1902,64,1,13000.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,13.729088,13.729088,13253.734,0,1_adult_0_child,1,33348.0
2023HU0047670,17,1902,70,2,32400.0,,1019518,7.0,4.0,0.0,,,2,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,15.01619,15.01619,33032.3832,0,2_adult_0_child,1,46488.0
2023HU0048487,17,1902,25,2,29100.0,29100.0,1019518,3.0,6.0,1.0,2.0,1.0,2,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,5.362925,5.362925,29667.9738,0,1_adult_1_child,1,45888.0
2023HU0048883,17,1902,7,2,45100.0,45100.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1.501619,1.501619,45980.2618,0,2_adult_0_child,1,46488.0
2023HU0049522,17,1901,27,1,20000.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,27.0,27.0,20390.36,0,1_adult_0_child,1,33348.0
2023HU0050085,17,1902,19,2,28000.0,,1019518,7.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,4.075823,4.075823,28546.504,0,2_adult_0_child,1,46488.0
2023HU0054967,17,1902,38,4,30000.0,30000.0,1019518,3.0,6.0,3.0,4.0,3.0,4,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,8.151646,8.151646,30585.54,0,1_adult_2plus_child,1,62232.0
2023HU0058632,17,1902,12,1,28600.0,,1019518,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,2.574204,2.574204,29158.2148,0,1_adult_0_child,1,33348.0
2023HU0066011,17,1902,64,1,25000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,13.729088,13.729088,25487.95,0,1_adult_0_child,1,33348.0
2023HU0066399,17,1901,81,1,800.0,,1019518,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,81.0,81.0,815.6144,1,1_adult_0_child,1,33348.0
2023HU0067139,17,1902,30,1,7800.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,6.43551,6.43551,7952.2404,0,1_adult_0_child,1,33348.0
2023HU0067319,17,1902,10,2,10000.0,10000.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,2.14517,2.14517,10195.18,0,2_adult_0_child,1,46488.0
2023HU0070111,17,1902,7,2,41000.0,,1019518,7.0,4.0,0.0,,,2,2,1,0,0,2,1,0,0,0,1,1,0.0,0.0,0.5,0,0,1.501619,1.501619,41800.238,0,2_adult_0_child,1,46488.0
2023HU0071303,17,1901,252,1,10000.0,,1019518,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,252.0,252.0,10195.18,0,1_adult_0_child,1,33348.0
2023HU0073382,17,1902,71,1,25000.0,,1019518,6.0,5.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,15.230707,15.230707,25487.95,0,1_adult_0_child,1,33348.0
2023HU0074938,17,1902,75,1,0.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,16.088775,16.088775,0.0,0,1_adult_0_child,1,33348.0
2023HU0078777,17,1902,62,3,12600.0,12600.0,1019518,1.0,2.0,0.0,3.0,4.0,3,3,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.300054,13.300054,12845.9268,0,3plus_adult_0_child,1,64080.0
2023HU0083473,17,1902,19,1,24140.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.075823,4.075823,24611.16452,0,1_adult_0_child,1,33348.0
2023HU0084072,17,1902,27,3,42000.0,42000.0,1019518,1.0,1.0,1.0,3.0,1.0,3,2,2,0,0,1,1,0,0,0,1,1,0.0,0.0,0.6666666666666666,0,0,5.791959,5.791959,42819.756,0,2_adult_1_child,1,62760.0
2023HU0084267,17,1902,14,1,18000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.003238,3.003238,18351.324,0,1_adult_0_child,1,33348.0
2023HU0084874,17,1902,69,2,16030.0,16030.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,14.801673,14.801673,16342.87354,0,2_adult_0_child,1,46488.0
2023HU0086282,17,1902,94,1,5000.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,20.164598,20.164598,5097.59,0,1_adult_0_child,1,33348.0
2023HU0089783,17,1901,117,2,37510.0,,1019518,5.0,4.0,0.0,,,2,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,117.0,117.0,38242.12018,0,2_adult_0_child,1,46488.0
2023HU0093301,17,1902,14,1,22300.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.003238,3.003238,22735.2514,0,1_adult_0_child,1,33348.0
2023HU0094082,17,1902,99,1,26400.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,21.237183,21.237183,26915.2752,0,1_adult_0_child,1,33348.0
2023HU0095702,17,1902,182,4,70000.0,70000.0,1019518,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,39.042094,39.042094,71366.26,0,2_adult_2plus_child,1,72012.0
