year,metric_group,metric_name,complete_metric_value,nonstudent_metric_value,value_diff_nonstudent_minus_complete,complete_pct_of_households,nonstudent_pct_of_households,pct_point_diff,nonstudent_as_pct_of_complete,sort_order
2019,overall,weighted_households,35263.0,32848.0,-2415.0,100.0,100.0,0.0,93.1515,10
2019,overall,unweighted_records,285.0,267.0,-18.0,,,0.0,93.6842,20
2019,overall,weighted_avg_household_size,2.1285,2.1509,0.0224,,,0.0,101.0524,30
2019,overall,weighted_avg_adult_count,1.6155,1.6002,-0.0153,,,0.0,99.0529,40
2019,overall,weighted_avg_child_count,0.4993,0.536,0.0367,,,0.0,107.3503,50
2019,income,weighted_avg_real_income,22939.17,24235.48,1296.31,,,0.0,105.6511,60
2019,income,median_real_income_unweighted,23233.34,24243.48,1010.14,,,0.0,104.3478,70
2019,income,weighted_avg_annual_alice_threshold,43553.14,43633.35,80.21,,,0.0,100.1842,80
2019,student_labor,share_student_heavy,2415.0,0.0,-2415.0,6.8485,0.0,-6.8485,0.0,90
2019,student_labor,share_has_any_student,18674.0,16259.0,-2415.0,52.9564,49.4977,-3.4587,87.0676,100
2019,student_labor,share_has_any_likely_college_student,8212.0,5797.0,-2415.0,23.2879,17.648,-5.6399,70.5918,110
2019,student_labor,share_reference_person_student,7158.0,4797.0,-2361.0,20.2989,14.6036,-5.6953,67.0159,120
2019,student_labor,share_has_any_employed_person,22553.0,22553.0,0.0,63.9566,68.6587,4.7021,100.0,130
2019,composition_hh_comp_key,1_adult_0_child,16058.0,15269.0,-789.0,45.5378,46.4838,0.946,95.0866,201
2019,composition_hh_comp_key,1_adult_1_child,437.0,437.0,0.0,1.2393,1.3304,0.0911,100.0,202
2019,composition_hh_comp_key,1_adult_2plus_child,2279.0,2279.0,0.0,6.4629,6.938,0.4751,100.0,203
2019,composition_hh_comp_key,2_adult_0_child,8556.0,7160.0,-1396.0,24.2634,21.7974,-2.466,83.684,204
2019,composition_hh_comp_key,2_adult_1_child,1425.0,1425.0,0.0,4.0411,4.3382,0.2971,100.0,205
2019,composition_hh_comp_key,2_adult_2plus_child,3249.0,3249.0,0.0,9.2136,9.891,0.6774,100.0,206
2019,composition_hh_comp_key,3plus_adult_0_child,2578.0,2348.0,-230.0,7.3108,7.1481,-0.1627,91.0784,207
2019,composition_hh_comp_key,3plus_adult_1plus_child,681.0,681.0,0.0,1.9312,2.0732,0.142,100.0,208
2021,overall,weighted_households,32841.0,29386.0,-3455.0,100.0,100.0,0.0,89.4796,10
2021,overall,unweighted_records,274.0,258.0,-16.0,,,0.0,94.1606,20
2021,overall,weighted_avg_household_size,1.8692,1.9037,0.0345,,,0.0,101.8457,30
2021,overall,weighted_avg_adult_count,1.57,1.5694,-0.0006,,,0.0,99.9618,40
2021,overall,weighted_avg_child_count,0.2319,0.2592,0.0273,,,0.0,111.7723,50
2021,income,weighted_avg_real_income,23670.34,25576.12,1905.78,,,0.0,108.0513,60
2021,income,median_real_income_unweighted,25748.2,26597.89,849.69,,,0.0,103.3,70
2021,income,weighted_avg_annual_alice_threshold,44939.07,45142.21,203.14,,,0.0,100.452,80
2021,student_labor,share_student_heavy,3455.0,0.0,-3455.0,10.5204,0.0,-10.5204,0.0,90
2021,student_labor,share_has_any_student,16360.0,12905.0,-3455.0,49.8158,43.9155,-5.9003,78.8814,100
2021,student_labor,share_has_any_likely_college_student,8915.0,5460.0,-3455.0,27.1459,18.5803,-8.5656,61.2451,110
2021,student_labor,share_reference_person_student,7731.0,4564.0,-3167.0,23.5407,15.5312,-8.0095,59.0351,120
2021,student_labor,share_has_any_employed_person,20336.0,20336.0,0.0,61.9226,69.203,7.2804,100.0,130
2021,composition_hh_comp_key,1_adult_0_child,16577.0,14575.0,-2002.0,50.4765,49.5984,-0.8781,87.923,201
2021,composition_hh_comp_key,1_adult_1_child,830.0,830.0,0.0,2.5273,2.8245,0.2972,100.0,202
2021,composition_hh_comp_key,1_adult_2plus_child,1099.0,1099.0,0.0,3.3464,3.7399,0.3935,100.0,203
2021,composition_hh_comp_key,2_adult_0_child,9236.0,8094.0,-1142.0,28.1234,27.5437,-0.5797,87.6353,204
2021,composition_hh_comp_key,2_adult_1_child,1060.0,1060.0,0.0,3.2277,3.6072,0.3795,100.0,205
2021,composition_hh_comp_key,2_adult_2plus_child,1189.0,1189.0,0.0,3.6205,4.0461,0.4256,100.0,206
2021,composition_hh_comp_key,3plus_adult_0_child,2602.0,2291.0,-311.0,7.923,7.7962,-0.1268,88.0477,207
2021,composition_hh_comp_key,3plus_adult_1plus_child,248.0,248.0,0.0,0.7552,0.8439,0.0887,100.0,208
2022,overall,weighted_households,37610.178,34808.178,-2802.0,100.0,100.0,0.0,92.5499,10
2022,overall,unweighted_records,688.0,670.0,-18.0,,,0.0,97.3837,20
2022,overall,weighted_avg_household_size,1.8781,1.9222,0.0441,,,0.0,102.3481,30
2022,overall,weighted_avg_adult_count,1.5018,1.5156,0.0138,,,0.0,100.9189,40
2022,overall,weighted_avg_child_count,0.3668,0.3964,0.0296,,,0.0,108.0698,50
2022,income,weighted_avg_real_income,22718.13,24338.85,1620.72,,,0.0,107.134,60
2022,income,median_real_income_unweighted,26073.41,26578.93,505.52,,,0.0,101.9388,70
2022,income,weighted_avg_annual_alice_threshold,47581.98,47931.23,349.25,,,0.0,100.734,80
2022,student_labor,share_student_heavy,2802.0,0.0,-2802.0,7.4501,0.0,-7.4501,0.0,90
2022,student_labor,share_has_any_student,16009.5583,13207.5583,-2802.0,42.5671,37.9438,-4.6233,82.498,100
2022,student_labor,share_has_any_likely_college_student,7856.9112,5054.9112,-2802.0,20.8904,14.5222,-6.3682,64.3371,110
2022,student_labor,share_reference_person_student,6916.2256,4144.2256,-2772.0,18.3892,11.9059,-6.4833,59.9203,120
2022,student_labor,share_has_any_employed_person,22160.0808,22160.0808,0.0,58.9204,63.6634,4.743,100.0,130
2022,composition_hh_comp_key,1_adult_0_child,20093.4756,18115.4756,-1978.0,53.4256,52.0437,-1.3819,90.156,201
2022,composition_hh_comp_key,1_adult_1_child,120.6547,120.6547,0.0,0.3208,0.3466,0.0258,100.0,202
2022,composition_hh_comp_key,1_adult_2plus_child,2137.8068,2137.8068,0.0,5.6841,6.1417,0.4576,100.0,203
2022,composition_hh_comp_key,2_adult_0_child,9120.1303,8347.1303,-773.0,24.2491,23.9804,-0.2687,91.5242,204
2022,composition_hh_comp_key,2_adult_1_child,1432.0336,1432.0336,0.0,3.8076,4.1141,0.3065,100.0,205
2022,composition_hh_comp_key,2_adult_2plus_child,2016.5994,2016.5994,0.0,5.3618,5.7935,0.4317,100.0,206
2022,composition_hh_comp_key,3plus_adult_0_child,2394.0264,2343.0264,-51.0,6.3654,6.7313,0.3659,97.8697,207
2022,composition_hh_comp_key,3plus_adult_1plus_child,295.4512,295.4512,0.0,0.7856,0.8488,0.0632,100.0,208
2023,overall,weighted_households,38030.7353,31918.1611,-6112.5742,100.0,100.0,0.0,83.9273,10
2023,overall,unweighted_records,668.0,638.0,-30.0,,,0.0,95.509,20
2023,overall,weighted_avg_household_size,1.7763,1.8763,0.1,,,0.0,105.6297,30
2023,overall,weighted_avg_adult_count,1.4288,1.4623,0.0335,,,0.0,102.3446,40
2023,overall,weighted_avg_child_count,0.3363,0.4007,0.0644,,,0.0,119.1496,50
2023,income,weighted_avg_real_income,19769.64,22941.56,3171.92,,,0.0,116.0444,60
2023,income,median_real_income_unweighted,22429.4,23041.11,611.71,,,0.0,102.7273,70
2023,income,weighted_avg_annual_alice_threshold,42684.31,43820.94,1136.63,,,0.0,102.6629,80
2023,student_labor,share_student_heavy,6112.5742,0.0,-6112.5742,16.0727,0.0,-16.0727,0.0,90
2023,student_labor,share_has_any_student,21266.0839,15153.5097,-6112.5742,55.9182,47.4761,-8.4421,71.2567,100
2023,student_labor,share_has_any_likely_college_student,12946.2507,6833.6765,-6112.5742,34.0415,21.41,-12.6315,52.785,110
2023,student_labor,share_reference_person_student,12071.7051,5961.7051,-6110.0,31.742,18.6781,-13.0639,49.3858,120
2023,student_labor,share_has_any_employed_person,21035.759,21035.759,0.0,55.3125,65.9053,10.5928,100.0,130
2023,composition_hh_comp_key,1_adult_0_child,22448.8508,17366.8508,-5082.0,59.0282,54.4106,-4.6176,77.3619,201
2023,composition_hh_comp_key,1_adult_1_child,1600.9512,1600.9512,0.0,4.2096,5.0158,0.8062,100.0,202
2023,composition_hh_comp_key,1_adult_2plus_child,864.058,864.058,0.0,2.272,2.7071,0.4351,100.0,203
2023,composition_hh_comp_key,2_adult_0_child,6742.3154,6123.7412,-618.5742,17.7286,19.1858,1.4572,90.8255,204
