year,population_type,metric_group,metric_name,metric_value,pct_of_households,sort_order
2019,complete_below_alice,overall,weighted_households,35263.0,100.0,10
2019,complete_below_alice,overall,unweighted_records,285.0,,20
2019,complete_below_alice,overall,weighted_avg_household_size,2.1285,,30
2019,complete_below_alice,overall,weighted_avg_adult_count,1.6155,,40
2019,complete_below_alice,overall,weighted_avg_child_count,0.4993,,50
2019,complete_below_alice,income,weighted_avg_real_income,22939.17,,60
2019,complete_below_alice,income,median_real_income_unweighted,23233.34,,70
2019,complete_below_alice,income,weighted_avg_annual_alice_threshold,43553.14,,80
2019,complete_below_alice,student_labor,share_student_heavy,2415.0,6.8485,90
2019,complete_below_alice,student_labor,share_has_any_student,18674.0,52.9564,100
2019,complete_below_alice,student_labor,share_has_any_likely_college_student,8212.0,23.2879,110
2019,complete_below_alice,student_labor,share_reference_person_student,7158.0,20.2989,120
2019,complete_below_alice,student_labor,share_has_any_employed_person,22553.0,63.9566,130
2019,complete_below_alice,composition_hh_comp_key,1_adult_0_child,16058.0,45.5378,201
2019,complete_below_alice,composition_hh_comp_key,1_adult_1_child,437.0,1.2393,202
2019,complete_below_alice,composition_hh_comp_key,1_adult_2plus_child,2279.0,6.4629,203
2019,complete_below_alice,composition_hh_comp_key,2_adult_0_child,8556.0,24.2634,204
2019,complete_below_alice,composition_hh_comp_key,2_adult_1_child,1425.0,4.0411,205
2019,complete_below_alice,composition_hh_comp_key,2_adult_2plus_child,3249.0,9.2136,206
2019,complete_below_alice,composition_hh_comp_key,3plus_adult_0_child,2578.0,7.3108,207
2019,complete_below_alice,composition_hh_comp_key,3plus_adult_1plus_child,681.0,1.9312,208
2021,complete_below_alice,overall,weighted_households,32841.0,100.0,10
2021,complete_below_alice,overall,unweighted_records,274.0,,20
2021,complete_below_alice,overall,weighted_avg_household_size,1.8692,,30
2021,complete_below_alice,overall,weighted_avg_adult_count,1.57,,40
2021,complete_below_alice,overall,weighted_avg_child_count,0.2319,,50
2021,complete_below_alice,income,weighted_avg_real_income,23670.34,,60
2021,complete_below_alice,income,median_real_income_unweighted,25748.2,,70
2021,complete_below_alice,income,weighted_avg_annual_alice_threshold,44939.07,,80
2021,complete_below_alice,student_labor,share_student_heavy,3455.0,10.5204,90
2021,complete_below_alice,student_labor,share_has_any_student,16360.0,49.8158,100
2021,complete_below_alice,student_labor,share_has_any_likely_college_student,8915.0,27.1459,110
2021,complete_below_alice,student_labor,share_reference_person_student,7731.0,23.5407,120
2021,complete_below_alice,student_labor,share_has_any_employed_person,20336.0,61.9226,130
2021,complete_below_alice,composition_hh_comp_key,1_adult_0_child,16577.0,50.4765,201
2021,complete_below_alice,composition_hh_comp_key,1_adult_1_child,830.0,2.5273,202
2021,complete_below_alice,composition_hh_comp_key,1_adult_2plus_child,1099.0,3.3464,203
2021,complete_below_alice,composition_hh_comp_key,2_adult_0_child,9236.0,28.1234,204
2021,complete_below_alice,composition_hh_comp_key,2_adult_1_child,1060.0,3.2277,205
2021,complete_below_alice,composition_hh_comp_key,2_adult_2plus_child,1189.0,3.6205,206
2021,complete_below_alice,composition_hh_comp_key,3plus_adult_0_child,2602.0,7.923,207
2021,complete_below_alice,composition_hh_comp_key,3plus_adult_1plus_child,248.0,0.7552,208
2022,complete_below_alice,overall,weighted_households,37610.178,100.0,10
2022,complete_below_alice,overall,unweighted_records,688.0,,20
2022,complete_below_alice,overall,weighted_avg_household_size,1.8781,,30
2022,complete_below_alice,overall,weighted_avg_adult_count,1.5018,,40
2022,complete_below_alice,overall,weighted_avg_child_count,0.3668,,50
2022,complete_below_alice,income,weighted_avg_real_income,22718.13,,60
2022,complete_below_alice,income,median_real_income_unweighted,26073.41,,70
2022,complete_below_alice,income,weighted_avg_annual_alice_threshold,47581.98,,80
2022,complete_below_alice,student_labor,share_student_heavy,2802.0,7.4501,90
2022,complete_below_alice,student_labor,share_has_any_student,16009.5583,42.5671,100
2022,complete_below_alice,student_labor,share_has_any_likely_college_student,7856.9112,20.8904,110
2022,complete_below_alice,student_labor,share_reference_person_student,6916.2256,18.3892,120
2022,complete_below_alice,student_labor,share_has_any_employed_person,22160.0808,58.9204,130
2022,complete_below_alice,composition_hh_comp_key,1_adult_0_child,20093.4756,53.4256,201
2022,complete_below_alice,composition_hh_comp_key,1_adult_1_child,120.6547,0.3208,202
2022,complete_below_alice,composition_hh_comp_key,1_adult_2plus_child,2137.8068,5.6841,203
2022,complete_below_alice,composition_hh_comp_key,2_adult_0_child,9120.1303,24.2491,204
2022,complete_below_alice,composition_hh_comp_key,2_adult_1_child,1432.0336,3.8076,205
2022,complete_below_alice,composition_hh_comp_key,2_adult_2plus_child,2016.5994,5.3618,206
2022,complete_below_alice,composition_hh_comp_key,3plus_adult_0_child,2394.0264,6.3654,207
2022,complete_below_alice,composition_hh_comp_key,3plus_adult_1plus_child,295.4512,0.7856,208
2023,complete_below_alice,overall,weighted_households,38030.7353,100.0,10
2023,complete_below_alice,overall,unweighted_records,668.0,,20
2023,complete_below_alice,overall,weighted_avg_household_size,1.7763,,30
